# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-02-04T14:32:58
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-740.00000000	0.00026891
-739.96699670	0.00014073
-739.93399340	0.00017211
-739.90099010	0.00022040
-739.86798680	0.00014608
-739.83498350	0.00014026
-739.80198020	0.00009016
-739.76897690	0.00021583
-739.73597360	0.00008000
-739.70297030	0.00008400
-739.66996700	0.00008120
-739.63696370	0.00004076
-739.60396040	-0.00000714
-739.57095710	-0.00003142
-739.53795380	-0.00006030
-739.50495050	-0.00006699
-739.47194719	-0.00006197
-739.43894389	-0.00011432
-739.40594059	0.00005461
-739.37293729	-0.00014978
-739.33993399	-0.00014701
-739.30693069	-0.00013944
-739.27392739	-0.00008767
-739.24092409	-0.00013858
-739.20792079	-0.00014782
-739.17491749	-0.00018030
-739.14191419	-0.00011766
-739.10891089	-0.00007690
-739.07590759	-0.00012308
-739.04290429	-0.00008470
-739.00990099	-0.00006866
-738.97689769	-0.00010454
-738.94389439	-0.00011761
-738.91089109	-0.00015070
-738.87788779	-0.00015159
-738.84488449	-0.00014002
-738.81188119	-0.00008270
-738.77887789	-0.00007949
-738.74587459	-0.00006334
-738.71287129	-0.00012817
-738.67986799	-0.00004291
-738.64686469	-0.00011276
-738.61386139	-0.00009965
-738.58085809	-0.00008013
-738.54785479	-0.00002309
-738.51485149	-0.00004755
-738.48184818	0.00001215
-738.44884488	-0.00002389
-738.41584158	-0.00004404
-738.38283828	-0.00008439
-738.34983498	-0.00001781
-738.31683168	-0.00002720
-738.28382838	-0.00009266
-738.25082508	-0.00005899
-738.21782178	-0.00007779
-738.18481848	-0.00008928
-738.15181518	-0.00005546
-738.11881188	-0.00002729
-738.08580858	-0.00007150
-738.05280528	-0.00002057
-738.01980198	-0.00013048
-737.98679868	-0.00009397
-737.95379538	-0.00006965
-737.92079208	-0.00006950
-737.88778878	-0.00004804
-737.85478548	0.00002607
-737.82178218	-0.00006260
-737.78877888	0.00000430
-737.75577558	0.00001802
-737.72277228	0.00006370
-737.68976898	0.00005639
-737.65676568	0.00005788
-737.62376238	0.00003552
-737.59075908	0.00009037
-737.55775578	0.00008550
-737.52475248	0.00000440
-737.49174917	0.00009388
-737.45874587	0.00003077
-737.42574257	0.00006641
-737.39273927	0.00008692
-737.35973597	0.00001725
-737.32673267	0.00005506
-737.29372937	0.00001914
-737.26072607	0.00000148
-737.22772277	0.00000930
-737.19471947	-0.00001575
-737.16171617	0.00000480
-737.12871287	0.00003471
-737.09570957	0.00000044
-737.06270627	0.00006084
-737.02970297	0.00013829
-736.99669967	0.00006815
-736.96369637	0.00006622
-736.93069307	0.00002019
-736.89768977	0.00004702
-736.86468647	0.00004337
-736.83168317	0.00002426
-736.79867987	0.00000151
-736.76567657	-0.00003643
-736.73267327	0.00001374
-736.69966997	0.00004575
-736.66666667	0.00004168
-736.63366337	0.00011680
-736.60066007	-0.00000159
-736.56765677	0.00003530
-736.53465347	-0.00003125
-736.50165017	0.00009765
-736.46864686	0.00003786
-736.43564356	0.00001829
-736.40264026	0.00005253
-736.36963696	0.00005523
-736.33663366	0.00006798
-736.30363036	0.00004131
-736.27062706	-0.00006150
-736.23762376	0.00001365
-736.20462046	0.00001901
-736.17161716	-0.00001099
-736.13861386	-0.00012329
-736.10561056	-0.00009514
-736.07260726	-0.00001166
-736.03960396	-0.00008422
-736.00660066	-0.00000550
-735.97359736	-0.00012142
-735.94059406	-0.00012754
-735.90759076	-0.00009607
-735.87458746	-0.00016590
-735.84158416	-0.00024854
-735.80858086	-0.00013938
-735.77557756	-0.00011854
-735.74257426	-0.00012028
-735.70957096	-0.00023920
-735.67656766	-0.00015379
-735.64356436	-0.00016510
-735.61056106	-0.00020631
-735.57755776	-0.00023841
-735.54455446	-0.00017131
-735.51155116	-0.00015245
-735.47854785	-0.00018595
-735.44554455	-0.00016601
-735.41254125	-0.00015218
-735.37953795	-0.00015111
-735.34653465	-0.00014451
-735.31353135	-0.00004071
-735.28052805	-0.00006916
-735.24752475	-0.00000855
-735.21452145	-0.00004478
-735.18151815	0.00003857
-735.14851485	-0.00003757
-735.11551155	0.00008216
-735.08250825	0.00007852
-735.04950495	0.00006613
-735.01650165	0.00013115
-734.98349835	0.00023399
-734.95049505	0.00019042
-734.91749175	0.00022564
-734.88448845	0.00024799
-734.85148515	0.00023801
-734.81848185	0.00030660
-734.78547855	0.00036991
-734.75247525	0.00038259
-734.71947195	0.00030566
-734.68646865	0.00038666
-734.65346535	0.00054724
-734.62046205	0.00055084
-734.58745875	0.00051433
-734.55445545	0.00052134
-734.52145215	0.00060737
-734.48844884	0.00057576
-734.45544554	0.00060643
-734.42244224	0.00065730
-734.38943894	0.00071812
-734.35643564	0.00073411
-734.32343234	0.00070102
-734.29042904	0.00068953
-734.25742574	0.00079591
-734.22442244	0.00073271
-734.19141914	0.00078390
-734.15841584	0.00077900
-734.12541254	0.00077100
-734.09240924	0.00073505
-734.05940594	0.00081114
-734.02640264	0.00077976
-733.99339934	0.00085821
-733.96039604	0.00068721
-733.92739274	0.00072813
-733.89438944	0.00084399
-733.86138614	0.00074282
-733.82838284	0.00078533
-733.79537954	0.00074245
-733.76237624	0.00076177
-733.72937294	0.00068938
-733.69636964	0.00063154
-733.66336634	0.00070594
-733.63036304	0.00071393
-733.59735974	0.00067472
-733.56435644	0.00061913
-733.53135314	0.00068501
-733.49834983	0.00065496
-733.46534653	0.00053044
-733.43234323	0.00058733
-733.39933993	0.00063472
-733.36633663	0.00046937
-733.33333333	0.00060029
-733.30033003	0.00040753
-733.26732673	0.00050778
-733.23432343	0.00058734
-733.20132013	0.00045557
-733.16831683	0.00048826
-733.13531353	0.00056157
-733.10231023	0.00049055
-733.06930693	0.00044661
-733.03630363	0.00049091
-733.00330033	0.00048001
-732.97029703	0.00049337
-732.93729373	0.00036482
-732.90429043	0.00049902
-732.87128713	0.00046396
-732.83828383	0.00040346
-732.80528053	0.00057867
-732.77227723	0.00059557
-732.73927393	0.00048367
-732.70627063	0.00044413
-732.67326733	0.00056818
-732.64026403	0.00064016
-732.60726073	0.00058437
-732.57425743	0.00067338
-732.54125413	0.00063613
-732.50825083	0.00067049
-732.47524752	0.00067162
-732.44224422	0.00066225
-732.40924092	0.00076865
-732.37623762	0.00065913
-732.34323432	0.00080981
-732.31023102	0.00082687
-732.27722772	0.00069129
-732.24422442	0.00089236
-732.21122112	0.00093811
-732.17821782	0.00072099
-732.14521452	0.00090149
-732.11221122	0.00079687
-732.07920792	0.00084228
-732.04620462	0.00087655
-732.01320132	0.00089123
-731.98019802	0.00080430
