# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-02-03T16:26:19
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-740.00000000	0.00002579
-739.96699670	0.00006258
-739.93399340	0.00006740
-739.90099010	-0.00010458
-739.86798680	0.00009780
-739.83498350	-0.00004473
-739.80198020	-0.00003408
-739.76897690	0.00003240
-739.73597360	-0.00004600
-739.70297030	-0.00002353
-739.66996700	-0.00001386
-739.63696370	-0.00000070
-739.60396040	-0.00011670
-739.57095710	-0.00006847
-739.53795380	-0.00004239
-739.50495050	-0.00003798
-739.47194719	0.00001269
-739.43894389	0.00001476
-739.40594059	-0.00005548
-739.37293729	0.00003899
-739.33993399	-0.00002554
-739.30693069	-0.00006223
-739.27392739	0.00004399
-739.24092409	0.00010788
-739.20792079	0.00003096
-739.17491749	-0.00003566
-739.14191419	-0.00002437
-739.10891089	-0.00002749
-739.07590759	0.00013737
-739.04290429	0.00009116
-739.00990099	-0.00001060
-738.97689769	0.00006485
-738.94389439	0.00010962
-738.91089109	0.00019552
-738.87788779	0.00005985
-738.84488449	0.00018595
-738.81188119	0.00019520
-738.77887789	0.00021504
-738.74587459	0.00021164
-738.71287129	0.00010719
-738.67986799	0.00010188
-738.64686469	0.00011786
-738.61386139	0.00018872
-738.58085809	0.00016063
-738.54785479	0.00020392
-738.51485149	0.00013022
-738.48184818	0.00004572
-738.44884488	0.00016677
-738.41584158	0.00017970
-738.38283828	0.00020996
-738.34983498	0.00024833
-738.31683168	0.00021381
-738.28382838	0.00028540
-738.25082508	0.00023014
-738.21782178	0.00022508
-738.18481848	0.00021978
-738.15181518	0.00026087
-738.11881188	0.00025312
-738.08580858	0.00035832
-738.05280528	0.00025433
-738.01980198	0.00030888
-737.98679868	0.00033552
-737.95379538	0.00034358
-737.92079208	0.00031266
-737.88778878	0.00027924
-737.85478548	0.00027535
-737.82178218	0.00031320
-737.78877888	0.00028681
-737.75577558	0.00024609
-737.72277228	0.00030340
-737.68976898	0.00031150
-737.65676568	0.00025058
-737.62376238	0.00030508
-737.59075908	0.00035964
-737.55775578	0.00035842
-737.52475248	0.00031247
-737.49174917	0.00033694
-737.45874587	0.00032468
-737.42574257	0.00031310
-737.39273927	0.00034487
-737.35973597	0.00028887
-737.32673267	0.00033828
-737.29372937	0.00022901
-737.26072607	0.00020880
-737.22772277	0.00025130
-737.19471947	0.00027043
-737.16171617	0.00031940
-737.12871287	0.00032523
-737.09570957	0.00033788
-737.06270627	0.00023158
-737.02970297	0.00022019
-736.99669967	0.00028719
-736.96369637	0.00027056
-736.93069307	0.00020797
-736.89768977	0.00021323
-736.86468647	0.00021403
-736.83168317	0.00025829
-736.79867987	0.00025784
-736.76567657	0.00032053
-736.73267327	0.00018532
-736.69966997	0.00014980
-736.66666667	0.00014645
-736.63366337	0.00014903
-736.60066007	0.00014403
-736.56765677	0.00017325
-736.53465347	0.00015485
-736.50165017	0.00018295
-736.46864686	0.00012757
-736.43564356	0.00013180
-736.40264026	0.00009064
-736.36963696	0.00015023
-736.33663366	0.00008405
-736.30363036	0.00003169
-736.27062706	0.00001334
-736.23762376	0.00004009
-736.20462046	0.00003218
-736.17161716	0.00000200
-736.13861386	-0.00002609
-736.10561056	-0.00007824
-736.07260726	-0.00000736
-736.03960396	-0.00008450
-736.00660066	-0.00017108
-735.97359736	-0.00013238
-735.94059406	-0.00015710
-735.90759076	-0.00008467
-735.87458746	-0.00021752
-735.84158416	-0.00014258
-735.80858086	-0.00018501
-735.77557756	-0.00017004
-735.74257426	-0.00011843
-735.70957096	-0.00019481
-735.67656766	-0.00013658
-735.64356436	-0.00012396
-735.61056106	-0.00001187
-735.57755776	-0.00007188
-735.54455446	-0.00008752
-735.51155116	-0.00009309
-735.47854785	0.00000176
-735.44554455	-0.00004122
-735.41254125	0.00007009
-735.37953795	0.00001073
-735.34653465	0.00013021
-735.31353135	0.00006961
-735.28052805	0.00015710
-735.24752475	0.00008770
-735.21452145	0.00013277
-735.18151815	0.00026049
-735.14851485	0.00014038
-735.11551155	0.00018776
-735.08250825	0.00036458
-735.04950495	0.00036445
-735.01650165	0.00043013
-734.98349835	0.00030583
-734.95049505	0.00043777
-734.91749175	0.00053125
-734.88448845	0.00045046
-734.85148515	0.00040413
-734.81848185	0.00054411
-734.78547855	0.00056886
-734.75247525	0.00060246
-734.71947195	0.00058514
-734.68646865	0.00065442
-734.65346535	0.00066511
-734.62046205	0.00060075
-734.58745875	0.00066190
-734.55445545	0.00068719
-734.52145215	0.00075870
-734.48844884	0.00066758
-734.45544554	0.00069017
-734.42244224	0.00076900
-734.38943894	0.00074363
-734.35643564	0.00076037
-734.32343234	0.00072492
-734.29042904	0.00072888
-734.25742574	0.00077093
-734.22442244	0.00078347
-734.19141914	0.00077034
-734.15841584	0.00054595
-734.12541254	0.00066964
-734.09240924	0.00078675
-734.05940594	0.00070856
-734.02640264	0.00074088
-733.99339934	0.00054110
-733.96039604	0.00056766
-733.92739274	0.00066456
-733.89438944	0.00056229
-733.86138614	0.00051661
-733.82838284	0.00058864
-733.79537954	0.00045494
-733.76237624	0.00050305
-733.72937294	0.00053676
-733.69636964	0.00044216
-733.66336634	0.00050208
-733.63036304	0.00033510
-733.59735974	0.00044194
-733.56435644	0.00039014
-733.53135314	0.00037288
-733.49834983	0.00027088
-733.46534653	0.00033422
-733.43234323	0.00029364
-733.39933993	0.00028589
-733.36633663	0.00030957
-733.33333333	0.00034449
-733.30033003	0.00025841
-733.26732673	0.00036944
-733.23432343	0.00023257
-733.20132013	0.00015846
-733.16831683	0.00031401
-733.13531353	0.00038439
-733.10231023	0.00023032
-733.06930693	0.00024599
-733.03630363	0.00029965
-733.00330033	0.00034626
-732.97029703	0.00034145
-732.93729373	0.00023475
-732.90429043	0.00041122
-732.87128713	0.00034261
-732.83828383	0.00036651
-732.80528053	0.00033074
-732.77227723	0.00035158
-732.73927393	0.00038765
-732.70627063	0.00048262
-732.67326733	0.00042710
-732.64026403	0.00053228
-732.60726073	0.00045940
-732.57425743	0.00047720
-732.54125413	0.00058446
-732.50825083	0.00049734
-732.47524752	0.00049886
-732.44224422	0.00053078
-732.40924092	0.00050353
-732.37623762	0.00056334
-732.34323432	0.00048560
-732.31023102	0.00059783
-732.27722772	0.00060940
-732.24422442	0.00048565
-732.21122112	0.00059269
-732.17821782	0.00052923
-732.14521452	0.00055605
-732.11221122	0.00058987
-732.07920792	0.00051761
-732.04620462	0.00048727
-732.01320132	0.00051883
-731.98019802	0.00053726
-731.94719472	0.00048127
-731.91419142	0.00041861
-731.88118812	0.00052194
-731.84818482	0.00044678
-731.81518152	0.00043218
-731.78217822	0.00036265
-731.74917492	0.00045266
-731.71617162	0.00041650
-731.68316832	0.00039046
-731.65016502	0.00038980
-731.61716172	0.00038839
-731.58415842	0.00038349
-731.55115512	0.00035817
-731.51815182	0.00030811
