# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-02-03T16:28:44
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-740.00000000	-0.00000637
-739.96699670	0.00008410
-739.93399340	0.00002833
-739.90099010	0.00000847
-739.86798680	0.00006418
-739.83498350	-0.00000473
-739.80198020	-0.00008492
-739.76897690	-0.00003484
-739.73597360	-0.00001899
-739.70297030	-0.00003514
-739.66996700	0.00001208
-739.63696370	-0.00005982
-739.60396040	0.00001514
-739.57095710	-0.00006216
-739.53795380	-0.00002195
-739.50495050	0.00000225
-739.47194719	0.00001476
-739.43894389	-0.00007588
-739.40594059	-0.00000447
-739.37293729	-0.00004771
-739.33993399	0.00001858
-739.30693069	0.00001688
-739.27392739	0.00003176
-739.24092409	0.00005794
-739.20792079	0.00003682
-739.17491749	0.00002633
-739.14191419	0.00002079
-739.10891089	-0.00004054
-739.07590759	0.00003191
-739.04290429	0.00002722
-739.00990099	0.00003060
-738.97689769	0.00004842
-738.94389439	0.00008404
-738.91089109	0.00012841
-738.87788779	0.00007673
-738.84488449	0.00011025
-738.81188119	0.00001748
-738.77887789	0.00019612
-738.74587459	0.00018739
-738.71287129	0.00015967
-738.67986799	0.00016428
-738.64686469	0.00016957
-738.61386139	0.00027433
-738.58085809	0.00019660
-738.54785479	0.00020799
-738.51485149	0.00016062
-738.48184818	0.00011603
-738.44884488	0.00018151
-738.41584158	0.00018162
-738.38283828	0.00017808
-738.34983498	0.00024844
-738.31683168	0.00020582
-738.28382838	0.00031717
-738.25082508	0.00026972
-738.21782178	0.00032540
-738.18481848	0.00029636
-738.15181518	0.00030079
-738.11881188	0.00019937
-738.08580858	0.00033088
-738.05280528	0.00041426
-738.01980198	0.00036328
-737.98679868	0.00029664
-737.95379538	0.00027227
-737.92079208	0.00031271
-737.88778878	0.00035704
-737.85478548	0.00032484
-737.82178218	0.00039839
-737.78877888	0.00040242
-737.75577558	0.00041511
-737.72277228	0.00035475
-737.68976898	0.00031979
-737.65676568	0.00040963
-737.62376238	0.00037726
-737.59075908	0.00039279
-737.55775578	0.00036810
-737.52475248	0.00029323
-737.49174917	0.00032331
-737.45874587	0.00029488
-737.42574257	0.00037474
-737.39273927	0.00033294
-737.35973597	0.00035720
-737.32673267	0.00027608
-737.29372937	0.00024655
-737.26072607	0.00031022
-737.22772277	0.00029162
-737.19471947	0.00025593
-737.16171617	0.00024602
-737.12871287	0.00023269
-737.09570957	0.00027793
-737.06270627	0.00028298
-737.02970297	0.00030434
-736.99669967	0.00033137
-736.96369637	0.00037383
-736.93069307	0.00018332
-736.89768977	0.00024824
-736.86468647	0.00027449
-736.83168317	0.00018551
-736.79867987	0.00019380
-736.76567657	0.00026594
-736.73267327	0.00021852
-736.69966997	0.00026504
-736.66666667	0.00020016
-736.63366337	0.00011534
-736.60066007	0.00011194
-736.56765677	0.00018028
-736.53465347	0.00012057
-736.50165017	0.00015265
-736.46864686	0.00014086
-736.43564356	0.00006692
-736.40264026	0.00006944
-736.36963696	0.00006823
-736.33663366	0.00007248
-736.30363036	0.00002856
-736.27062706	0.00012889
-736.23762376	0.00008556
-736.20462046	-0.00007362
-736.17161716	-0.00005073
-736.13861386	-0.00008078
-736.10561056	-0.00016256
-736.07260726	-0.00005772
-736.03960396	-0.00006120
-736.00660066	-0.00015022
-735.97359736	-0.00013008
-735.94059406	-0.00015249
-735.90759076	-0.00013460
-735.87458746	-0.00011342
-735.84158416	-0.00012631
-735.80858086	-0.00014780
-735.77557756	-0.00011349
-735.74257426	-0.00019973
-735.70957096	-0.00013368
-735.67656766	-0.00008172
-735.64356436	-0.00005932
-735.61056106	-0.00016311
-735.57755776	-0.00008922
-735.54455446	-0.00000930
-735.51155116	-0.00002845
-735.47854785	0.00000839
-735.44554455	-0.00003306
-735.41254125	-0.00007265
-735.37953795	0.00005686
-735.34653465	0.00008827
-735.31353135	0.00011092
-735.28052805	0.00008789
-735.24752475	0.00014286
-735.21452145	0.00011948
-735.18151815	0.00022077
-735.14851485	0.00023258
-735.11551155	0.00027517
-735.08250825	0.00031644
-735.04950495	0.00032214
-735.01650165	0.00041649
-734.98349835	0.00047850
-734.95049505	0.00039349
-734.91749175	0.00044230
-734.88448845	0.00050525
-734.85148515	0.00057335
-734.81848185	0.00053174
-734.78547855	0.00048541
-734.75247525	0.00052256
-734.71947195	0.00066144
-734.68646865	0.00068179
-734.65346535	0.00060352
-734.62046205	0.00072801
-734.58745875	0.00068141
-734.55445545	0.00061937
-734.52145215	0.00071516
-734.48844884	0.00078172
-734.45544554	0.00072517
-734.42244224	0.00073811
-734.38943894	0.00072683
-734.35643564	0.00075428
-734.32343234	0.00069492
-734.29042904	0.00076670
-734.25742574	0.00068515
-734.22442244	0.00070328
-734.19141914	0.00071614
-734.15841584	0.00076417
-734.12541254	0.00063585
-734.09240924	0.00067715
-734.05940594	0.00058977
-734.02640264	0.00071804
-733.99339934	0.00065514
-733.96039604	0.00050725
-733.92739274	0.00059993
-733.89438944	0.00056218
-733.86138614	0.00051685
-733.82838284	0.00053519
-733.79537954	0.00053549
-733.76237624	0.00046351
-733.72937294	0.00044586
-733.69636964	0.00050643
-733.66336634	0.00036589
-733.63036304	0.00043539
-733.59735974	0.00034494
-733.56435644	0.00035621
-733.53135314	0.00043588
-733.49834983	0.00032057
-733.46534653	0.00029464
-733.43234323	0.00032791
-733.39933993	0.00020470
-733.36633663	0.00032264
-733.33333333	0.00034109
-733.30033003	0.00029277
-733.26732673	0.00026545
-733.23432343	0.00034065
-733.20132013	0.00022488
-733.16831683	0.00025743
-733.13531353	0.00031908
-733.10231023	0.00032921
-733.06930693	0.00026627
-733.03630363	0.00035869
-733.00330033	0.00022239
-732.97029703	0.00025332
-732.93729373	0.00035062
-732.90429043	0.00031691
-732.87128713	0.00032056
-732.83828383	0.00034079
-732.80528053	0.00042582
-732.77227723	0.00041350
-732.73927393	0.00049160
-732.70627063	0.00039907
-732.67326733	0.00047666
-732.64026403	0.00045295
-732.60726073	0.00050716
-732.57425743	0.00046127
-732.54125413	0.00057003
-732.50825083	0.00052950
-732.47524752	0.00057132
-732.44224422	0.00061114
-732.40924092	0.00047619
-732.37623762	0.00047045
-732.34323432	0.00061565
-732.31023102	0.00052861
-732.27722772	0.00050093
-732.24422442	0.00059551
-732.21122112	0.00052273
-732.17821782	0.00053669
-732.14521452	0.00051189
-732.11221122	0.00054543
-732.07920792	0.00053795
-732.04620462	0.00050835
-732.01320132	0.00042950
-731.98019802	0.00050789
-731.94719472	0.00049161
-731.91419142	0.00045978
-731.88118812	0.00046501
-731.84818482	0.00050734
-731.81518152	0.00039180
-731.78217822	0.00045090
-731.74917492	0.00035456
-731.71617162	0.00046575
-731.68316832	0.00038800
-731.65016502	0.00035822
-731.61716172	0.00046801
-731.58415842	0.00032047
-731.55115512	0.00042882
-731.51815182	0.00034627
-731.48514851	0.00031010
-731.45214521	0.00035805
-731.41914191	0.00022451
-731.38613861	0.00030011
-731.35313531	0.00036019
-731.32013201	0.00023743
-731.28712871	0.00026255
-731.25412541	0.00028931
-731.22112211	0.00026689
-731.18811881	0.00022521
-731.15511551	0.00023568
-731.12211221	0.00022867
-731.08910891	0.00013196
-731.05610561	0.00026075
-731.02310231	0.00022712
-730.99009901	0.00018845
-730.95709571	0.00019377
-730.92409241	0.00019911
-730.89108911	0.00022569
-730.85808581	0.00017351
-730.82508251	0.00017115
-730.79207921	0.00015012
-730.75907591	0.00017591
-730.72607261	0.00025179
-730.69306931	0.00021310
-730.66006601	0.00023678
-730.62706271	0.00029706
-730.59405941	0.00019970
-730.56105611	0.00024469
-730.52805281	0.00026085
-730.49504950	0.00022810
-730.46204620	0.00039706
-730.42904290	0.00025839
-730.39603960	0.00032918
