# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-02-03T16:24:42
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-740.00000000	0.00000909
-739.96699670	0.00012137
-739.93399340	0.00003384
-739.90099010	-0.00001995
-739.86798680	0.00004147
-739.83498350	-0.00006206
-739.80198020	0.00005654
-739.76897690	0.00001597
-739.73597360	0.00000850
-739.70297030	-0.00000723
-739.66996700	-0.00006290
-739.63696370	0.00000868
-739.60396040	-0.00008693
-739.57095710	0.00001399
-739.53795380	-0.00001829
-739.50495050	-0.00002982
-739.47194719	0.00000172
-739.43894389	-0.00008810
-739.40594059	0.00000733
-739.37293729	-0.00003793
-739.33993399	-0.00001718
-739.30693069	-0.00004026
-739.27392739	0.00002203
-739.24092409	0.00009236
-739.20792079	-0.00005321
-739.17491749	-0.00005874
-739.14191419	0.00005493
-739.10891089	-0.00009197
-739.07590759	0.00007930
-739.04290429	0.00010746
-739.00990099	0.00003129
-738.97689769	0.00008420
-738.94389439	0.00014136
-738.91089109	0.00006854
-738.87788779	0.00007419
-738.84488449	0.00014656
-738.81188119	0.00015441
-738.77887789	0.00017311
-738.74587459	0.00013606
-738.71287129	0.00017607
-738.67986799	0.00009870
-738.64686469	0.00019344
-738.61386139	0.00020013
-738.58085809	0.00021113
-738.54785479	0.00019893
-738.51485149	0.00019245
-738.48184818	0.00018075
-738.44884488	0.00020859
-738.41584158	0.00023552
-738.38283828	0.00030637
-738.34983498	0.00019848
-738.31683168	0.00021152
-738.28382838	0.00019852
-738.25082508	0.00026160
-738.21782178	0.00022772
-738.18481848	0.00026778
-738.15181518	0.00027424
-738.11881188	0.00024389
-738.08580858	0.00023819
-738.05280528	0.00030209
-738.01980198	0.00030241
-737.98679868	0.00038922
-737.95379538	0.00027848
-737.92079208	0.00038030
-737.88778878	0.00035458
-737.85478548	0.00038344
-737.82178218	0.00038522
-737.78877888	0.00026261
-737.75577558	0.00036128
-737.72277228	0.00027645
-737.68976898	0.00033855
-737.65676568	0.00035568
-737.62376238	0.00028119
-737.59075908	0.00029737
-737.55775578	0.00036150
-737.52475248	0.00033185
-737.49174917	0.00033434
-737.45874587	0.00037616
-737.42574257	0.00030316
-737.39273927	0.00032831
-737.35973597	0.00031639
-737.32673267	0.00030050
-737.29372937	0.00029474
-737.26072607	0.00025657
-737.22772277	0.00026811
-737.19471947	0.00017433
-737.16171617	0.00029255
-737.12871287	0.00026294
-737.09570957	0.00022777
-737.06270627	0.00027917
-737.02970297	0.00030141
-736.99669967	0.00023785
-736.96369637	0.00020033
-736.93069307	0.00026511
-736.89768977	0.00029557
-736.86468647	0.00023751
-736.83168317	0.00026360
-736.79867987	0.00023474
-736.76567657	0.00023265
-736.73267327	0.00019764
-736.69966997	0.00020896
-736.66666667	0.00021627
-736.63366337	0.00019333
-736.60066007	0.00021882
-736.56765677	0.00019998
-736.53465347	0.00019562
-736.50165017	0.00016496
-736.46864686	0.00013341
-736.43564356	0.00005383
-736.40264026	0.00011528
-736.36963696	0.00007859
-736.33663366	0.00008472
-736.30363036	0.00004738
-736.27062706	0.00004801
-736.23762376	0.00008329
-736.20462046	0.00003965
-736.17161716	-0.00008895
-736.13861386	-0.00003738
-736.10561056	-0.00013700
-736.07260726	-0.00010382
-736.03960396	-0.00013303
-736.00660066	-0.00013893
-735.97359736	-0.00012677
-735.94059406	-0.00011274
-735.90759076	-0.00008321
-735.87458746	-0.00012604
-735.84158416	-0.00010978
-735.80858086	-0.00005717
-735.77557756	-0.00011118
-735.74257426	-0.00014814
-735.70957096	-0.00010527
-735.67656766	-0.00018764
-735.64356436	-0.00008147
-735.61056106	-0.00007006
-735.57755776	-0.00008222
