# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-02-06T12:37:06
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-740.00000000	0.00026325
-739.96699670	0.00020485
-739.93399340	0.00018988
-739.90099010	0.00030431
-739.86798680	0.00019666
-739.83498350	0.00014250
-739.80198020	0.00011076
-739.76897690	0.00006402
-739.73597360	0.00005789
-739.70297030	-0.00000802
-739.66996700	0.00000347
-739.63696370	0.00005927
-739.60396040	0.00000536
-739.57095710	-0.00001547
-739.53795380	-0.00011880
-739.50495050	-0.00000634
-739.47194719	-0.00004557
-739.43894389	-0.00010346
-739.40594059	-0.00009994
-739.37293729	0.00004120
-739.33993399	-0.00007549
-739.30693069	-0.00006803
-739.27392739	-0.00011665
-739.24092409	-0.00009324
-739.20792079	-0.00008822
-739.17491749	-0.00018967
-739.14191419	-0.00019305
-739.10891089	-0.00021704
-739.07590759	-0.00007856
-739.04290429	-0.00012586
-739.00990099	-0.00011381
-738.97689769	-0.00020105
-738.94389439	-0.00014775
-738.91089109	-0.00008308
-738.87788779	-0.00009791
-738.84488449	-0.00008466
-738.81188119	-0.00020725
-738.77887789	-0.00017484
-738.74587459	-0.00008236
-738.71287129	-0.00003403
-738.67986799	-0.00010604
-738.64686469	-0.00009077
-738.61386139	-0.00013630
-738.58085809	-0.00004820
-738.54785479	-0.00009641
-738.51485149	-0.00004184
-738.48184818	-0.00005033
-738.44884488	-0.00004700
-738.41584158	-0.00008124
-738.38283828	-0.00004853
-738.34983498	-0.00004564
-738.31683168	-0.00018568
-738.28382838	-0.00018947
-738.25082508	-0.00012414
-738.21782178	-0.00011800
-738.18481848	-0.00008150
-738.15181518	-0.00011495
-738.11881188	-0.00009972
-738.08580858	-0.00009110
-738.05280528	-0.00014907
-738.01980198	-0.00002275
-737.98679868	-0.00005912
-737.95379538	-0.00004053
-737.92079208	-0.00008648
-737.88778878	-0.00007311
-737.85478548	-0.00003090
-737.82178218	0.00004483
-737.78877888	-0.00011453
-737.75577558	0.00004199
-737.72277228	0.00001818
-737.68976898	0.00000460
-737.65676568	0.00011254
-737.62376238	0.00010465
-737.59075908	-0.00001304
-737.55775578	-0.00005238
-737.52475248	0.00010583
-737.49174917	-0.00000423
-737.45874587	-0.00002323
-737.42574257	0.00003579
-737.39273927	-0.00000464
-737.35973597	-0.00003781
-737.32673267	0.00000796
-737.29372937	0.00005728
-737.26072607	-0.00002825
-737.22772277	0.00003313
-737.19471947	0.00005317
-737.16171617	0.00006645
-737.12871287	-0.00001119
-737.09570957	0.00003689
-737.06270627	0.00008101
-737.02970297	-0.00001557
-736.99669967	0.00000056
-736.96369637	-0.00002416
-736.93069307	0.00015318
-736.89768977	0.00001912
-736.86468647	0.00002609
-736.83168317	0.00001686
-736.79867987	0.00005484
-736.76567657	0.00008793
-736.73267327	0.00005711
-736.69966997	-0.00003579
-736.66666667	0.00003082
-736.63366337	-0.00003248
-736.60066007	-0.00008714
-736.56765677	-0.00003448
-736.53465347	0.00005674
-736.50165017	0.00004146
-736.46864686	-0.00002958
-736.43564356	0.00005250
-736.40264026	0.00002970
-736.36963696	0.00005316
-736.33663366	-0.00000467
-736.30363036	-0.00002138
-736.27062706	-0.00003351
-736.23762376	-0.00010086
-736.20462046	-0.00012804
-736.17161716	-0.00014762
-736.13861386	-0.00012249
-736.10561056	-0.00022715
-736.07260726	-0.00013810
-736.03960396	-0.00018081
-736.00660066	-0.00022400
-735.97359736	-0.00023342
-735.94059406	-0.00032049
-735.90759076	-0.00022778
-735.87458746	-0.00024882
-735.84158416	-0.00025049
-735.80858086	-0.00030420
-735.77557756	-0.00031198
-735.74257426	-0.00026466
-735.70957096	-0.00037025
-735.67656766	-0.00023532
-735.64356436	-0.00020945
-735.61056106	-0.00025863
-735.57755776	-0.00031457
-735.54455446	-0.00027056
-735.51155116	-0.00030423
-735.47854785	-0.00026917
-735.44554455	-0.00024490
-735.41254125	-0.00027668
-735.37953795	-0.00018175
-735.34653465	-0.00021257
-735.31353135	-0.00019707
-735.28052805	-0.00015054
-735.24752475	-0.00016138
-735.21452145	-0.00018158
-735.18151815	-0.00009093
-735.14851485	0.00003343
-735.11551155	-0.00001304
-735.08250825	-0.00002679
-735.04950495	-0.00004484
-735.01650165	0.00011278
-734.98349835	0.00012829
-734.95049505	0.00016227
-734.91749175	0.00012336
-734.88448845	0.00009654
-734.85148515	0.00011448
-734.81848185	0.00030597
-734.78547855	0.00026478
-734.75247525	0.00027142
-734.71947195	0.00023367
-734.68646865	0.00021863
-734.65346535	0.00041142
-734.62046205	0.00046254
-734.58745875	0.00043932
-734.55445545	0.00037641
-734.52145215	0.00047651
-734.48844884	0.00051163
-734.45544554	0.00046776
-734.42244224	0.00055166
-734.38943894	0.00055012
-734.35643564	0.00046871
-734.32343234	0.00043808
-734.29042904	0.00058034
-734.25742574	0.00056548
-734.22442244	0.00046270
-734.19141914	0.00050816
-734.15841584	0.00064974
-734.12541254	0.00049509
-734.09240924	0.00058331
-734.05940594	0.00053427
-734.02640264	0.00054137
-733.99339934	0.00056838
-733.96039604	0.00051770
-733.92739274	0.00042483
-733.89438944	0.00049545
-733.86138614	0.00051429
-733.82838284	0.00039918
-733.79537954	0.00050768
-733.76237624	0.00056384
-733.72937294	0.00042734
-733.69636964	0.00037017
-733.66336634	0.00036997
-733.63036304	0.00049383
-733.59735974	0.00028969
-733.56435644	0.00039055
-733.53135314	0.00034896
-733.49834983	0.00033507
-733.46534653	0.00029387
-733.43234323	0.00033248
-733.39933993	0.00022200
-733.36633663	0.00027090
-733.33333333	0.00026021
-733.30033003	0.00016592
-733.26732673	0.00034776
-733.23432343	0.00026703
-733.20132013	0.00024548
-733.16831683	0.00017908
-733.13531353	0.00021365
-733.10231023	0.00025196
-733.06930693	0.00019352
-733.03630363	0.00024233
-733.00330033	0.00024733
-732.97029703	0.00025421
-732.93729373	0.00018457
-732.90429043	0.00030183
-732.87128713	0.00027444
-732.83828383	0.00035580
-732.80528053	0.00024566
-732.77227723	0.00036219
-732.73927393	0.00037405
-732.70627063	0.00036283
-732.67326733	0.00039716
-732.64026403	0.00038363
-732.60726073	0.00042639
-732.57425743	0.00041722
-732.54125413	0.00034474
-732.50825083	0.00050183
-732.47524752	0.00053419
-732.44224422	0.00048724
-732.40924092	0.00046017
-732.37623762	0.00057666
-732.34323432	0.00054868
-732.31023102	0.00045460
-732.27722772	0.00058418
-732.24422442	0.00064814
-732.21122112	0.00053538
-732.17821782	0.00060020
-732.14521452	0.00058099
-732.11221122	0.00057244
-732.07920792	0.00059290
-732.04620462	0.00055573
-732.01320132	0.00064430
-731.98019802	0.00061362
-731.94719472	0.00044823
-731.91419142	0.00071305
-731.88118812	0.00063668
-731.84818482	0.00056570
-731.81518152	0.00061467
-731.78217822	0.00056000
-731.74917492	0.00060454
-731.71617162	0.00060050
-731.68316832	0.00047220
-731.65016502	0.00058818
-731.61716172	0.00050976
-731.58415842	0.00049102
-731.55115512	0.00058089
-731.51815182	0.00049121
-731.48514851	0.00049167
-731.45214521	0.00052362
-731.41914191	0.00049822
-731.38613861	0.00033608
-731.35313531	0.00050472
-731.32013201	0.00043022
-731.28712871	0.00044152
-731.25412541	0.00038872
-731.22112211	0.00048131
-731.18811881	0.00035532
-731.15511551	0.00053495
-731.12211221	0.00033829
-731.08910891	0.00035786
-731.05610561	0.00049047
-731.02310231	0.00032467
-730.99009901	0.00048318
-730.95709571	0.00038041
-730.92409241	0.00037042
-730.89108911	0.00038841
-730.85808581	0.00032664
-730.82508251	0.00038275
-730.79207921	0.00045599
-730.75907591	0.00037665
-730.72607261	0.00044762
-730.69306931	0.00034032
-730.66006601	0.00045754
-730.62706271	0.00044005
-730.59405941	0.00039030
-730.56105611	0.00053756
-730.52805281	0.00033747
-730.49504950	0.00044291
-730.46204620	0.00056670
-730.42904290	0.00041162
-730.39603960	0.00055802
-730.36303630	0.00054938
-730.33003300	0.00045194
-730.29702970	0.00060874
-730.26402640	0.00064712
-730.23102310	0.00062683
-730.19801980	0.00057940
-730.16501650	0.00072834
-730.13201320	0.00068936
-730.09900990	0.00070457
-730.06600660	0.00073872
-730.03300330	0.00074666
-730.00000000	0.00077849
-729.96699670	0.00077799
-729.93399340	0.00092250
-729.90099010	0.00080886
-729.86798680	0.00083560
-729.83498350	0.00097036
-729.80198020	0.00088386
-729.76897690	0.00090009
-729.73597360	0.00091819
-729.70297030	0.00091877
-729.66996700	0.00091095
-729.63696370	0.00086127
-729.60396040	0.00088282
-729.57095710	0.00078061
-729.53795380	0.00071854
-729.50495050	0.00065337
-729.47194719	0.00056703
-729.43894389	0.00041954
-729.40594059	0.00032355
-729.37293729	0.00021424
-729.33993399	-0.00003453
-729.30693069	-0.00005400
-729.27392739	-0.00029675
-729.24092409	-0.00047669
-729.20792079	-0.00065351
-729.17491749	-0.00084488
-729.14191419	-0.00094677
-729.10891089	-0.00115163
-729.07590759	-0.00132870
-729.04290429	-0.00140580
-729.00990099	-0.00163824
-728.97689769	-0.00171724
-728.94389439	-0.00168167
-728.91089109	-0.00186326
-728.87788779	-0.00182781
-728.84488449	-0.00195004
-728.81188119	-0.00189024
-728.77887789	-0.00191328
-728.74587459	-0.00190859
-728.71287129	-0.00179723
-728.67986799	-0.00169751
-728.64686469	-0.00157149
-728.61386139	-0.00135036
-728.58085809	-0.00113213
-728.54785479	-0.00084275
-728.51485149	-0.00050542
-728.48184818	-0.00021781
-728.44884488	0.00023848
-728.41584158	0.00052967
-728.38283828	0.00091933
-728.34983498	0.00123390
-728.31683168	0.00152509
-728.28382838	0.00171005
-728.25082508	0.00189472
-728.21782178	0.00182433
-728.18481848	0.00201534
-728.15181518	0.00179215
-728.11881188	0.00176625
-728.08580858	0.00164694
-728.05280528	0.00144622
-728.01980198	0.00127389
-727.98679868	0.00105499
-727.95379538	0.00090878
-727.92079208	0.00084840
-727.88778878	0.00062548
-727.85478548	0.00067100
-727.82178218	0.00039559
-727.78877888	0.00047883
-727.75577558	0.00038257
-727.72277228	0.00047999
-727.68976898	0.00036947
-727.65676568	0.00036824
-727.62376238	0.00044736
-727.59075908	0.00031069
-727.55775578	0.00048132
-727.52475248	0.00039253
-727.49174917	0.00038365
-727.45874587	0.00042816
-727.42574257	0.00036364
-727.39273927	0.00033053
-727.35973597	0.00036443
-727.32673267	0.00026562
-727.29372937	0.00025795
-727.26072607	0.00022526
-727.22772277	0.00017322
-727.19471947	0.00020741
-727.16171617	0.00016169
-727.12871287	0.00023125
-727.09570957	0.00011065
-727.06270627	0.00017448
-727.02970297	0.00023388
-726.99669967	0.00017476
-726.96369637	0.00028161
-726.93069307	0.00021111
-726.89768977	0.00030559
-726.86468647	0.00026474
-726.83168317	0.00028287
-726.79867987	0.00030610
-726.76567657	0.00028292
-726.73267327	0.00036584
-726.69966997	0.00039560
-726.66666667	0.00035044
-726.63366337	0.00028573
-726.60066007	0.00033609
-726.56765677	0.00039223
-726.53465347	0.00032391
-726.50165017	0.00043375
-726.46864686	0.00035697
-726.43564356	0.00031814
-726.40264026	0.00031101
-726.36963696	0.00043583
-726.33663366	0.00035218
-726.30363036	0.00035325
-726.27062706	0.00035227
-726.23762376	0.00038247
-726.20462046	0.00041536
-726.17161716	0.00032079
-726.13861386	0.00037977
-726.10561056	0.00034245
-726.07260726	0.00036520
-726.03960396	0.00025094
-726.00660066	0.00036756
-725.97359736	0.00028377
-725.94059406	0.00027754
-725.90759076	0.00033151
-725.87458746	0.00026587
-725.84158416	0.00036341
-725.80858086	0.00025665
-725.77557756	0.00034016
-725.74257426	0.00034461
-725.70957096	0.00028803
