# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-02-06T13:07:04
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-740.00000000	-0.00006515
-739.96699670	-0.00010085
-739.93399340	0.00004113
-739.90099010	-0.00015937
-739.86798680	-0.00022521
-739.83498350	-0.00016184
-739.80198020	-0.00015132
-739.76897690	-0.00014221
-739.73597360	-0.00010385
-739.70297030	-0.00014621
-739.66996700	-0.00014870
-739.63696370	-0.00006568
-739.60396040	-0.00013536
-739.57095710	-0.00015494
-739.53795380	-0.00007051
-739.50495050	-0.00011120
-739.47194719	-0.00001193
-739.43894389	-0.00002788
-739.40594059	-0.00005612
-739.37293729	0.00004417
-739.33993399	0.00013718
-739.30693069	0.00007885
-739.27392739	0.00016079
-739.24092409	0.00010395
-739.20792079	0.00014170
-739.17491749	0.00021854
-739.14191419	0.00020879
-739.10891089	0.00021187
-739.07590759	0.00031388
-739.04290429	0.00037750
-739.00990099	0.00031168
-738.97689769	0.00039233
-738.94389439	0.00037558
-738.91089109	0.00044952
-738.87788779	0.00048433
-738.84488449	0.00057041
-738.81188119	0.00054997
-738.77887789	0.00056232
-738.74587459	0.00059679
-738.71287129	0.00074586
-738.67986799	0.00069537
-738.64686469	0.00075884
-738.61386139	0.00074586
-738.58085809	0.00079070
-738.54785479	0.00076913
-738.51485149	0.00079381
-738.48184818	0.00083605
-738.44884488	0.00086236
-738.41584158	0.00079500
-738.38283828	0.00090073
-738.34983498	0.00095541
-738.31683168	0.00092685
-738.28382838	0.00094964
-738.25082508	0.00093544
-738.21782178	0.00092113
-738.18481848	0.00093624
-738.15181518	0.00083377
-738.11881188	0.00089590
-738.08580858	0.00090606
-738.05280528	0.00088370
-738.01980198	0.00085776
-737.98679868	0.00080182
-737.95379538	0.00081858
-737.92079208	0.00076936
-737.88778878	0.00067643
-737.85478548	0.00062955
-737.82178218	0.00057340
-737.78877888	0.00060282
-737.75577558	0.00056327
-737.72277228	0.00052477
-737.68976898	0.00049643
-737.65676568	0.00055406
-737.62376238	0.00053456
-737.59075908	0.00047214
-737.55775578	0.00044936
-737.52475248	0.00042777
-737.49174917	0.00044621
-737.45874587	0.00044837
-737.42574257	0.00028829
-737.39273927	0.00031208
-737.35973597	0.00035397
-737.32673267	0.00034423
-737.29372937	0.00034744
-737.26072607	0.00035251
-737.22772277	0.00040312
-737.19471947	0.00037334
-737.16171617	0.00028801
-737.12871287	0.00038202
-737.09570957	0.00029568
-737.06270627	0.00031266
-737.02970297	0.00038466
-736.99669967	0.00036785
-736.96369637	0.00047926
-736.93069307	0.00042187
-736.89768977	0.00040994
-736.86468647	0.00042810
-736.83168317	0.00047288
-736.79867987	0.00044544
-736.76567657	0.00050931
-736.73267327	0.00044933
-736.69966997	0.00046755
-736.66666667	0.00051414
-736.63366337	0.00046142
-736.60066007	0.00049206
-736.56765677	0.00050066
-736.53465347	0.00060459
-736.50165017	0.00062298
-736.46864686	0.00071390
-736.43564356	0.00072896
-736.40264026	0.00072455
-736.36963696	0.00070152
-736.33663366	0.00071701
-736.30363036	0.00077421
-736.27062706	0.00079906
-736.23762376	0.00067681
-736.20462046	0.00065194
-736.17161716	0.00072825
-736.13861386	0.00070808
-736.10561056	0.00067024
-736.07260726	0.00057065
-736.03960396	0.00067628
-736.00660066	0.00069474
-735.97359736	0.00070538
-735.94059406	0.00069221
-735.90759076	0.00067885
-735.87458746	0.00066781
-735.84158416	0.00063027
-735.80858086	0.00066539
-735.77557756	0.00057700
-735.74257426	0.00070582
-735.70957096	0.00068488
-735.67656766	0.00063993
-735.64356436	0.00064088
-735.61056106	0.00059155
-735.57755776	0.00069481
-735.54455446	0.00056741
-735.51155116	0.00055500
-735.47854785	0.00059999
-735.44554455	0.00050765
-735.41254125	0.00053453
-735.37953795	0.00061581
-735.34653465	0.00066305
-735.31353135	0.00057344
-735.28052805	0.00054147
-735.24752475	0.00048728
-735.21452145	0.00062165
-735.18151815	0.00060466
-735.14851485	0.00051354
-735.11551155	0.00056469
-735.08250825	0.00068044
-735.04950495	0.00050816
-735.01650165	0.00057067
-734.98349835	0.00061768
-734.95049505	0.00061714
-734.91749175	0.00063892
-734.88448845	0.00056007
-734.85148515	0.00063311
-734.81848185	0.00054070
-734.78547855	0.00064440
-734.75247525	0.00055640
-734.71947195	0.00058998
-734.68646865	0.00057969
-734.65346535	0.00066832
-734.62046205	0.00065235
-734.58745875	0.00060043
-734.55445545	0.00063065
-734.52145215	0.00071293
-734.48844884	0.00067937
-734.45544554	0.00067880
-734.42244224	0.00083527
-734.38943894	0.00077004
-734.35643564	0.00069455
-734.32343234	0.00093270
-734.29042904	0.00081809
-734.25742574	0.00085368
-734.22442244	0.00086829
-734.19141914	0.00100721
-734.15841584	0.00103794
-734.12541254	0.00096474
-734.09240924	0.00112132
-734.05940594	0.00113771
-734.02640264	0.00116942
-733.99339934	0.00126943
-733.96039604	0.00112556
-733.92739274	0.00124191
-733.89438944	0.00139781
-733.86138614	0.00134291
-733.82838284	0.00128101
-733.79537954	0.00135838
-733.76237624	0.00131618
-733.72937294	0.00135640
-733.69636964	0.00134411
-733.66336634	0.00121936
-733.63036304	0.00123795
-733.59735974	0.00118158
-733.56435644	0.00098758
-733.53135314	0.00105284
-733.49834983	0.00087943
-733.46534653	0.00066006
-733.43234323	0.00061535
-733.39933993	0.00047311
-733.36633663	0.00017819
-733.33333333	0.00000046
-733.30033003	-0.00026274
-733.26732673	-0.00042339
-733.23432343	-0.00071335
-733.20132013	-0.00079265
-733.16831683	-0.00099401
-733.13531353	-0.00116715
-733.10231023	-0.00127263
-733.06930693	-0.00143617
-733.03630363	-0.00153188
-733.00330033	-0.00154568
-732.97029703	-0.00168634
-732.93729373	-0.00171187
-732.90429043	-0.00184307
-732.87128713	-0.00177083
-732.83828383	-0.00178503
-732.80528053	-0.00171629
-732.77227723	-0.00165401
-732.73927393	-0.00143119
-732.70627063	-0.00134751
-732.67326733	-0.00105772
-732.64026403	-0.00069806
-732.60726073	-0.00029099
-732.57425743	-0.00002580
-732.54125413	0.00059458
-732.50825083	0.00101189
-732.47524752	0.00158457
-732.44224422	0.00191249
-732.40924092	0.00228782
-732.37623762	0.00260124
-732.34323432	0.00287694
-732.31023102	0.00282545
-732.27722772	0.00290327
-732.24422442	0.00289306
-732.21122112	0.00266111
-732.17821782	0.00258030
-732.14521452	0.00237915
-732.11221122	0.00216407
-732.07920792	0.00195512
-732.04620462	0.00171171
-732.01320132	0.00157993
-731.98019802	0.00129585
-731.94719472	0.00129471
-731.91419142	0.00118613
-731.88118812	0.00109803
-731.84818482	0.00094186
-731.81518152	0.00098547
-731.78217822	0.00090025
-731.74917492	0.00078789
-731.71617162	0.00086770
-731.68316832	0.00075280
-731.65016502	0.00069729
-731.61716172	0.00077958
-731.58415842	0.00065904
-731.55115512	0.00062015
-731.51815182	0.00068105
-731.48514851	0.00060257
-731.45214521	0.00051466
-731.41914191	0.00053518
-731.38613861	0.00051589
-731.35313531	0.00043512
-731.32013201	0.00041812
-731.28712871	0.00037393
-731.25412541	0.00046249
-731.22112211	0.00039879
-731.18811881	0.00045245
-731.15511551	0.00055650
-731.12211221	0.00041383
-731.08910891	0.00048802
-731.05610561	0.00053401
-731.02310231	0.00055407
-730.99009901	0.00056149
-730.95709571	0.00058139
-730.92409241	0.00054351
-730.89108911	0.00060561
-730.85808581	0.00066455
-730.82508251	0.00056476
-730.79207921	0.00065738
-730.75907591	0.00059095
-730.72607261	0.00057387
-730.69306931	0.00063893
-730.66006601	0.00060820
-730.62706271	0.00061971
-730.59405941	0.00055143
-730.56105611	0.00067315
-730.52805281	0.00068436
-730.49504950	0.00067549
-730.46204620	0.00065867
-730.42904290	0.00068775
-730.39603960	0.00079042
-730.36303630	0.00072505
-730.33003300	0.00066832
-730.29702970	0.00076045
-730.26402640	0.00061666
-730.23102310	0.00084358
-730.19801980	0.00073487
-730.16501650	0.00069001
-730.13201320	0.00062946
-730.09900990	0.00076460
-730.06600660	0.00060160
-730.03300330	0.00067423
-730.00000000	0.00066636
-729.96699670	0.00059888
-729.93399340	0.00059730
-729.90099010	0.00066855
-729.86798680	0.00057964
-729.83498350	0.00065662
-729.80198020	0.00068124
-729.76897690	0.00068742
-729.73597360	0.00065887
-729.70297030	0.00068998
-729.66996700	0.00072866
-729.63696370	0.00085721
-729.60396040	0.00071228
-729.57095710	0.00090494
-729.53795380	0.00084732
-729.50495050	0.00098482
-729.47194719	0.00101176
-729.43894389	0.00102638
-729.40594059	0.00109309
-729.37293729	0.00121276
-729.33993399	0.00118122
-729.30693069	0.00138424
-729.27392739	0.00136990
-729.24092409	0.00146622
-729.20792079	0.00152545
-729.17491749	0.00157555
-729.14191419	0.00166481
-729.10891089	0.00178996
-729.07590759	0.00183163
-729.04290429	0.00181343
-729.00990099	0.00192236
-728.97689769	0.00185306
-728.94389439	0.00179708
-728.91089109	0.00160376
-728.87788779	0.00134857
-728.84488449	0.00098653
-728.81188119	0.00056893
-728.77887789	-0.00010731
-728.74587459	-0.00077882
-728.71287129	-0.00156814
-728.67986799	-0.00254451
-728.64686469	-0.00344219
-728.61386139	-0.00426007
-728.58085809	-0.00513302
-728.54785479	-0.00561060
-728.51485149	-0.00592009
-728.48184818	-0.00597554
-728.44884488	-0.00571306
-728.41584158	-0.00519451
-728.38283828	-0.00435816
-728.34983498	-0.00336082
-728.31683168	-0.00228131
-728.28382838	-0.00112427
-728.25082508	-0.00017571
-728.21782178	0.00083465
-728.18481848	0.00151547
-728.15181518	0.00211979
-728.11881188	0.00254640
-728.08580858	0.00274843
-728.05280528	0.00287695
-728.01980198	0.00290244
-727.98679868	0.00286541
-727.95379538	0.00280712
-727.92079208	0.00260246
-727.88778878	0.00251582
-727.85478548	0.00229675
-727.82178218	0.00218603
-727.78877888	0.00195723
-727.75577558	0.00193482
-727.72277228	0.00164837
-727.68976898	0.00164532
-727.65676568	0.00146909
-727.62376238	0.00130398
-727.59075908	0.00129648
-727.55775578	0.00116106
-727.52475248	0.00103980
-727.49174917	0.00107355
-727.45874587	0.00098777
-727.42574257	0.00089436
-727.39273927	0.00090331
-727.35973597	0.00071512
-727.32673267	0.00063841
-727.29372937	0.00067255
-727.26072607	0.00037672
-727.22772277	0.00042788
-727.19471947	0.00031015
-727.16171617	0.00020415
-727.12871287	0.00021953
-727.09570957	0.00008878
-727.06270627	0.00005706
-727.02970297	0.00015342
-726.99669967	0.00012064
-726.96369637	0.00009747
-726.93069307	0.00021761
-726.89768977	0.00022883
-726.86468647	0.00021852
-726.83168317	0.00028575
-726.79867987	0.00027066
-726.76567657	0.00031470
-726.73267327	0.00030687
-726.69966997	0.00023863
-726.66666667	0.00022356
-726.63366337	0.00013523
-726.60066007	0.00015471
-726.56765677	0.00001484
-726.53465347	0.00005468
-726.50165017	0.00001149
-726.46864686	0.00007562
-726.43564356	0.00003152
-726.40264026	0.00016684
-726.36963696	0.00015080
-726.33663366	0.00022738
-726.30363036	0.00026512
-726.27062706	0.00029582
-726.23762376	0.00036847
-726.20462046	0.00032330
-726.17161716	0.00030570
-726.13861386	0.00019105
-726.10561056	0.00005470
-726.07260726	-0.00018384
-726.03960396	-0.00030342
-726.00660066	-0.00071362
-725.97359736	-0.00092340
-725.94059406	-0.00117530
-725.90759076	-0.00162642
-725.87458746	-0.00172473
-725.84158416	-0.00205928
-725.80858086	-0.00224863
-725.77557756	-0.00241563
-725.74257426	-0.00255301
-725.70957096	-0.00268934
-725.67656766	-0.00290683
-725.64356436	-0.00299825
-725.61056106	-0.00345562
-725.57755776	-0.00383404
-725.54455446	-0.00429207
-725.51155116	-0.00509144
-725.47854785	-0.00579782
-725.44554455	-0.00666569
-725.41254125	-0.00758544
-725.37953795	-0.00823141
-725.34653465	-0.00886328
-725.31353135	-0.00910675
-725.28052805	-0.00896576
-725.24752475	-0.00836750
-725.21452145	-0.00738644
-725.18151815	-0.00582902
-725.14851485	-0.00417042
-725.11551155	-0.00197455
-725.08250825	-0.00011503
-725.04950495	0.00180012
-725.01650165	0.00332212
-724.98349835	0.00447019
-724.95049505	0.00512188
-724.91749175	0.00541038
-724.88448845	0.00530722
-724.85148515	0.00505013
-724.81848185	0.00469210
-724.78547855	0.00451095
-724.75247525	0.00430243
-724.71947195	0.00442523
-724.68646865	0.00456705
-724.65346535	0.00499679
-724.62046205	0.00534202
-724.58745875	0.00569470
-724.55445545	0.00602020
-724.52145215	0.00605992
-724.48844884	0.00601931
-724.45544554	0.00565839
-724.42244224	0.00511682
-724.38943894	0.00444040
-724.35643564	0.00343742
-724.32343234	0.00247826
-724.29042904	0.00141001
-724.25742574	0.00021164
-724.22442244	-0.00070300
-724.19141914	-0.00179931
-724.15841584	-0.00259310
-724.12541254	-0.00354141
-724.09240924	-0.00426772
-724.05940594	-0.00518923
-724.02640264	-0.00595549
-723.99339934	-0.00702428
-723.96039604	-0.00807599
-723.92739274	-0.00950089
-723.89438944	-0.01118715
-723.86138614	-0.01304334
-723.82838284	-0.01531487
-723.79537954	-0.01747621
-723.76237624	-0.01984268
-723.72937294	-0.02191741
-723.69636964	-0.02352914
-723.66336634	-0.02444949
