# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-02-06T13:03:48
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-740.00000000	-0.00011970
-739.96699670	-0.00012961
-739.93399340	-0.00009531
-739.90099010	-0.00004805
-739.86798680	-0.00006885
-739.83498350	-0.00014019
-739.80198020	-0.00016411
-739.76897690	-0.00015599
-739.73597360	-0.00016521
-739.70297030	-0.00004876
-739.66996700	-0.00014231
-739.63696370	-0.00003753
-739.60396040	-0.00027932
-739.57095710	-0.00005145
-739.53795380	-0.00006344
-739.50495050	-0.00003703
-739.47194719	-0.00005360
-739.43894389	-0.00002525
-739.40594059	-0.00005192
-739.37293729	0.00001680
-739.33993399	0.00003933
-739.30693069	0.00005711
-739.27392739	0.00011531
-739.24092409	0.00008832
-739.20792079	0.00023548
-739.17491749	0.00015137
-739.14191419	0.00029760
-739.10891089	0.00034282
-739.07590759	0.00024407
-739.04290429	0.00028941
-739.00990099	0.00038817
-738.97689769	0.00045535
-738.94389439	0.00042811
-738.91089109	0.00043400
-738.87788779	0.00051776
-738.84488449	0.00043258
-738.81188119	0.00061637
-738.77887789	0.00065042
-738.74587459	0.00065628
-738.71287129	0.00066516
-738.67986799	0.00075041
-738.64686469	0.00062264
-738.61386139	0.00073164
-738.58085809	0.00070029
-738.54785479	0.00083307
-738.51485149	0.00078975
-738.48184818	0.00083490
-738.44884488	0.00078626
-738.41584158	0.00090630
-738.38283828	0.00087240
-738.34983498	0.00083000
-738.31683168	0.00091579
-738.28382838	0.00094813
-738.25082508	0.00088960
-738.21782178	0.00093943
-738.18481848	0.00087159
-738.15181518	0.00090019
-738.11881188	0.00087082
-738.08580858	0.00090353
-738.05280528	0.00092421
-738.01980198	0.00087738
-737.98679868	0.00089567
-737.95379538	0.00082784
-737.92079208	0.00072760
-737.88778878	0.00077621
-737.85478548	0.00080901
-737.82178218	0.00068826
-737.78877888	0.00055747
-737.75577558	0.00062804
-737.72277228	0.00066510
-737.68976898	0.00060398
-737.65676568	0.00052883
-737.62376238	0.00054459
-737.59075908	0.00050876
-737.55775578	0.00042070
-737.52475248	0.00047858
-737.49174917	0.00046879
-737.45874587	0.00048591
-737.42574257	0.00047723
-737.39273927	0.00043415
-737.35973597	0.00043028
-737.32673267	0.00034617
-737.29372937	0.00022840
-737.26072607	0.00030847
-737.22772277	0.00034740
-737.19471947	0.00024425
-737.16171617	0.00034088
-737.12871287	0.00034979
-737.09570957	0.00029996
-737.06270627	0.00026865
-737.02970297	0.00035967
-736.99669967	0.00038101
-736.96369637	0.00034101
-736.93069307	0.00040864
-736.89768977	0.00035958
-736.86468647	0.00034569
-736.83168317	0.00038012
-736.79867987	0.00042721
-736.76567657	0.00046921
-736.73267327	0.00047347
-736.69966997	0.00057136
-736.66666667	0.00057919
-736.63366337	0.00062162
-736.60066007	0.00063863
-736.56765677	0.00068343
-736.53465347	0.00056905
-736.50165017	0.00067367
-736.46864686	0.00064550
-736.43564356	0.00070902
-736.40264026	0.00068996
-736.36963696	0.00067995
-736.33663366	0.00065984
-736.30363036	0.00077678
-736.27062706	0.00075379
-736.23762376	0.00069966
-736.20462046	0.00064268
-736.17161716	0.00067561
-736.13861386	0.00080668
-736.10561056	0.00072407
-736.07260726	0.00068061
-736.03960396	0.00067522
-736.00660066	0.00066511
-735.97359736	0.00072142
-735.94059406	0.00072261
-735.90759076	0.00060536
