# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-02-11T13:11:15
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-740.00000000	-0.00001203
-739.96699670	0.00005692
-739.93399340	0.00004318
-739.90099010	-0.00004521
-739.86798680	0.00009527
-739.83498350	-0.00005855
-739.80198020	0.00007117
-739.76897690	-0.00004285
-739.73597360	0.00008752
-739.70297030	0.00002236
-739.66996700	0.00004097
-739.63696370	0.00003838
-739.60396040	0.00004620
-739.57095710	0.00000325
-739.53795380	0.00004631
-739.50495050	-0.00007140
-739.47194719	0.00009434
-739.43894389	0.00003946
-739.40594059	-0.00003225
-739.37293729	0.00001222
-739.33993399	-0.00000253
-739.30693069	-0.00003194
-739.27392739	-0.00002219
-739.24092409	-0.00002372
-739.20792079	0.00001631
-739.17491749	-0.00002741
-739.14191419	-0.00010470
-739.10891089	-0.00015601
-739.07590759	-0.00006643
-739.04290429	-0.00001665
-739.00990099	-0.00003053
-738.97689769	-0.00007034
-738.94389439	-0.00005698
-738.91089109	-0.00002654
-738.87788779	-0.00007806
-738.84488449	0.00000537
-738.81188119	0.00003489
-738.77887789	0.00010253
-738.74587459	0.00008431
-738.71287129	0.00009223
-738.67986799	0.00003722
-738.64686469	-0.00000000
-738.61386139	0.00005502
-738.58085809	0.00012198
-738.54785479	0.00010897
-738.51485149	0.00011074
-738.48184818	0.00011811
-738.44884488	0.00012637
-738.41584158	0.00009243
-738.38283828	0.00007084
-738.34983498	0.00012467
-738.31683168	0.00013230
-738.28382838	0.00008883
-738.25082508	0.00013225
-738.21782178	0.00009831
-738.18481848	0.00011033
-738.15181518	0.00014118
-738.11881188	0.00010669
-738.08580858	0.00017540
-738.05280528	0.00018074
-738.01980198	0.00007577
-737.98679868	0.00008022
-737.95379538	0.00014315
-737.92079208	0.00014035
-737.88778878	0.00011926
-737.85478548	0.00006488
-737.82178218	0.00013317
-737.78877888	0.00015677
-737.75577558	0.00007281
-737.72277228	0.00016304
-737.68976898	0.00007230
-737.65676568	0.00022856
-737.62376238	0.00014983
-737.59075908	0.00016130
-737.55775578	0.00011476
-737.52475248	0.00014357
-737.49174917	0.00013951
-737.45874587	0.00015840
-737.42574257	0.00020769
-737.39273927	0.00026144
-737.35973597	0.00023934
-737.32673267	0.00014877
-737.29372937	0.00017729
-737.26072607	0.00010640
-737.22772277	0.00015433
-737.19471947	0.00016886
-737.16171617	0.00011748
-737.12871287	0.00010304
-737.09570957	0.00003995
-737.06270627	0.00000292
-737.02970297	0.00000240
-736.99669967	0.00001453
-736.96369637	0.00012066
-736.93069307	-0.00002267
-736.89768977	-0.00013390
-736.86468647	-0.00007155
-736.83168317	-0.00016529
-736.79867987	-0.00010295
-736.76567657	-0.00012122
-736.73267327	-0.00004914
-736.69966997	-0.00014968
-736.66666667	-0.00006409
-736.63366337	-0.00015174
-736.60066007	-0.00006712
-736.56765677	-0.00012693
-736.53465347	-0.00012951
-736.50165017	-0.00012285
-736.46864686	-0.00017208
-736.43564356	-0.00005938
-736.40264026	-0.00003715
-736.36963696	-0.00009207
-736.33663366	-0.00005959
-736.30363036	-0.00012474
-736.27062706	-0.00001624
-736.23762376	0.00000094
-736.20462046	-0.00000910
-736.17161716	0.00003732
-736.13861386	0.00005948
-736.10561056	0.00008571
-736.07260726	0.00011827
-736.03960396	0.00013121
-736.00660066	0.00020894
-735.97359736	0.00021949
-735.94059406	0.00017969
-735.90759076	0.00018171
-735.87458746	0.00024465
-735.84158416	0.00027349
-735.80858086	0.00028348
-735.77557756	0.00031932
-735.74257426	0.00038851
-735.70957096	0.00045674
-735.67656766	0.00038956
-735.64356436	0.00042656
-735.61056106	0.00048397
-735.57755776	0.00047758
-735.54455446	0.00053151
-735.51155116	0.00052632
-735.47854785	0.00051047
-735.44554455	0.00067943
-735.41254125	0.00059799
-735.37953795	0.00067697
-735.34653465	0.00064998
-735.31353135	0.00068840
-735.28052805	0.00070972
-735.24752475	0.00070086
-735.21452145	0.00068068
-735.18151815	0.00064574
-735.14851485	0.00084749
-735.11551155	0.00067956
-735.08250825	0.00060118
-735.04950495	0.00067341
-735.01650165	0.00065902
-734.98349835	0.00064463
-734.95049505	0.00069736
-734.91749175	0.00059930
-734.88448845	0.00055767
-734.85148515	0.00063450
-734.81848185	0.00056491
-734.78547855	0.00059568
-734.75247525	0.00050456
-734.71947195	0.00053625
-734.68646865	0.00057592
-734.65346535	0.00049995
-734.62046205	0.00045206
-734.58745875	0.00042391
-734.55445545	0.00042077
-734.52145215	0.00040202
-734.48844884	0.00039060
-734.45544554	0.00045583
-734.42244224	0.00037945
-734.38943894	0.00034061
-734.35643564	0.00031392
-734.32343234	0.00030469
-734.29042904	0.00025104
-734.25742574	0.00029337
-734.22442244	0.00017413
-734.19141914	0.00021860
-734.15841584	0.00029154
-734.12541254	0.00028478
-734.09240924	0.00015991
-734.05940594	0.00024848
-734.02640264	0.00031302
