# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-02-11T13:29:57
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-740.00000000	-0.00015109
-739.96699670	-0.00022459
-739.93399340	-0.00012942
-739.90099010	-0.00010764
-739.86798680	-0.00010584
-739.83498350	-0.00015999
-739.80198020	-0.00012635
-739.76897690	-0.00005781
-739.73597360	-0.00010610
-739.70297030	-0.00005661
-739.66996700	-0.00004477
-739.63696370	0.00000461
-739.60396040	-0.00000231
-739.57095710	0.00006784
-739.53795380	0.00012234
-739.50495050	0.00009068
-739.47194719	0.00004878
-739.43894389	0.00010476
-739.40594059	0.00011732
-739.37293729	0.00003149
-739.33993399	0.00004249
-739.30693069	0.00014774
-739.27392739	0.00000560
-739.24092409	0.00007690
-739.20792079	-0.00000483
-739.17491749	0.00012342
-739.14191419	0.00012464
-739.10891089	0.00007863
-739.07590759	0.00007913
-739.04290429	0.00001097
-739.00990099	0.00005500
-738.97689769	0.00008625
-738.94389439	0.00009176
-738.91089109	0.00001090
-738.87788779	0.00001355
-738.84488449	-0.00010720
-738.81188119	-0.00008927
-738.77887789	0.00003387
-738.74587459	-0.00005886
-738.71287129	-0.00007532
-738.67986799	-0.00010215
-738.64686469	-0.00004163
-738.61386139	-0.00005659
-738.58085809	-0.00006384
-738.54785479	-0.00002318
-738.51485149	-0.00008649
-738.48184818	-0.00013558
-738.44884488	-0.00013179
-738.41584158	-0.00011957
-738.38283828	-0.00012758
-738.34983498	-0.00017329
-738.31683168	-0.00019615
-738.28382838	-0.00009707
-738.25082508	-0.00005937
-738.21782178	-0.00019260
-738.18481848	-0.00020850
-738.15181518	-0.00013976
-738.11881188	-0.00026021
-738.08580858	-0.00015596
-738.05280528	-0.00009287
-738.01980198	-0.00011865
-737.98679868	-0.00009963
-737.95379538	-0.00018232
-737.92079208	-0.00020431
-737.88778878	-0.00013617
-737.85478548	-0.00015247
-737.82178218	-0.00007868
-737.78877888	-0.00016835
-737.75577558	-0.00018998
-737.72277228	-0.00016011
-737.68976898	-0.00014653
-737.65676568	-0.00006191
-737.62376238	-0.00006425
-737.59075908	-0.00007542
-737.55775578	-0.00003735
-737.52475248	-0.00001147
-737.49174917	-0.00007101
-737.45874587	-0.00003220
-737.42574257	0.00001501
-737.39273927	-0.00000085
-737.35973597	0.00008230
-737.32673267	0.00009927
-737.29372937	0.00001677
-737.26072607	0.00012340
-737.22772277	0.00017104
-737.19471947	0.00017840
-737.16171617	0.00025245
-737.12871287	0.00027698
-737.09570957	0.00042812
-737.06270627	0.00042968
-737.02970297	0.00043006
-736.99669967	0.00052113
-736.96369637	0.00055213
-736.93069307	0.00053020
-736.89768977	0.00064675
-736.86468647	0.00060836
-736.83168317	0.00065892
-736.79867987	0.00064200
-736.76567657	0.00064191
-736.73267327	0.00064701
-736.69966997	0.00055786
-736.66666667	0.00051320
-736.63366337	0.00037366
-736.60066007	0.00026458
-736.56765677	0.00018251
-736.53465347	0.00005697
-736.50165017	-0.00010556
-736.46864686	-0.00038169
-736.43564356	-0.00050571
-736.40264026	-0.00069933
-736.36963696	-0.00100394
-736.33663366	-0.00126617
-736.30363036	-0.00153713
-736.27062706	-0.00171527
-736.23762376	-0.00196931
-736.20462046	-0.00213712
-736.17161716	-0.00234067
-736.13861386	-0.00248175
-736.10561056	-0.00264598
-736.07260726	-0.00271126
-736.03960396	-0.00278343
-736.00660066	-0.00277476
-735.97359736	-0.00279379
-735.94059406	-0.00291973
-735.90759076	-0.00295997
-735.87458746	-0.00308174
-735.84158416	-0.00301150
-735.80858086	-0.00281378
-735.77557756	-0.00269441
-735.74257426	-0.00245332
-735.70957096	-0.00205708
-735.67656766	-0.00168188
-735.64356436	-0.00123390
-735.61056106	-0.00061071
-735.57755776	0.00005732
-735.54455446	0.00067093
-735.51155116	0.00114422
-735.47854785	0.00164900
-735.44554455	0.00211439
-735.41254125	0.00223757
-735.37953795	0.00249221
-735.34653465	0.00253471
-735.31353135	0.00243760
-735.28052805	0.00234996
-735.24752475	0.00201451
-735.21452145	0.00181808
-735.18151815	0.00158011
-735.14851485	0.00126114
-735.11551155	0.00101787
-735.08250825	0.00088421
-735.04950495	0.00063481
-735.01650165	0.00052277
-734.98349835	0.00036446
-734.95049505	0.00040673
-734.91749175	0.00022525
-734.88448845	0.00019825
-734.85148515	0.00016501
-734.81848185	0.00022398
-734.78547855	0.00015879
-734.75247525	0.00002627
-734.71947195	0.00006706
-734.68646865	0.00007609
-734.65346535	0.00004241
-734.62046205	-0.00004222
-734.58745875	-0.00002952
-734.55445545	-0.00010055
-734.52145215	-0.00015281
-734.48844884	-0.00011125
-734.45544554	-0.00018239
-734.42244224	-0.00025796
-734.38943894	-0.00015942
-734.35643564	-0.00028955
-734.32343234	-0.00021678
-734.29042904	-0.00017983
-734.25742574	-0.00020464
-734.22442244	-0.00023983
-734.19141914	-0.00014409
-734.15841584	-0.00011054
-734.12541254	0.00000969
-734.09240924	-0.00008020
-734.05940594	0.00008294
-734.02640264	0.00000745
-733.99339934	0.00001341
-733.96039604	0.00001474
-733.92739274	0.00017060
-733.89438944	0.00013394
-733.86138614	0.00012506
-733.82838284	0.00017750
-733.79537954	0.00010013
-733.76237624	0.00012940
-733.72937294	0.00012399
-733.69636964	0.00014402
-733.66336634	0.00016820
-733.63036304	0.00016436
-733.59735974	0.00015867
-733.56435644	0.00028358
-733.53135314	0.00022541
-733.49834983	0.00021724
-733.46534653	0.00029770
-733.43234323	0.00023393
-733.39933993	0.00022321
-733.36633663	0.00033415
-733.33333333	0.00022905
-733.30033003	0.00022461
-733.26732673	0.00027680
-733.23432343	0.00031910
-733.20132013	0.00018636
-733.16831683	0.00023569
-733.13531353	0.00019176
-733.10231023	0.00021620
-733.06930693	0.00025845
-733.03630363	0.00020958
-733.00330033	0.00022352
-732.97029703	0.00019035
-732.93729373	0.00022323
-732.90429043	0.00020700
-732.87128713	0.00031550
-732.83828383	0.00030745
-732.80528053	0.00032539
-732.77227723	0.00036949
-732.73927393	0.00042412
-732.70627063	0.00045520
-732.67326733	0.00044569
-732.64026403	0.00058847
-732.60726073	0.00066705
-732.57425743	0.00068408
-732.54125413	0.00081405
-732.50825083	0.00086136
-732.47524752	0.00086319
-732.44224422	0.00097699
-732.40924092	0.00102865
-732.37623762	0.00118174
-732.34323432	0.00123523
-732.31023102	0.00134037
-732.27722772	0.00137320
-732.24422442	0.00148604
-732.21122112	0.00164566
-732.17821782	0.00172993
-732.14521452	0.00180313
-732.11221122	0.00190711
-732.07920792	0.00191134
-732.04620462	0.00211684
-732.01320132	0.00194286
-731.98019802	0.00192568
-731.94719472	0.00179727
-731.91419142	0.00149387
-731.88118812	0.00100275
-731.84818482	0.00046691
-731.81518152	-0.00036635
-731.78217822	-0.00133009
-731.74917492	-0.00252987
-731.71617162	-0.00376318
-731.68316832	-0.00497621
-731.65016502	-0.00603237
-731.61716172	-0.00703578
-731.58415842	-0.00754984
-731.55115512	-0.00779323
-731.51815182	-0.00751909
-731.48514851	-0.00688536
-731.45214521	-0.00591627
-731.41914191	-0.00472568
-731.38613861	-0.00323431
-731.35313531	-0.00193113
-731.32013201	-0.00064240
-731.28712871	0.00049917
-731.25412541	0.00138650
-731.22112211	0.00197167
-731.18811881	0.00256943
-731.15511551	0.00274943
-731.12211221	0.00287669
-731.08910891	0.00297320
-731.05610561	0.00278343
-731.02310231	0.00267100
-730.99009901	0.00251476
-730.95709571	0.00212610
