# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-02-03T16:12:43
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-740.00000000	-0.00019533
-739.96699670	-0.00018034
-739.93399340	-0.00020014
-739.90099010	-0.00015599
-739.86798680	-0.00018442
-739.83498350	-0.00010413
-739.80198020	-0.00021757
-739.76897690	-0.00015668
-739.73597360	-0.00012919
-739.70297030	-0.00013601
-739.66996700	-0.00016688
-739.63696370	-0.00009727
-739.60396040	-0.00016015
-739.57095710	-0.00009521
-739.53795380	-0.00008653
-739.50495050	-0.00006157
-739.47194719	-0.00005724
-739.43894389	-0.00001933
-739.40594059	0.00012441
-739.37293729	0.00003439
-739.33993399	0.00012425
-739.30693069	0.00006857
-739.27392739	0.00018815
-739.24092409	0.00017844
-739.20792079	0.00019259
-739.17491749	0.00025877
-739.14191419	0.00024327
-739.10891089	0.00031001
-739.07590759	0.00035334
-739.04290429	0.00032779
-739.00990099	0.00041203
-738.97689769	0.00044845
-738.94389439	0.00048683
-738.91089109	0.00049705
-738.87788779	0.00046406
-738.84488449	0.00043053
-738.81188119	0.00050617
-738.77887789	0.00064976
-738.74587459	0.00054680
-738.71287129	0.00053669
-738.67986799	0.00059267
-738.64686469	0.00061658
-738.61386139	0.00062650
-738.58085809	0.00062222
-738.54785479	0.00064248
-738.51485149	0.00073356
-738.48184818	0.00068482
-738.44884488	0.00079252
-738.41584158	0.00064831
-738.38283828	0.00068642
-738.34983498	0.00073944
-738.31683168	0.00074042
-738.28382838	0.00069982
-738.25082508	0.00062261
-738.21782178	0.00073665
-738.18481848	0.00060349
-738.15181518	0.00062031
-738.11881188	0.00059177
-738.08580858	0.00052180
-738.05280528	0.00047081
-738.01980198	0.00050537
-737.98679868	0.00057827
-737.95379538	0.00056380
-737.92079208	0.00045828
-737.88778878	0.00046929
-737.85478548	0.00038449
-737.82178218	0.00032765
-737.78877888	0.00033142
-737.75577558	0.00023780
-737.72277228	0.00020636
-737.68976898	0.00018762
-737.65676568	0.00019936
-737.62376238	0.00016724
-737.59075908	0.00017546
-737.55775578	0.00018984
-737.52475248	0.00011197
-737.49174917	0.00012416
-737.45874587	0.00010777
-737.42574257	0.00006924
-737.39273927	0.00001291
-737.35973597	0.00003349
-737.32673267	-0.00000529
-737.29372937	0.00004415
-737.26072607	-0.00007415
-737.22772277	-0.00003738
-737.19471947	-0.00008670
-737.16171617	-0.00007555
-737.12871287	-0.00010008
-737.09570957	0.00006914
-737.06270627	-0.00003361
-737.02970297	-0.00003225
-736.99669967	0.00001432
-736.96369637	-0.00001874
-736.93069307	0.00003847
-736.89768977	0.00004711
-736.86468647	-0.00001035
-736.83168317	0.00013475
-736.79867987	0.00014664
-736.76567657	0.00017934
-736.73267327	0.00018523
-736.69966997	0.00011503
-736.66666667	0.00024635
-736.63366337	0.00016788
-736.60066007	0.00023266
-736.56765677	0.00021269
-736.53465347	0.00033426
-736.50165017	0.00031971
-736.46864686	0.00029119
-736.43564356	0.00034620
-736.40264026	0.00027770
-736.36963696	0.00035392
-736.33663366	0.00043875
-736.30363036	0.00029734
-736.27062706	0.00037876
-736.23762376	0.00043387
-736.20462046	0.00032963
-736.17161716	0.00033787
-736.13861386	0.00038730
-736.10561056	0.00038317
-736.07260726	0.00031632
-736.03960396	0.00036544
-736.00660066	0.00036192
-735.97359736	0.00037984
-735.94059406	0.00037283
-735.90759076	0.00026837
-735.87458746	0.00032641
-735.84158416	0.00032829
-735.80858086	0.00031175
-735.77557756	0.00029145
-735.74257426	0.00026165
-735.70957096	0.00025144
-735.67656766	0.00024354
-735.64356436	0.00019094
-735.61056106	0.00026880
-735.57755776	0.00038798
-735.54455446	0.00022337
-735.51155116	0.00024604
-735.47854785	0.00023588
-735.44554455	0.00018868
-735.41254125	0.00010203
-735.37953795	0.00028863
-735.34653465	0.00016330
-735.31353135	0.00021883
-735.28052805	0.00007059
-735.24752475	0.00008502
-735.21452145	0.00023203
-735.18151815	0.00021728
-735.14851485	0.00009337
-735.11551155	0.00009538
-735.08250825	0.00004365
-735.04950495	0.00008134
-735.01650165	0.00009367
-734.98349835	0.00005635
-734.95049505	0.00011250
-734.91749175	0.00006475
