# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-02-03T16:11:22
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-740.00000000	-0.00013302
-739.96699670	-0.00023027
-739.93399340	-0.00010295
-739.90099010	-0.00020686
-739.86798680	-0.00017918
-739.83498350	-0.00008889
-739.80198020	-0.00021959
-739.76897690	-0.00020601
-739.73597360	-0.00009357
-739.70297030	-0.00018109
-739.66996700	-0.00009744
-739.63696370	-0.00012392
-739.60396040	-0.00008587
-739.57095710	-0.00004947
-739.53795380	-0.00005525
-739.50495050	-0.00000264
-739.47194719	-0.00005479
-739.43894389	0.00002283
-739.40594059	0.00001424
-739.37293729	0.00004808
-739.33993399	0.00004738
-739.30693069	0.00011607
-739.27392739	0.00017895
-739.24092409	0.00019612
-739.20792079	0.00019799
-739.17491749	0.00014943
-739.14191419	0.00018562
-739.10891089	0.00029437
-739.07590759	0.00034953
-739.04290429	0.00031020
-739.00990099	0.00043230
-738.97689769	0.00056200
-738.94389439	0.00044610
-738.91089109	0.00038962
-738.87788779	0.00047723
-738.84488449	0.00057429
-738.81188119	0.00058840
-738.77887789	0.00053203
-738.74587459	0.00062498
-738.71287129	0.00063918
-738.67986799	0.00067288
-738.64686469	0.00072805
-738.61386139	0.00074555
-738.58085809	0.00076106
-738.54785479	0.00068948
-738.51485149	0.00070147
-738.48184818	0.00075632
-738.44884488	0.00067892
-738.41584158	0.00069872
-738.38283828	0.00074135
-738.34983498	0.00073049
-738.31683168	0.00069088
-738.28382838	0.00071673
-738.25082508	0.00064821
-738.21782178	0.00072891
-738.18481848	0.00063047
-738.15181518	0.00067168
-738.11881188	0.00061561
-738.08580858	0.00047848
-738.05280528	0.00050219
-738.01980198	0.00052060
-737.98679868	0.00044344
-737.95379538	0.00052492
-737.92079208	0.00050052
-737.88778878	0.00057461
-737.85478548	0.00033105
-737.82178218	0.00033982
-737.78877888	0.00035323
-737.75577558	0.00031365
-737.72277228	0.00022792
-737.68976898	0.00022014
-737.65676568	0.00024327
-737.62376238	0.00024592
-737.59075908	0.00022702
-737.55775578	0.00016748
-737.52475248	0.00009920
-737.49174917	0.00004028
-737.45874587	0.00008631
-737.42574257	0.00005174
-737.39273927	-0.00001312
-737.35973597	-0.00008526
-737.32673267	-0.00006341
-737.29372937	-0.00005266
-737.26072607	-0.00001950
-737.22772277	-0.00002470
-737.19471947	-0.00004102
-737.16171617	-0.00006414
-737.12871287	0.00001854
-737.09570957	-0.00006475
-737.06270627	-0.00002619
-737.02970297	-0.00004310
-736.99669967	0.00000381
-736.96369637	0.00003245
-736.93069307	0.00002143
-736.89768977	0.00003744
-736.86468647	0.00004095
-736.83168317	0.00010427
-736.79867987	0.00004425
-736.76567657	0.00008046
-736.73267327	0.00012517
-736.69966997	0.00018584
-736.66666667	0.00021968
-736.63366337	0.00025347
-736.60066007	0.00023953
-736.56765677	0.00030665
-736.53465347	0.00029965
-736.50165017	0.00031444
-736.46864686	0.00022452
-736.43564356	0.00025431
-736.40264026	0.00025286
-736.36963696	0.00038736
-736.33663366	0.00036132
-736.30363036	0.00037935
-736.27062706	0.00039805
-736.23762376	0.00034448
-736.20462046	0.00035786
-736.17161716	0.00036881
-736.13861386	0.00038648
-736.10561056	0.00041343
-736.07260726	0.00036776
-736.03960396	0.00034111
-736.00660066	0.00034043
-735.97359736	0.00029670
-735.94059406	0.00035655
-735.90759076	0.00038585
-735.87458746	0.00037638
-735.84158416	0.00031219
-735.80858086	0.00035239
-735.77557756	0.00029840
-735.74257426	0.00028128
-735.70957096	0.00030296
-735.67656766	0.00028223
-735.64356436	0.00025903
-735.61056106	0.00022067
-735.57755776	0.00020972
-735.54455446	0.00026810
-735.51155116	0.00029698
-735.47854785	0.00016350
-735.44554455	0.00015319
-735.41254125	0.00035049
-735.37953795	0.00023907
-735.34653465	0.00013391
-735.31353135	0.00015954
-735.28052805	0.00014568
-735.24752475	0.00014535
-735.21452145	0.00005356
-735.18151815	0.00013595
-735.14851485	0.00010367
-735.11551155	0.00017646
-735.08250825	0.00010105
-735.04950495	0.00003820
-735.01650165	0.00008758
-734.98349835	0.00008739
-734.95049505	0.00002336
-734.91749175	-0.00001740
-734.88448845	0.00008264
-734.85148515	0.00009357
-734.81848185	0.00002056
-734.78547855	0.00005859
-734.75247525	0.00008180
-734.71947195	0.00005726
-734.68646865	0.00014394
-734.65346535	0.00010457
-734.62046205	0.00020220
-734.58745875	0.00019074
-734.55445545	0.00015683
-734.52145215	0.00028252
-734.48844884	0.00029649
-734.45544554	0.00023170
-734.42244224	0.00032562
-734.38943894	0.00035709
-734.35643564	0.00040068
-734.32343234	0.00039692
-734.29042904	0.00040759
-734.25742574	0.00056280
-734.22442244	0.00053043
-734.19141914	0.00056118
-734.15841584	0.00067864
-734.12541254	0.00070625
-734.09240924	0.00079326
-734.05940594	0.00085417
-734.02640264	0.00066016
-733.99339934	0.00086194
-733.96039604	0.00096097
-733.92739274	0.00090321
-733.89438944	0.00088921
-733.86138614	0.00099064
-733.82838284	0.00100860
-733.79537954	0.00092968
-733.76237624	0.00092352
-733.72937294	0.00087449
-733.69636964	0.00085572
-733.66336634	0.00088221
-733.63036304	0.00080167
-733.59735974	0.00069061
-733.56435644	0.00056383
-733.53135314	0.00041378
-733.49834983	0.00035324
-733.46534653	0.00019884
