# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-02-03T15:29:18
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-740.00000000	-0.00020931
-739.96699670	-0.00013867
-739.93399340	-0.00014724
-739.90099010	-0.00017742
-739.86798680	-0.00014515
-739.83498350	-0.00006697
-739.80198020	-0.00008610
-739.76897690	-0.00000811
-739.73597360	-0.00004491
-739.70297030	-0.00002277
-739.66996700	-0.00005003
-739.63696370	-0.00002908
-739.60396040	0.00000776
-739.57095710	-0.00000410
-739.53795380	0.00011960
-739.50495050	0.00007977
-739.47194719	0.00003372
-739.43894389	0.00002574
-739.40594059	0.00014999
-739.37293729	0.00006339
-739.33993399	0.00011719
-739.30693069	0.00007817
-739.27392739	0.00000718
-739.24092409	0.00008951
-739.20792079	-0.00005089
-739.17491749	0.00001858
-739.14191419	0.00013489
-739.10891089	0.00007366
-739.07590759	0.00010389
-739.04290429	0.00007771
-739.00990099	0.00001549
-738.97689769	0.00011924
-738.94389439	0.00003896
-738.91089109	0.00000277
-738.87788779	0.00007017
-738.84488449	0.00010527
-738.81188119	0.00008235
-738.77887789	0.00000743
-738.74587459	0.00002416
-738.71287129	0.00007759
-738.67986799	0.00003538
-738.64686469	0.00003904
-738.61386139	0.00003973
-738.58085809	0.00004799
-738.54785479	0.00011504
-738.51485149	0.00008923
-738.48184818	0.00004166
-738.44884488	-0.00000131
-738.41584158	0.00003165
-738.38283828	-0.00003626
-738.34983498	-0.00001376
-738.31683168	0.00015691
-738.28382838	0.00017076
-738.25082508	0.00016029
-738.21782178	0.00009810
-738.18481848	0.00007211
-738.15181518	0.00006775
-738.11881188	0.00015117
-738.08580858	0.00011648
-738.05280528	0.00007573
-738.01980198	0.00005922
-737.98679868	0.00008581
-737.95379538	0.00006612
-737.92079208	0.00005991
-737.88778878	0.00016841
-737.85478548	0.00011522
-737.82178218	0.00011483
-737.78877888	0.00018767
-737.75577558	0.00021439
-737.72277228	0.00016307
-737.68976898	0.00021603
-737.65676568	0.00018811
-737.62376238	0.00026355
-737.59075908	0.00022366
-737.55775578	0.00025617
-737.52475248	0.00033698
-737.49174917	0.00035585
-737.45874587	0.00032518
-737.42574257	0.00031953
-737.39273927	0.00042708
-737.35973597	0.00049080
-737.32673267	0.00051499
-737.29372937	0.00052982
-737.26072607	0.00061995
-737.22772277	0.00058755
-737.19471947	0.00060794
-737.16171617	0.00074004
-737.12871287	0.00076092
-737.09570957	0.00079005
-737.06270627	0.00091325
-737.02970297	0.00098658
-736.99669967	0.00087977
-736.96369637	0.00093374
-736.93069307	0.00097452
-736.89768977	0.00088346
-736.86468647	0.00093893
-736.83168317	0.00093171
-736.79867987	0.00092327
-736.76567657	0.00077379
-736.73267327	0.00075586
-736.69966997	0.00070532
-736.66666667	0.00059443
-736.63366337	0.00036260
-736.60066007	0.00024579
-736.56765677	0.00017582
-736.53465347	-0.00001025
-736.50165017	-0.00026533
-736.46864686	-0.00053187
-736.43564356	-0.00078085
-736.40264026	-0.00102187
-736.36963696	-0.00130328
-736.33663366	-0.00149118
-736.30363036	-0.00165637
-736.27062706	-0.00185830
-736.23762376	-0.00199039
-736.20462046	-0.00220640
-736.17161716	-0.00228668
-736.13861386	-0.00237960
-736.10561056	-0.00244788
-736.07260726	-0.00246246
-736.03960396	-0.00261340
-736.00660066	-0.00265905
-735.97359736	-0.00272204
-735.94059406	-0.00258254
-735.90759076	-0.00272554
-735.87458746	-0.00257606
-735.84158416	-0.00248728
-735.80858086	-0.00220771
-735.77557756	-0.00175209
-735.74257426	-0.00143566
-735.70957096	-0.00091749
-735.67656766	-0.00039293
-735.64356436	0.00017711
-735.61056106	0.00077033
-735.57755776	0.00130295
-735.54455446	0.00182021
-735.51155116	0.00208591
-735.47854785	0.00239727
-735.44554455	0.00253601
-735.41254125	0.00260504
-735.37953795	0.00256420
-735.34653465	0.00241037
-735.31353135	0.00224956
-735.28052805	0.00194460
-735.24752475	0.00172827
-735.21452145	0.00151647
-735.18151815	0.00137908
-735.14851485	0.00101473
-735.11551155	0.00096653
-735.08250825	0.00076362
-735.04950495	0.00062786
-735.01650165	0.00060788
-734.98349835	0.00048767
-734.95049505	0.00040074
-734.91749175	0.00031881
-734.88448845	0.00027204
-734.85148515	0.00030648
-734.81848185	0.00024354
-734.78547855	0.00017987
