# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-02-03T16:05:57
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-740.00000000	-0.00022437
-739.96699670	-0.00010082
-739.93399340	-0.00012595
-739.90099010	-0.00020557
-739.86798680	-0.00003166
-739.83498350	-0.00001847
-739.80198020	-0.00004333
-739.76897690	-0.00006032
-739.73597360	-0.00007930
-739.70297030	-0.00006425
-739.66996700	-0.00001589
-739.63696370	0.00000840
-739.60396040	0.00000182
-739.57095710	0.00005116
-739.53795380	0.00006585
-739.50495050	0.00002235
-739.47194719	0.00007541
-739.43894389	0.00006172
-739.40594059	0.00002247
-739.37293729	-0.00003977
-739.33993399	0.00013719
-739.30693069	0.00013417
-739.27392739	-0.00002203
-739.24092409	0.00008786
-739.20792079	0.00005851
-739.17491749	0.00013130
-739.14191419	0.00010860
-739.10891089	-0.00006151
-739.07590759	0.00002882
-739.04290429	0.00009763
-739.00990099	0.00007085
-738.97689769	0.00003552
-738.94389439	-0.00004247
-738.91089109	-0.00001722
-738.87788779	0.00004515
-738.84488449	0.00008324
-738.81188119	0.00006076
-738.77887789	0.00008781
-738.74587459	0.00007765
-738.71287129	0.00007762
-738.67986799	0.00001796
-738.64686469	0.00002283
-738.61386139	0.00004062
-738.58085809	-0.00000496
-738.54785479	0.00000145
-738.51485149	0.00000509
-738.48184818	0.00000132
-738.44884488	0.00009562
-738.41584158	-0.00002007
-738.38283828	0.00005061
-738.34983498	0.00010895
-738.31683168	0.00004562
-738.28382838	0.00002441
-738.25082508	0.00010615
-738.21782178	0.00012137
-738.18481848	0.00009645
-738.15181518	0.00003176
-738.11881188	0.00012455
-738.08580858	0.00013114
-738.05280528	0.00008766
-738.01980198	0.00002385
-737.98679868	0.00003718
-737.95379538	0.00006274
-737.92079208	0.00006307
-737.88778878	0.00008089
-737.85478548	0.00012725
-737.82178218	0.00015704
-737.78877888	0.00017631
-737.75577558	0.00015612
-737.72277228	0.00008839
-737.68976898	0.00014355
-737.65676568	0.00017671
-737.62376238	0.00020760
-737.59075908	0.00021126
-737.55775578	0.00030690
-737.52475248	0.00026676
-737.49174917	0.00035755
-737.45874587	0.00029174
-737.42574257	0.00030645
-737.39273927	0.00045534
-737.35973597	0.00054527
-737.32673267	0.00059864
-737.29372937	0.00071135
-737.26072607	0.00065354
-737.22772277	0.00067810
-737.19471947	0.00067940
-737.16171617	0.00072112
-737.12871287	0.00087170
-737.09570957	0.00085357
-737.06270627	0.00085439
-737.02970297	0.00093594
-736.99669967	0.00091488
-736.96369637	0.00097167
-736.93069307	0.00080017
-736.89768977	0.00088196
-736.86468647	0.00077941
-736.83168317	0.00078017
-736.79867987	0.00069417
-736.76567657	0.00062601
-736.73267327	0.00040183
-736.69966997	0.00036994
-736.66666667	0.00026585
-736.63366337	0.00008092
-736.60066007	-0.00018892
-736.56765677	-0.00034521
-736.53465347	-0.00059447
-736.50165017	-0.00082333
-736.46864686	-0.00110519
-736.43564356	-0.00131081
-736.40264026	-0.00156153
-736.36963696	-0.00184524
-736.33663366	-0.00205865
-736.30363036	-0.00212550
-736.27062706	-0.00231428
-736.23762376	-0.00233066
-736.20462046	-0.00246157
-736.17161716	-0.00251023
-736.13861386	-0.00259752
-736.10561056	-0.00257035
-736.07260726	-0.00266404
-736.03960396	-0.00269577
-736.00660066	-0.00277709
-735.97359736	-0.00272885
-735.94059406	-0.00264606
-735.90759076	-0.00239833
-735.87458746	-0.00219941
-735.84158416	-0.00173745
-735.80858086	-0.00136823
-735.77557756	-0.00075648
-735.74257426	-0.00021367
-735.70957096	0.00035091
-735.67656766	0.00094953
-735.64356436	0.00156981
-735.61056106	0.00190170
-735.57755776	0.00217299
-735.54455446	0.00235155
-735.51155116	0.00259326
-735.47854785	0.00260313
-735.44554455	0.00235650
-735.41254125	0.00229194
-735.37953795	0.00209628
-735.34653465	0.00181615
-735.31353135	0.00145733
-735.28052805	0.00132202
-735.24752475	0.00112850
-735.21452145	0.00087882
-735.18151815	0.00068218
-735.14851485	0.00057197
-735.11551155	0.00044412
-735.08250825	0.00035422
