# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-02-03T16:07:02
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-740.00000000	-0.00014341
-739.96699670	-0.00014448
-739.93399340	-0.00013502
-739.90099010	-0.00011463
-739.86798680	-0.00009452
-739.83498350	-0.00012863
-739.80198020	-0.00007049
-739.76897690	0.00006020
-739.73597360	-0.00001727
-739.70297030	0.00003853
-739.66996700	0.00003990
-739.63696370	-0.00003864
-739.60396040	-0.00000388
-739.57095710	0.00003120
-739.53795380	0.00004067
-739.50495050	0.00005351
-739.47194719	0.00004289
-739.43894389	0.00011930
-739.40594059	0.00010873
-739.37293729	-0.00000841
-739.33993399	0.00001065
-739.30693069	0.00002257
-739.27392739	0.00011170
-739.24092409	0.00001186
-739.20792079	0.00002316
-739.17491749	-0.00000449
-739.14191419	0.00001460
-739.10891089	0.00002313
-739.07590759	0.00012247
-739.04290429	0.00002882
-739.00990099	0.00006972
-738.97689769	0.00007724
-738.94389439	0.00001236
-738.91089109	0.00008012
-738.87788779	0.00017217
-738.84488449	0.00009370
-738.81188119	-0.00003038
-738.77887789	0.00005937
-738.74587459	-0.00005569
-738.71287129	-0.00007114
-738.67986799	0.00001331
-738.64686469	0.00005693
-738.61386139	0.00009135
-738.58085809	0.00002452
-738.54785479	0.00003385
-738.51485149	0.00008713
-738.48184818	0.00001629
-738.44884488	-0.00005736
-738.41584158	0.00001681
-738.38283828	0.00005169
-738.34983498	0.00009966
-738.31683168	0.00005173
-738.28382838	0.00011894
-738.25082508	0.00008845
-738.21782178	0.00003385
-738.18481848	0.00002845
-738.15181518	0.00017523
-738.11881188	0.00016872
-738.08580858	0.00013840
-738.05280528	0.00014406
-738.01980198	0.00010618
-737.98679868	0.00012559
-737.95379538	0.00004946
-737.92079208	0.00005823
-737.88778878	0.00012244
-737.85478548	0.00008298
-737.82178218	0.00011025
-737.78877888	0.00011045
-737.75577558	0.00010077
-737.72277228	0.00011000
-737.68976898	0.00019545
-737.65676568	0.00030974
-737.62376238	0.00027838
-737.59075908	0.00028258
-737.55775578	0.00027096
-737.52475248	0.00027874
-737.49174917	0.00039073
-737.45874587	0.00044004
-737.42574257	0.00046979
-737.39273927	0.00045328
-737.35973597	0.00059919
-737.32673267	0.00058428
-737.29372937	0.00059265
-737.26072607	0.00058626
-737.22772277	0.00064865
-737.19471947	0.00070059
-737.16171617	0.00082369
-737.12871287	0.00082074
-737.09570957	0.00083100
-737.06270627	0.00077616
-737.02970297	0.00083468
-736.99669967	0.00094533
-736.96369637	0.00094656
-736.93069307	0.00097138
-736.89768977	0.00085212
-736.86468647	0.00089770
-736.83168317	0.00081964
-736.79867987	0.00075710
-736.76567657	0.00071277
-736.73267327	0.00053931
-736.69966997	0.00043310
-736.66666667	0.00017509
-736.63366337	-0.00000067
-736.60066007	-0.00024626
-736.56765677	-0.00035544
-736.53465347	-0.00061309
-736.50165017	-0.00086888
-736.46864686	-0.00113347
-736.43564356	-0.00134514
-736.40264026	-0.00156497
-736.36963696	-0.00175850
-736.33663366	-0.00197603
