# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-02-06T13:35:49
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-740.00000000	-0.00016753
-739.96699670	-0.00020122
-739.93399340	-0.00022088
-739.90099010	-0.00014485
-739.86798680	-0.00015045
-739.83498350	-0.00015940
-739.80198020	-0.00004294
-739.76897690	-0.00008550
-739.73597360	-0.00001322
-739.70297030	0.00002154
-739.66996700	0.00000930
-739.63696370	0.00006342
-739.60396040	0.00012849
-739.57095710	-0.00001150
-739.53795380	0.00004827
-739.50495050	0.00002564
-739.47194719	0.00010669
-739.43894389	0.00003559
-739.40594059	0.00013667
-739.37293729	0.00005465
-739.33993399	0.00005836
-739.30693069	0.00012565
-739.27392739	0.00016276
-739.24092409	0.00006420
-739.20792079	0.00006845
-739.17491749	0.00005404
-739.14191419	-0.00002196
-739.10891089	0.00008074
-739.07590759	-0.00003238
-739.04290429	0.00000738
-739.00990099	0.00004473
-738.97689769	0.00005616
-738.94389439	0.00001375
-738.91089109	0.00002549
-738.87788779	-0.00000494
-738.84488449	-0.00004805
-738.81188119	-0.00000255
-738.77887789	0.00000632
-738.74587459	-0.00006030
-738.71287129	0.00000030
-738.67986799	-0.00001812
-738.64686469	-0.00003137
-738.61386139	-0.00006904
-738.58085809	-0.00008211
-738.54785479	-0.00008015
-738.51485149	-0.00013345
-738.48184818	-0.00017603
-738.44884488	-0.00003255
-738.41584158	-0.00011144
-738.38283828	-0.00007664
-738.34983498	-0.00007380
-738.31683168	-0.00006843
-738.28382838	-0.00005088
-738.25082508	0.00002222
-738.21782178	0.00000101
-738.18481848	-0.00002189
-738.15181518	-0.00011673
-738.11881188	-0.00010613
-738.08580858	-0.00008913
-738.05280528	-0.00014480
-738.01980198	-0.00002469
-737.98679868	-0.00005469
-737.95379538	-0.00003796
-737.92079208	-0.00012170
-737.88778878	-0.00012545
-737.85478548	-0.00017330
-737.82178218	-0.00009896
-737.78877888	0.00001125
-737.75577558	-0.00002980
-737.72277228	-0.00001402
-737.68976898	-0.00005809
-737.65676568	-0.00003141
-737.62376238	-0.00002249
-737.59075908	0.00008197
-737.55775578	0.00014997
-737.52475248	0.00012916
-737.49174917	0.00008969
-737.45874587	0.00022102
-737.42574257	0.00025621
-737.39273927	0.00023931
-737.35973597	0.00030090
-737.32673267	0.00029779
-737.29372937	0.00033262
-737.26072607	0.00035555
-737.22772277	0.00040815
-737.19471947	0.00042730
-737.16171617	0.00044224
-737.12871287	0.00046765
-737.09570957	0.00050419
-737.06270627	0.00056875
-737.02970297	0.00059047
-736.99669967	0.00063527
-736.96369637	0.00058376
-736.93069307	0.00054735
-736.89768977	0.00058101
-736.86468647	0.00059979
-736.83168317	0.00045785
-736.79867987	0.00037372
-736.76567657	0.00042422
-736.73267327	0.00026138
-736.69966997	0.00009486
-736.66666667	-0.00002319
-736.63366337	-0.00019628
-736.60066007	-0.00040030
-736.56765677	-0.00064127
-736.53465347	-0.00075230
-736.50165017	-0.00100192
-736.46864686	-0.00129093
-736.43564356	-0.00153664
-736.40264026	-0.00168784
-736.36963696	-0.00204167
-736.33663366	-0.00217347
-736.30363036	-0.00241823
-736.27062706	-0.00245966
-736.23762376	-0.00255835
-736.20462046	-0.00264305
-736.17161716	-0.00280350
-736.13861386	-0.00278082
-736.10561056	-0.00290627
-736.07260726	-0.00292850
-736.03960396	-0.00300474
-736.00660066	-0.00305643
-735.97359736	-0.00302456
-735.94059406	-0.00290267
-735.90759076	-0.00267443
-735.87458746	-0.00248112
-735.84158416	-0.00215339
-735.80858086	-0.00190812
-735.77557756	-0.00123862
-735.74257426	-0.00061604
-735.70957096	-0.00013276
-735.67656766	0.00053582
-735.64356436	0.00105655
-735.61056106	0.00153468
-735.57755776	0.00193025
-735.54455446	0.00213687
-735.51155116	0.00234643
-735.47854785	0.00233377
-735.44554455	0.00228722
-735.41254125	0.00230021
-735.37953795	0.00192596
-735.34653465	0.00161855
-735.31353135	0.00143453
-735.28052805	0.00125653
-735.24752475	0.00091918
-735.21452145	0.00075115
-735.18151815	0.00059264
-735.14851485	0.00045225
-735.11551155	0.00034070
-735.08250825	0.00026081
-735.04950495	0.00010153
-735.01650165	0.00020539
-734.98349835	0.00011820
-734.95049505	0.00015882
-734.91749175	0.00005775
-734.88448845	0.00005917
-734.85148515	-0.00002737
-734.81848185	0.00010476
-734.78547855	-0.00000569
-734.75247525	-0.00009483
-734.71947195	-0.00013285
-734.68646865	-0.00007073
-734.65346535	-0.00022212
-734.62046205	-0.00017982
-734.58745875	-0.00019572
-734.55445545	-0.00017702
-734.52145215	-0.00017530
-734.48844884	-0.00024515
-734.45544554	-0.00026469
-734.42244224	-0.00007787
-734.38943894	-0.00022922
-734.35643564	-0.00016621
-734.32343234	-0.00014458
-734.29042904	-0.00000389
-734.25742574	-0.00004285
-734.22442244	-0.00006540
-734.19141914	0.00003228
-734.15841584	0.00015282
-734.12541254	-0.00004298
-734.09240924	0.00006501
-734.05940594	0.00010979
-734.02640264	0.00007327
-733.99339934	0.00020597
-733.96039604	0.00009627
-733.92739274	0.00011850
-733.89438944	0.00010951
-733.86138614	0.00021426
-733.82838284	0.00014034
-733.79537954	0.00022222
-733.76237624	0.00017258
-733.72937294	0.00016379
-733.69636964	0.00025918
-733.66336634	0.00019922
-733.63036304	0.00022947
-733.59735974	0.00030863
-733.56435644	0.00026345
-733.53135314	0.00027315
-733.49834983	0.00026508
-733.46534653	0.00026731
-733.43234323	0.00029749
-733.39933993	0.00028811
-733.36633663	0.00024952
-733.33333333	0.00025023
-733.30033003	0.00028575
-733.26732673	0.00030256
-733.23432343	0.00017390
-733.20132013	0.00024912
-733.16831683	0.00025922
-733.13531353	0.00019909
-733.10231023	0.00020925
-733.06930693	0.00023711
-733.03630363	0.00035321
-733.00330033	0.00017150
-732.97029703	0.00027814
-732.93729373	0.00043285
-732.90429043	0.00042053
-732.87128713	0.00040519
-732.83828383	0.00042681
-732.80528053	0.00055163
-732.77227723	0.00055403
-732.73927393	0.00064389
-732.70627063	0.00065273
-732.67326733	0.00072139
-732.64026403	0.00088910
-732.60726073	0.00093340
-732.57425743	0.00091056
-732.54125413	0.00110414
-732.50825083	0.00109769
-732.47524752	0.00120679
-732.44224422	0.00130252
-732.40924092	0.00138988
-732.37623762	0.00148678
-732.34323432	0.00153611
-732.31023102	0.00162864
-732.27722772	0.00180380
-732.24422442	0.00184125
-732.21122112	0.00196201
-732.17821782	0.00197944
-732.14521452	0.00201833
-732.11221122	0.00192909
-732.07920792	0.00167821
-732.04620462	0.00149677
-732.01320132	0.00114747
-731.98019802	0.00031205
-731.94719472	-0.00032139
-731.91419142	-0.00128839
-731.88118812	-0.00255492
-731.84818482	-0.00369140
-731.81518152	-0.00493201
-731.78217822	-0.00613146
-731.74917492	-0.00696631
-731.71617162	-0.00762639
-731.68316832	-0.00779176
-731.65016502	-0.00763887
-731.61716172	-0.00695972
-731.58415842	-0.00605562
-731.55115512	-0.00482526
-731.51815182	-0.00338165
-731.48514851	-0.00188182
-731.45214521	-0.00067307
-731.41914191	0.00046951
-731.38613861	0.00134117
-731.35313531	0.00199733
-731.32013201	0.00247962
-731.28712871	0.00277179
-731.25412541	0.00301894
-731.22112211	0.00287681
-731.18811881	0.00282706
-731.15511551	0.00274515
-731.12211221	0.00229458
-731.08910891	0.00225960
-731.05610561	0.00201633
-731.02310231	0.00175488
-730.99009901	0.00173359
-730.95709571	0.00157975
-730.92409241	0.00133239
-730.89108911	0.00126666
-730.85808581	0.00104924
-730.82508251	0.00106320
-730.79207921	0.00088583
-730.75907591	0.00073494
-730.72607261	0.00091408
-730.69306931	0.00071092
-730.66006601	0.00066010
-730.62706271	0.00066732
-730.59405941	0.00060444
-730.56105611	0.00045578
-730.52805281	0.00042494
-730.49504950	0.00040039
-730.46204620	0.00020034
-730.42904290	0.00016099
-730.39603960	0.00001135
-730.36303630	-0.00003678
-730.33003300	-0.00012610
-730.29702970	-0.00015672
-730.26402640	-0.00018427
-730.23102310	-0.00015313
-730.19801980	-0.00015993
-730.16501650	-0.00017011
-730.13201320	-0.00016661
-730.09900990	-0.00002068
-730.06600660	-0.00008802
-730.03300330	0.00003994
-730.00000000	-0.00009536
-729.96699670	-0.00001777
-729.93399340	0.00006759
-729.90099010	-0.00024493
-729.86798680	-0.00012327
-729.83498350	-0.00021410
-729.80198020	-0.00023798
-729.76897690	-0.00032321
-729.73597360	-0.00027112
-729.70297030	-0.00037866
-729.66996700	-0.00032622
-729.63696370	-0.00030840
-729.60396040	-0.00031728
-729.57095710	-0.00016915
-729.53795380	-0.00004585
-729.50495050	-0.00008639
-729.47194719	0.00002087
-729.43894389	0.00008054
-729.40594059	0.00003466
-729.37293729	0.00008203
-729.33993399	-0.00002613
-729.30693069	-0.00016996
-729.27392739	-0.00042407
-729.24092409	-0.00061218
-729.20792079	-0.00095573
-729.17491749	-0.00132201
-729.14191419	-0.00164648
-729.10891089	-0.00209350
-729.07590759	-0.00238518
-729.04290429	-0.00281804
-729.00990099	-0.00297109
-728.97689769	-0.00320461
-728.94389439	-0.00333590
-728.91089109	-0.00334347
-728.87788779	-0.00357744
-728.84488449	-0.00347244
-728.81188119	-0.00371041
-728.77887789	-0.00411346
-728.74587459	-0.00457505
-728.71287129	-0.00531545
-728.67986799	-0.00630360
-728.64686469	-0.00738744
-728.61386139	-0.00863079
-728.58085809	-0.00994985
-728.54785479	-0.01098859
-728.51485149	-0.01182711
-728.48184818	-0.01211032
-728.44884488	-0.01187074
-728.41584158	-0.01086490
-728.38283828	-0.00914803
-728.34983498	-0.00689277
-728.31683168	-0.00415053
-728.28382838	-0.00135598
-728.25082508	0.00117478
-728.21782178	0.00347856
-728.18481848	0.00496350
-728.15181518	0.00574193
-728.11881188	0.00590531
-728.08580858	0.00551453
-728.05280528	0.00496345
-728.01980198	0.00424319
-727.98679868	0.00376779
-727.95379538	0.00353390
-727.92079208	0.00366177
-727.88778878	0.00395980
-727.85478548	0.00461361
-727.82178218	0.00530406
-727.78877888	0.00584223
-727.75577558	0.00648352
-727.72277228	0.00696390
-727.68976898	0.00700483
-727.65676568	0.00677349
-727.62376238	0.00625099
-727.59075908	0.00540126
-727.55775578	0.00433267
-727.52475248	0.00300659
-727.49174917	0.00179813
-727.45874587	0.00030889
-727.42574257	-0.00076772
-727.39273927	-0.00210823
-727.35973597	-0.00313059
-727.32673267	-0.00406337
-727.29372937	-0.00483704
-727.26072607	-0.00549188
-727.22772277	-0.00619911
-727.19471947	-0.00680708
-727.16171617	-0.00777226
-727.12871287	-0.00905264
-727.09570957	-0.01064280
-727.06270627	-0.01277145
-727.02970297	-0.01529994
-726.99669967	-0.01841642
-726.96369637	-0.02159189
-726.93069307	-0.02490123
-726.89768977	-0.02798772
-726.86468647	-0.03017347
-726.83168317	-0.03129034
-726.79867987	-0.03103436
-726.76567657	-0.02908598
-726.73267327	-0.02547424
-726.69966997	-0.02038918
-726.66666667	-0.01422952
-726.63366337	-0.00762717
-726.60066007	-0.00128723
-726.56765677	0.00412851
-726.53465347	0.00815053
-726.50165017	0.01052117
-726.46864686	0.01145897
-726.43564356	0.01095833
-726.40264026	0.00975436
-726.36963696	0.00792301
-726.33663366	0.00630834
-726.30363036	0.00466377
-726.27062706	0.00321070
-726.23762376	0.00208081
-726.20462046	0.00120766
-726.17161716	0.00068137
-726.13861386	0.00027711
-726.10561056	0.00051912
-726.07260726	0.00094200
-726.03960396	0.00160783
-726.00660066	0.00249658
-725.97359736	0.00325305
-725.94059406	0.00430231
-725.90759076	0.00518731
-725.87458746	0.00629200
-725.84158416	0.00761069
-725.80858086	0.00903052
-725.77557756	0.01067076
-725.74257426	0.01246167
-725.70957096	0.01447440
-725.67656766	0.01661773
-725.64356436	0.01913876
-725.61056106	0.02164312
-725.57755776	0.02481956
-725.54455446	0.02829473
-725.51155116	0.03225727
-725.47854785	0.03677488
-725.44554455	0.04222033
-725.41254125	0.04823587
-725.37953795	0.05500380
-725.34653465	0.06257675
-725.31353135	0.07085967
-725.28052805	0.07982196
-725.24752475	0.08945040
-725.21452145	0.09957309
-725.18151815	0.10997401
-725.14851485	0.12055651
-725.11551155	0.13136346
-725.08250825	0.14185502
-725.04950495	0.15225764
-725.01650165	0.16249977
-724.98349835	0.17249943
-724.95049505	0.18250819
-724.91749175	0.19291848
-724.88448845	0.20392058
-724.85148515	0.21598913
-724.81848185	0.22969463
-724.78547855	0.24576824
-724.75247525	0.26434264
-724.71947195	0.28646067
-724.68646865	0.31221956
-724.65346535	0.34227628
-724.62046205	0.37644950
-724.58745875	0.41457810
-724.55445545	0.45600261
-724.52145215	0.49987260
-724.48844884	0.54468285
-724.45544554	0.58882593
-724.42244224	0.62971195
-724.38943894	0.66508599
-724.35643564	0.69163855
-724.32343234	0.70678466
-724.29042904	0.70714554
-724.25742574	0.69065623
-724.22442244	0.65520242
-724.19141914	0.60011316
-724.15841584	0.52597048
-724.12541254	0.43491333
-724.09240924	0.32991211
-724.05940594	0.21591368
-724.02640264	0.09776864
-723.99339934	-0.01888329
-723.96039604	-0.12985998
-723.92739274	-0.23270838
-723.89438944	-0.32701834
-723.86138614	-0.41606361
-723.82838284	-0.50607542
-723.79537954	-0.60643127
-723.76237624	-0.72734516
-723.72937294	-0.87996718
-723.69636964	-1.07336378
-723.66336634	-1.31421054
-723.63036304	-1.60280237
-723.59735974	-1.93290627
-723.56435644	-2.28775993
-723.53135314	-2.64175215
-723.49834983	-2.95994569
-723.46534653	-3.20419712
-723.43234323	-3.33536746
-723.39933993	-3.32182788
-723.36633663	-3.14161379
-723.33333333	-2.78869367
-723.30033003	-2.27833994
-723.26732673	-1.64791359
-723.23432343	-0.95067118
-723.20132013	-0.24727582
-723.16831683	0.40304576
-723.13531353	0.95447015
-723.10231023	1.38131840
-723.06930693	1.67919213
-723.03630363	1.86241483
-723.00330033	1.95284736
-722.97029703	1.97183108
-722.93729373	1.93627411
-722.90429043	1.85758854
-722.87128713	1.74546851
-722.83828383	1.60929840
-722.80528053	1.46244033
-722.77227723	1.31793356
-722.73927393	1.18629686
-722.70627063	1.07083685
-722.67326733	0.96878857
-722.64026403	0.87286145
-722.60726073	0.77852298
-722.57425743	0.68454250
-722.54125413	0.59601042
-722.50825083	0.51821495
-722.47524752	0.45446104
-722.44224422	0.40349832
-722.40924092	0.36039650
-722.37623762	0.31981475
-722.34323432	0.27872571
-722.31023102	0.23639615
-722.27722772	0.19392636
-722.24422442	0.15124082
-722.21122112	0.10836458
-722.17821782	0.06446307
-722.14521452	0.02127369
-722.11221122	-0.01890471
-722.07920792	-0.05253221
-722.04620462	-0.07762359
-722.01320132	-0.09312619
-721.98019802	-0.09957931
-721.94719472	-0.09734209
-721.91419142	-0.08681305
-721.88118812	-0.06873719
-721.84818482	-0.04435728
-721.81518152	-0.01721143
-721.78217822	0.00904478
-721.74917492	0.03128991
-721.71617162	0.04707842
-721.68316832	0.05592679
-721.65016502	0.05777415
-721.61716172	0.05383062
-721.58415842	0.04522274
-721.55115512	0.03394435
-721.51815182	0.02138102
-721.48514851	0.00910354
-721.45214521	-0.00222922
-721.41914191	-0.01202569
-721.38613861	-0.01981946
-721.35313531	-0.02430269
-721.32013201	-0.02529796
-721.28712871	-0.02272398
-721.25412541	-0.01770619
-721.22112211	-0.01135033
-721.18811881	-0.00449856
-721.15511551	0.00200328
-721.12211221	0.00763178
-721.08910891	0.01058009
-721.05610561	0.01022095
-721.02310231	0.00605805
-720.99009901	-0.00070455
-720.95709571	-0.00823383
-720.92409241	-0.01491830
-720.89108911	-0.02049415
-720.85808581	-0.02546300
-720.82508251	-0.03052447
-720.79207921	-0.03604700
-720.75907591	-0.04140895
-720.72607261	-0.04660847
-720.69306931	-0.05052924
-720.66006601	-0.05283362
-720.62706271	-0.05302110
-720.59405941	-0.05131561
-720.56105611	-0.04806785
-720.52805281	-0.04416365
-720.49504950	-0.04017959
-720.46204620	-0.03610565
-720.42904290	-0.03176401
-720.39603960	-0.02731579
-720.36303630	-0.02410685
-720.33003300	-0.02299030
-720.29702970	-0.02395659
-720.26402640	-0.02623387
-720.23102310	-0.02676423
-720.19801980	-0.02387950
-720.16501650	-0.01704013
-720.13201320	-0.00640963
-720.09900990	0.00664417
-720.06600660	0.02078526
-720.03300330	0.03441885
-720.00000000	0.04685068
-719.96699670	0.05739233
-719.93399340	0.06545196
-719.90099010	0.07093878
-719.86798680	0.07350768
-719.83498350	0.07310324
-719.80198020	0.06946772
-719.76897690	0.06306992
-719.73597360	0.05339062
-719.70297030	0.04082447
-719.66996700	0.02542229
-719.63696370	0.00780424
-719.60396040	-0.01054093
-719.57095710	-0.02750519
-719.53795380	-0.04168134
-719.50495050	-0.05130193
-719.47194719	-0.05601692
-719.43894389	-0.05574905
-719.40594059	-0.05138477
-719.37293729	-0.04416623
-719.33993399	-0.03503697
-719.30693069	-0.02537743
-719.27392739	-0.01613564
-719.24092409	-0.00894037
-719.20792079	-0.00494110
-719.17491749	-0.00510741
-719.14191419	-0.00902212
-719.10891089	-0.01520851
-719.07590759	-0.02247748
-719.04290429	-0.02938643
-719.00990099	-0.03527582
-718.97689769	-0.03959021
-718.94389439	-0.04206459
-718.91089109	-0.04206761
-718.87788779	-0.03976053
-718.84488449	-0.03552745
-718.81188119	-0.02966329
-718.77887789	-0.02332046
-718.74587459	-0.01725885
-718.71287129	-0.01219589
-718.67986799	-0.00879910
-718.64686469	-0.00620716
-718.61386139	-0.00416650
-718.58085809	-0.00274958
-718.54785479	-0.00119747
-718.51485149	-0.00064712
-718.48184818	-0.00035790
-718.44884488	-0.00064083
-718.41584158	-0.00126881
-718.38283828	-0.00217185
-718.34983498	-0.00429843
-718.31683168	-0.00744391
-718.28382838	-0.01188626
-718.25082508	-0.01622341
-718.21782178	-0.01930967
-718.18481848	-0.01960002
-718.15181518	-0.01662627
-718.11881188	-0.01130780
-718.08580858	-0.00517437
-718.05280528	-0.00045904
-718.01980198	0.00105249
-717.98679868	-0.00158018
-717.95379538	-0.00787708
-717.92079208	-0.01662159
-717.88778878	-0.02631036
-717.85478548	-0.03522907
-717.82178218	-0.04275892
-717.78877888	-0.04776960
-717.75577558	-0.05022487
-717.72277228	-0.05050504
-717.68976898	-0.04891000
-717.65676568	-0.04583737
-717.62376238	-0.04198651
-717.59075908	-0.03795906
-717.55775578	-0.03389515
-717.52475248	-0.03036416
-717.49174917	-0.02724900
-717.45874587	-0.02472659
-717.42574257	-0.02279100
-717.39273927	-0.02130061
-717.35973597	-0.02050592
-717.32673267	-0.02047531
-717.29372937	-0.02172209
-717.26072607	-0.02456448
-717.22772277	-0.02806349
-717.19471947	-0.03077050
-717.16171617	-0.03115255
-717.12871287	-0.02786776
-717.09570957	-0.02077753
-717.06270627	-0.01121038
-717.02970297	-0.00102435
-716.99669967	0.00703281
-716.96369637	0.01224931
-716.93069307	0.01408055
-716.89768977	0.01357388
-716.86468647	0.01204946
-716.83168317	0.01050698
-716.79867987	0.00915086
-716.76567657	0.00802711
-716.73267327	0.00681529
-716.69966997	0.00588345
-716.66666667	0.00552964
-716.63366337	0.00624049
-716.60066007	0.00824289
-716.56765677	0.01159342
-716.53465347	0.01536834
-716.50165017	0.01947220
-716.46864686	0.02235442
-716.43564356	0.02434616
-716.40264026	0.02580252
-716.36963696	0.02705405
-716.33663366	0.02859033
-716.30363036	0.03089303
-716.27062706	0.03315776
-716.23762376	0.03475343
-716.20462046	0.03469211
-716.17161716	0.03203969
-716.13861386	0.02649461
-716.10561056	0.01816790
-716.07260726	0.00736264
-716.03960396	-0.00407631
-716.00660066	-0.01543587
-715.97359736	-0.02511360
-715.94059406	-0.03260851
-715.90759076	-0.03776394
-715.87458746	-0.04073726
-715.84158416	-0.04257658
-715.80858086	-0.04439406
-715.77557756	-0.04669152
-715.74257426	-0.05044981
-715.70957096	-0.05595833
-715.67656766	-0.06337232
-715.64356436	-0.07180281
-715.61056106	-0.08018086
-715.57755776	-0.08633676
-715.54455446	-0.08852007
-715.51155116	-0.08581491
-715.47854785	-0.07812120
-715.44554455	-0.06674092
-715.41254125	-0.05321171
-715.37953795	-0.03896427
-715.34653465	-0.02535782
-715.31353135	-0.01282897
-715.28052805	-0.00100539
-715.24752475	0.01025012
-715.21452145	0.02129996
-715.18151815	0.03202605
-715.14851485	0.04157092
-715.11551155	0.04898309
-715.08250825	0.05385505
-715.04950495	0.05570195
-715.01650165	0.05455808
-714.98349835	0.05103689
-714.95049505	0.04558669
-714.91749175	0.03923167
-714.88448845	0.03308707
-714.85148515	0.02836361
-714.81848185	0.02597569
-714.78547855	0.02632224
-714.75247525	0.02931290
-714.71947195	0.03397716
-714.68646865	0.03926838
-714.65346535	0.04417112
-714.62046205	0.04809181
-714.58745875	0.05093484
-714.55445545	0.05276916
-714.52145215	0.05374415
-714.48844884	0.05410871
-714.45544554	0.05340573
-714.42244224	0.05156858
-714.38943894	0.04795959
-714.35643564	0.04202195
-714.32343234	0.03339183
-714.29042904	0.02261598
-714.25742574	0.01046271
-714.22442244	-0.00141738
-714.19141914	-0.01122912
-714.15841584	-0.01862287
-714.12541254	-0.02312815
