# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-02-03T15:22:19
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-740.00000000	-0.00016493
-739.96699670	-0.00019220
-739.93399340	-0.00014765
-739.90099010	-0.00018736
-739.86798680	-0.00009180
-739.83498350	-0.00015875
-739.80198020	-0.00010272
-739.76897690	-0.00004648
-739.73597360	-0.00011983
-739.70297030	-0.00001220
-739.66996700	-0.00006510
-739.63696370	0.00001138
-739.60396040	0.00001812
-739.57095710	0.00009497
-739.53795380	-0.00005033
-739.50495050	0.00005589
-739.47194719	0.00014235
-739.43894389	0.00001679
-739.40594059	0.00014035
-739.37293729	0.00009802
-739.33993399	0.00004952
-739.30693069	0.00007946
-739.27392739	0.00012830
-739.24092409	0.00002612
-739.20792079	0.00008531
-739.17491749	0.00009342
-739.14191419	0.00013090
-739.10891089	0.00015609
-739.07590759	0.00003171
-739.04290429	-0.00001935
-739.00990099	0.00009620
-738.97689769	0.00004808
-738.94389439	0.00005049
-738.91089109	0.00007968
-738.87788779	0.00000617
-738.84488449	0.00000567
-738.81188119	0.00001216
-738.77887789	0.00010898
-738.74587459	0.00008077
-738.71287129	0.00006493
-738.67986799	-0.00004279
-738.64686469	0.00003832
-738.61386139	-0.00004563
-738.58085809	0.00004847
-738.54785479	0.00005256
-738.51485149	-0.00008011
-738.48184818	-0.00005137
-738.44884488	0.00001874
-738.41584158	0.00006473
-738.38283828	0.00011393
-738.34983498	0.00005705
-738.31683168	0.00012624
-738.28382838	0.00006039
-738.25082508	0.00006308
-738.21782178	0.00013608
-738.18481848	0.00014819
-738.15181518	0.00016387
-738.11881188	0.00014755
-738.08580858	0.00010407
-738.05280528	0.00011377
-738.01980198	0.00006691
-737.98679868	0.00009388
-737.95379538	0.00010406
-737.92079208	0.00014764
-737.88778878	0.00010249
-737.85478548	0.00009665
-737.82178218	0.00014705
-737.78877888	0.00018643
-737.75577558	0.00026879
-737.72277228	0.00018307
-737.68976898	0.00022560
-737.65676568	0.00020109
-737.62376238	0.00014267
-737.59075908	0.00025527
-737.55775578	0.00025919
-737.52475248	0.00027118
-737.49174917	0.00026864
-737.45874587	0.00032747
-737.42574257	0.00036924
-737.39273927	0.00042448
-737.35973597	0.00043841
-737.32673267	0.00051047
-737.29372937	0.00049403
-737.26072607	0.00061699
-737.22772277	0.00057512
-737.19471947	0.00068949
-737.16171617	0.00061521
