# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-02-03T15:17:44
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-740.00000000	-0.00017372
-739.96699670	-0.00016381
-739.93399340	-0.00019640
-739.90099010	-0.00016309
-739.86798680	-0.00019828
-739.83498350	-0.00008377
-739.80198020	-0.00002925
-739.76897690	-0.00008641
-739.73597360	-0.00009375
-739.70297030	-0.00002214
-739.66996700	-0.00003093
-739.63696370	0.00002239
-739.60396040	-0.00000446
-739.57095710	0.00001252
-739.53795380	0.00009526
-739.50495050	0.00002455
-739.47194719	0.00001112
-739.43894389	-0.00003032
-739.40594059	0.00005924
-739.37293729	-0.00000101
-739.33993399	0.00005265
-739.30693069	0.00011056
-739.27392739	0.00009461
-739.24092409	0.00008407
-739.20792079	0.00014066
-739.17491749	0.00016803
-739.14191419	0.00015505
-739.10891089	0.00006092
-739.07590759	0.00006322
-739.04290429	0.00012250
-739.00990099	0.00005656
-738.97689769	0.00018142
-738.94389439	0.00003008
-738.91089109	0.00008882
-738.87788779	0.00010125
-738.84488449	0.00013257
-738.81188119	0.00010115
-738.77887789	0.00004254
-738.74587459	0.00008104
-738.71287129	0.00005049
-738.67986799	0.00008270
-738.64686469	0.00006623
-738.61386139	0.00006952
-738.58085809	-0.00004958
-738.54785479	0.00011424
-738.51485149	0.00004337
-738.48184818	0.00008120
-738.44884488	0.00010082
-738.41584158	0.00019824
-738.38283828	0.00010055
-738.34983498	0.00004264
-738.31683168	0.00006488
-738.28382838	0.00007495
-738.25082508	0.00009635
-738.21782178	0.00007248
-738.18481848	0.00006455
-738.15181518	0.00013004
-738.11881188	0.00007733
-738.08580858	0.00008090
-738.05280528	0.00006591
-738.01980198	0.00010301
-737.98679868	0.00006181
-737.95379538	0.00013101
-737.92079208	0.00019494
-737.88778878	0.00021267
-737.85478548	0.00018868
-737.82178218	0.00018167
-737.78877888	0.00011506
-737.75577558	0.00011996
-737.72277228	0.00012449
-737.68976898	0.00014541
-737.65676568	0.00021340
-737.62376238	0.00018631
-737.59075908	0.00028953
-737.55775578	0.00028247
-737.52475248	0.00024761
-737.49174917	0.00032315
-737.45874587	0.00033623
-737.42574257	0.00031355
-737.39273927	0.00036767
-737.35973597	0.00033167
-737.32673267	0.00048738
-737.29372937	0.00051892
-737.26072607	0.00047952
-737.22772277	0.00060215
-737.19471947	0.00061131
-737.16171617	0.00065062
-737.12871287	0.00068176
-737.09570957	0.00064382
-737.06270627	0.00071912
-737.02970297	0.00074353
-736.99669967	0.00082395
-736.96369637	0.00087454
-736.93069307	0.00085604
-736.89768977	0.00088413
-736.86468647	0.00091654
-736.83168317	0.00091366
-736.79867987	0.00084670
-736.76567657	0.00076026
-736.73267327	0.00075672
-736.69966997	0.00068577
-736.66666667	0.00072813
-736.63366337	0.00060566
-736.60066007	0.00045939
-736.56765677	0.00030592
-736.53465347	0.00016364
-736.50165017	0.00002754
-736.46864686	-0.00013700
-736.43564356	-0.00033413
-736.40264026	-0.00063025
-736.36963696	-0.00083056
-736.33663366	-0.00108527
-736.30363036	-0.00126624
-736.27062706	-0.00146182
-736.23762376	-0.00171738
-736.20462046	-0.00179809
-736.17161716	-0.00210031
-736.13861386	-0.00219880
-736.10561056	-0.00228664
-736.07260726	-0.00242881
-736.03960396	-0.00248233
-736.00660066	-0.00260451
-735.97359736	-0.00260765
-735.94059406	-0.00267413
-735.90759076	-0.00269838
-735.87458746	-0.00268373
-735.84158416	-0.00268420
-735.80858086	-0.00252147
-735.77557756	-0.00218194
-735.74257426	-0.00193245
-735.70957096	-0.00160287
-735.67656766	-0.00113715
-735.64356436	-0.00064474
-735.61056106	-0.00016234
-735.57755776	0.00031710
-735.54455446	0.00085146
-735.51155116	0.00126964
-735.47854785	0.00175048
-735.44554455	0.00200507
-735.41254125	0.00222811
-735.37953795	0.00235356
-735.34653465	0.00239271
-735.31353135	0.00241223
-735.28052805	0.00226825
-735.24752475	0.00214845
-735.21452145	0.00197138
-735.18151815	0.00179939
-735.14851485	0.00147461
-735.11551155	0.00135577
-735.08250825	0.00118412
-735.04950495	0.00101661
-735.01650165	0.00077895
-734.98349835	0.00070609
-734.95049505	0.00057689
-734.91749175	0.00044622
-734.88448845	0.00038362
-734.85148515	0.00024469
-734.81848185	0.00031312
-734.78547855	0.00020408
-734.75247525	0.00016984
-734.71947195	0.00013489
-734.68646865	0.00017935
-734.65346535	0.00016548
-734.62046205	0.00008172
-734.58745875	0.00008652
-734.55445545	0.00011129
-734.52145215	0.00003662
-734.48844884	0.00004582
-734.45544554	0.00002309
-734.42244224	-0.00001658
-734.38943894	-0.00011028
-734.35643564	-0.00001701
-734.32343234	-0.00002099
-734.29042904	-0.00003263
-734.25742574	-0.00000688
-734.22442244	0.00006832
-734.19141914	0.00006625
-734.15841584	0.00024067
-734.12541254	0.00022816
-734.09240924	0.00031081
-734.05940594	0.00038064
-734.02640264	0.00045311
-733.99339934	0.00047040
-733.96039604	0.00047667
-733.92739274	0.00046118
-733.89438944	0.00042051
-733.86138614	0.00032546
-733.82838284	0.00031162
-733.79537954	0.00020514
-733.76237624	0.00013682
-733.72937294	0.00000809
-733.69636964	0.00021339
-733.66336634	0.00004591
-733.63036304	0.00005770
-733.59735974	0.00021867
-733.56435644	0.00014001
-733.53135314	0.00028000
-733.49834983	0.00031724
-733.46534653	0.00037144
-733.43234323	0.00051928
-733.39933993	0.00047956
-733.36633663	0.00055162
-733.33333333	0.00065695
-733.30033003	0.00051985
-733.26732673	0.00056458
-733.23432343	0.00056007
-733.20132013	0.00040868
-733.16831683	0.00047891
-733.13531353	0.00043213
-733.10231023	0.00037091
-733.06930693	0.00030984
-733.03630363	0.00037326
-733.00330033	0.00027024
-732.97029703	0.00036082
-732.93729373	0.00035574
-732.90429043	0.00031366
-732.87128713	0.00029635
-732.83828383	0.00036933
-732.80528053	0.00051349
-732.77227723	0.00042820
-732.73927393	0.00057311
-732.70627063	0.00056346
-732.67326733	0.00069832
-732.64026403	0.00074607
-732.60726073	0.00077828
-732.57425743	0.00082353
-732.54125413	0.00087514
-732.50825083	0.00100462
-732.47524752	0.00112943
-732.44224422	0.00114870
-732.40924092	0.00124024
-732.37623762	0.00136196
-732.34323432	0.00147220
-732.31023102	0.00160585
-732.27722772	0.00172700
-732.24422442	0.00175730
-732.21122112	0.00190444
-732.17821782	0.00191836
-732.14521452	0.00218157
-732.11221122	0.00213581
-732.07920792	0.00208032
-732.04620462	0.00207155
-732.01320132	0.00188444
-731.98019802	0.00168657
-731.94719472	0.00135065
-731.91419142	0.00093872
-731.88118812	0.00036345
-731.84818482	-0.00036521
-731.81518152	-0.00113930
-731.78217822	-0.00205026
-731.74917492	-0.00313108
-731.71617162	-0.00403611
-731.68316832	-0.00494465
-731.65016502	-0.00573204
-731.61716172	-0.00622668
-731.58415842	-0.00656332
-731.55115512	-0.00644754
-731.51815182	-0.00615939
-731.48514851	-0.00555648
-731.45214521	-0.00481947
-731.41914191	-0.00382511
-731.38613861	-0.00291898
-731.35313531	-0.00174558
-731.32013201	-0.00088803
-731.28712871	-0.00000471
-731.25412541	0.00083735
-731.22112211	0.00134724
-731.18811881	0.00185721
-731.15511551	0.00218630
-731.12211221	0.00255862
-731.08910891	0.00245954
-731.05610561	0.00262000
-731.02310231	0.00266190
-730.99009901	0.00264263
-730.95709571	0.00251274
-730.92409241	0.00242352
-730.89108911	0.00224417
-730.85808581	0.00226030
-730.82508251	0.00203501
-730.79207921	0.00186519
-730.75907591	0.00154620
-730.72607261	0.00150774
-730.69306931	0.00133937
-730.66006601	0.00125122
-730.62706271	0.00115224
-730.59405941	0.00113270
-730.56105611	0.00098260
-730.52805281	0.00102433
-730.49504950	0.00094754
-730.46204620	0.00081712
-730.42904290	0.00078208
-730.39603960	0.00062603
-730.36303630	0.00049590
-730.33003300	0.00021930
-730.29702970	0.00002462
-730.26402640	-0.00005118
-730.23102310	-0.00033527
-730.19801980	-0.00054295
-730.16501650	-0.00061612
-730.13201320	-0.00066234
-730.09900990	-0.00058297
-730.06600660	-0.00054169
-730.03300330	-0.00030241
-730.00000000	0.00000168
-729.96699670	0.00023353
-729.93399340	0.00041605
-729.90099010	0.00080241
-729.86798680	0.00088753
-729.83498350	0.00101708
-729.80198020	0.00099925
-729.76897690	0.00104652
-729.73597360	0.00083877
-729.70297030	0.00069845
-729.66996700	0.00041930
-729.63696370	0.00012962
-729.60396040	-0.00018890
-729.57095710	-0.00046184
-729.53795380	-0.00048512
-729.50495050	-0.00062194
-729.47194719	-0.00060855
-729.43894389	-0.00048594
-729.40594059	-0.00036488
-729.37293729	-0.00020938
-729.33993399	0.00003568
-729.30693069	0.00011570
-729.27392739	0.00025133
-729.24092409	0.00018212
-729.20792079	0.00021919
-729.17491749	0.00001598
-729.14191419	-0.00010617
-729.10891089	-0.00043699
-729.07590759	-0.00077100
-729.04290429	-0.00105732
-729.00990099	-0.00136152
-728.97689769	-0.00174346
-728.94389439	-0.00207402
-728.91089109	-0.00229399
-728.87788779	-0.00254230
-728.84488449	-0.00282406
-728.81188119	-0.00304276
-728.77887789	-0.00310903
-728.74587459	-0.00347366
-728.71287129	-0.00367983
-728.67986799	-0.00411419
-728.64686469	-0.00471228
-728.61386139	-0.00533595
-728.58085809	-0.00628016
-728.54785479	-0.00722663
-728.51485149	-0.00827286
-728.48184818	-0.00944966
-728.44884488	-0.01022638
-728.41584158	-0.01106280
-728.38283828	-0.01131778
-728.34983498	-0.01108665
-728.31683168	-0.01049418
-728.28382838	-0.00912702
-728.25082508	-0.00744361
-728.21782178	-0.00547608
-728.18481848	-0.00323247
-728.15181518	-0.00107554
-728.11881188	0.00087083
-728.08580858	0.00235438
-728.05280528	0.00366490
-728.01980198	0.00438966
-727.98679868	0.00481284
-727.95379538	0.00497051
-727.92079208	0.00480217
-727.88778878	0.00467748
-727.85478548	0.00456508
-727.82178218	0.00450754
-727.78877888	0.00443449
-727.75577558	0.00468063
-727.72277228	0.00488661
-727.68976898	0.00518294
-727.65676568	0.00557856
-727.62376238	0.00568210
-727.59075908	0.00585491
-727.55775578	0.00561457
-727.52475248	0.00549869
-727.49174917	0.00487848
-727.45874587	0.00417120
-727.42574257	0.00332473
-727.39273927	0.00251781
-727.35973597	0.00140406
-727.32673267	0.00059624
-727.29372937	-0.00043108
-727.26072607	-0.00134956
-727.22772277	-0.00238732
-727.19471947	-0.00331797
-727.16171617	-0.00425335
-727.12871287	-0.00534388
-727.09570957	-0.00648672
-727.06270627	-0.00779136
-727.02970297	-0.00925895
-726.99669967	-0.01101866
-726.96369637	-0.01309882
-726.93069307	-0.01544233
-726.89768977	-0.01799516
-726.86468647	-0.02055837
-726.83168317	-0.02303985
-726.79867987	-0.02501498
-726.76567657	-0.02657286
-726.73267327	-0.02709214
-726.69966997	-0.02666841
-726.66666667	-0.02514131
-726.63366337	-0.02248490
-726.60066007	-0.01888583
-726.56765677	-0.01474238
-726.53465347	-0.01032879
-726.50165017	-0.00600643
-726.46864686	-0.00206044
-726.43564356	0.00101492
-726.40264026	0.00350343
-726.36963696	0.00489303
-726.33663366	0.00560395
-726.30363036	0.00587969
-726.27062706	0.00552676
-726.23762376	0.00505784
-726.20462046	0.00451991
-726.17161716	0.00388458
-726.13861386	0.00330296
-726.10561056	0.00297715
-726.07260726	0.00251272
-726.03960396	0.00238722
