# Frequency(Hz) Real(n) Imag(n)
1.578548603170642376e+09 -1.742349404850469696e+01 2.922741548406472489e+01
3.157097206341284752e+09 -9.309309495053961214e+00 9.782298076085956140e+00
4.735645809511926651e+09 -6.603152456535440251e+00 4.102384749482377302e+00
6.314194412682569504e+09 -1.376738111651020269e+01 3.202271813329519379e+00
7.892743015853212357e+09 -1.114273084782114687e+01 1.650520595779221944e+00
9.471291619023853302e+09 -1.281680479473195300e+00 -1.797714932837607416e+00
1.104984022219449615e+10 -9.689274704434192031e-01 -1.974653367995663045e+00
1.262838882536513901e+10 -3.991922474944127330e-01 -2.125290999131544289e+00
1.420693742853578186e+10 5.995229154963960250e-01 -1.859816765946506800e+00
1.578548603170642471e+10 1.328438728686444747e+00 -1.111310111545236623e+00
1.736403463487706757e+10 1.604626908586654022e+00 -5.796493774711463098e-01
1.894258323804770660e+10 1.720842185748093556e+00 -2.781678845674682710e-01
2.052113184121834946e+10 1.788136371821760884e+00 -9.727713045116660739e-02
2.209968044438899231e+10 1.847337479374306035e+00 1.982248738273565888e-02
2.367822904755963516e+10 1.921203421349660267e+00 9.006174586878434862e-02
2.525677765073027802e+10 1.996967908156223048e+00 9.398687022645260680e-02
2.683532625390092087e+10 2.031361858216650162e+00 6.483335724050631743e-02
2.841387485707156372e+10 2.040860088539762973e+00 3.778872397433638564e-02
2.999242346024220657e+10 2.039895954279673962e+00 1.669988022789563667e-02
3.157097206341284943e+10 2.034279334785419113e+00 7.855531752265464129e-04
3.314952066658348846e+10 2.026583288414282258e+00 -1.096262996015081627e-02
3.472806926975413513e+10 2.018067518617858269e+00 -1.936212582116181302e-02
3.630661787292477417e+10 2.009389493007722738e+00 -2.504383587066927666e-02
3.788516647609541321e+10 2.000904983957067618e+00 -2.849412772634457927e-02
3.946371507926605988e+10 1.992809077756449998e+00 -3.008904538220886354e-02
4.104226368243669891e+10 1.985207902960224313e+00 -3.011796150119520205e-02
4.262081228560734558e+10 1.978158050834454729e+00 -2.879881991738887995e-02
4.419936088877798462e+10 1.971690833210863580e+00 -2.628681231026340839e-02
4.577790949194863129e+10 1.965830755075972824e+00 -2.267767222584884251e-02
4.735645809511927032e+10 1.960614952942233202e+00 -1.800662283483328921e-02
4.893500669828991699e+10 1.956120508882106535e+00 -1.224492751189167755e-02
5.051355530146055603e+10 1.952508753205191017e+00 -5.299096213333119067e-03
5.209210390463119507e+10 1.950099778249577476e+00 2.974187575139746690e-03
