# Frequency(Hz) n_real k_imag
1.578549e+09 -9.968041e-01 -8.585787e-01
3.157097e+09 8.369401e-01 -2.084122e+00
4.735646e+09 3.487344e-01 -2.170455e+00
6.314194e+09 -8.287572e-01 -1.253026e+00
7.892743e+09 -7.925223e-01 -1.331573e+00
9.471292e+09 -6.487259e-01 -1.560588e+00
1.104984e+10 -1.960009e-01 -1.857809e+00
1.262839e+10 4.765305e-01 -1.700728e+00
1.420694e+10 9.824502e-01 -1.395004e+00
1.578549e+10 1.286226e+00 -1.063606e+00
1.736403e+10 1.509569e+00 -7.093437e-01
1.894258e+10 1.643369e+00 -4.199531e-01
2.052113e+10 1.717441e+00 -2.524637e-01
2.209968e+10 1.760468e+00 -1.555572e-01
2.367823e+10 1.787205e+00 -9.520821e-02
2.525678e+10 1.805285e+00 -5.457815e-02
2.683533e+10 1.818827e+00 -2.490473e-02
2.841387e+10 1.830161e+00 -1.386397e-03
2.999242e+10 1.840725e+00 1.874687e-02
3.157097e+10 1.851541e+00 3.718352e-02
3.314952e+10 1.863529e+00 5.502813e-02
3.472807e+10 1.877779e+00 7.307725e-02
3.630662e+10 1.895983e+00 9.195785e-02
3.788517e+10 1.921530e+00 1.119964e-01
3.946372e+10 1.963403e+00 1.306895e-01
4.104226e+10 2.029315e+00 1.149058e-01
4.262081e+10 2.055691e+00 6.515782e-02
4.419936e+10 2.057703e+00 2.726672e-02
4.577791e+10 2.051353e+00 -6.272219e-04
4.735646e+10 2.041051e+00 -2.142307e-02
4.893501e+10 2.028557e+00 -3.674962e-02
5.051356e+10 2.014790e+00 -4.752428e-02
5.209210e+10 2.000376e+00 -5.427359e-02
5.367065e+10 1.985862e+00 -5.732238e-02
5.524920e+10 1.971800e+00 -5.693174e-02
5.682775e+10 1.958757e+00 -5.340569e-02
5.840630e+10 1.947263e+00 -4.715510e-02
5.998485e+10 1.937740e+00 -3.870465e-02
6.156340e+10 1.930433e+00 -2.863900e-02
6.314194e+10 1.925400e+00 -1.751531e-02
6.472049e+10 1.922550e+00 -5.780208e-03
6.629904e+10 1.921722e+00 6.282810e-03
6.787759e+10 1.922768e+00 1.856923e-02
6.945614e+10 1.925650e+00 3.114871e-02
7.103469e+10 1.930538e+00 4.426511e-02
7.261324e+10 1.937998e+00 5.837336e-02
7.419178e+10 1.949502e+00 7.427951e-02
7.577033e+10 1.969674e+00 9.347773e-02
7.734888e+10 2.022035e+00 1.024071e-01
7.892743e+10 2.047979e+00 6.387266e-02
8.050598e+10 2.052467e+00 3.716268e-02
8.208453e+10 2.051151e+00 1.703770e-02
8.366308e+10 2.046837e+00 1.035528e-03
8.524162e+10 2.040558e+00 -1.192256e-02
8.682017e+10 2.032824e+00 -2.235427e-02
8.839872e+10 2.023960e+00 -3.048950e-02
8.997727e+10 2.014249e+00 -3.639598e-02
9.155582e+10 2.003995e+00 -4.006109e-02
9.313437e+10 1.993565e+00 -4.146489e-02
9.471292e+10 1.983375e+00 -4.064525e-02
9.629146e+10 1.973852e+00 -3.774233e-02
9.787001e+10 1.965378e+00 -3.300694e-02
9.944856e+10 1.958233e+00 -2.676855e-02
1.010271e+11 1.952577e+00 -1.937858e-02
1.026057e+11 1.948458e+00 -1.115012e-02
1.041842e+11 1.945857e+00 -2.314105e-03
1.057628e+11 1.944738e+00 7.005594e-03
1.073413e+11 1.945108e+00 1.680545e-02
