Time_ps,Pulse
50.0244140625,NaN
50.0732421875,NaN
50.1220703125,NaN
50.1708984375,NaN
50.2197265625,NaN
50.2685546875,NaN
50.3173828125,NaN
50.3662109375,NaN
50.4150390625,NaN
50.4638671875,NaN
50.5126953125,NaN
50.5615234375,NaN
50.6103515625,NaN
50.6591796875,NaN
50.7080078125,NaN
50.7568359375,NaN
50.8056640625,NaN
50.8544921875,NaN
50.9033203125,NaN
50.9521484375,NaN
51.0009765625,NaN
51.0498046875,NaN
51.0986328125,-138.987717103055
51.1474609375,-140.457731430191
51.1962890625,-139.989096858045
51.2451171875,-139.218988455903
51.2939453125,-140.105971551314
51.3427734375,-140.497249142593
51.3916015625,-140.459852877861
51.4404296875,-139.531371382562
51.4892578125,-140.144202060492
51.5380859375,-140.198755708085
51.5869140625,-139.575963640548
51.6357421875,-140.298814548102
51.6845703125,-139.980765069329
51.7333984375,-139.683968361253
51.7822265625,-140.175692286003
51.8310546875,-141.150383943813
51.8798828125,-142.642902412922
51.9287109375,-139.383826237257
51.9775390625,-140.776269887863
52.0263671875,-139.339461953683
52.0751953125,-140.111114501216
52.1240234375,-138.408368481031
52.1728515625,-140.127038705894
52.2216796875,-135.609609972543
52.2705078125,-137.911695834127
52.3193359375,-139.386478068517
52.3681640625,-138.572716909444
52.4169921875,-138.282080992463
52.4658203125,-137.820733408234
52.5146484375,-137.06654585152
52.5634765625,-138.499794914667
52.6123046875,-138.052456346469
52.6611328125,-136.162099886456
52.7099609375,-138.956508279105
52.7587890625,-138.920835866671
52.8076171875,-138.289945814907
52.8564453125,-137.559464006516
52.9052734375,-137.170385171761
52.9541015625,-138.744117833527
53.0029296875,-136.891212369948
53.0517578125,-137.080797027748
53.1005859375,-136.266242598438
53.1494140625,-139.315905705942
53.1982421875,-138.985447708015
53.2470703125,-138.457034806645
53.2958984375,-136.186895139622
53.3447265625,-138.005597317382
53.3935546875,-135.809290930907
53.4423828125,-138.131814737832
53.4912109375,-136.553700202575
53.5400390625,-138.889681808352
53.5888671875,-137.157896004255
53.6376953125,-136.633271653385
53.6865234375,-136.540601918234
53.7353515625,-137.834144003858
53.7841796875,-137.224379223141
53.8330078125,-136.585533733641
53.8818359375,-136.221908814325
53.9306640625,-139.050592054716
53.9794921875,-136.460589772567
54.0283203125,-135.997555497325
54.0771484375,-136.013559495919
54.1259765625,-135.89623201146
54.1748046875,-136.868714065425
54.2236328125,-134.061277170381
54.2724609375,-137.658613145624
54.3212890625,-134.370271857599
54.3701171875,-133.939941173149
54.4189453125,-135.076678354997
54.4677734375,-135.150074101249
54.5166015625,-135.051650123567
54.5654296875,-133.806181820329
54.6142578125,-133.906444801715
54.6630859375,-134.282137345529
54.7119140625,-135.936324078586
54.7607421875,-135.067199329194
54.8095703125,-135.207308912582
54.8583984375,-133.779890395322
54.9072265625,-134.489442012291
54.9560546875,-133.727218988137
55.0048828125,-132.786905920688
55.0537109375,-133.488134673566
55.1025390625,-131.911409931146
55.1513671875,-134.068075764108
55.2001953125,-131.699889072629
55.2490234375,-133.608829948168
55.2978515625,-135.640274244193
55.3466796875,-133.226095394363
55.3955078125,-135.146396509653
55.4443359375,-132.417469067147
55.4931640625,-133.290781924012
55.5419921875,-133.463819269873
55.5908203125,-134.979021878112
55.6396484375,-134.174531346416
55.6884765625,-134.442634321409
55.7373046875,-133.572292168354
55.7861328125,-133.687728251605
55.8349609375,-134.484559608851
55.8837890625,-134.575096009249
55.9326171875,-132.501060000361
55.9814453125,-133.66182313606
56.0302734375,-131.324531525561
56.0791015625,-134.164361255461
56.1279296875,-133.587563087261
56.1767578125,-132.678010934524
56.2255859375,-132.702217492854
56.2744140625,-132.222209609607
56.3232421875,-131.815607371483
56.3720703125,-133.11069595642
56.4208984375,-133.755591184186
56.4697265625,-132.860366797296
56.5185546875,-133.348087788258
56.5673828125,-131.620404636708
56.6162109375,-135.201854886203
56.6650390625,-135.220518368742
56.7138671875,-132.8179922311
56.7626953125,-133.177676837398
56.8115234375,-133.455942452672
56.8603515625,-132.941765920448
56.9091796875,-134.575467337488
56.9580078125,-131.010985391178
57.0068359375,-132.075351305731
57.0556640625,-132.727957143789
57.1044921875,-132.219174937322
57.1533203125,-132.186232614208
57.2021484375,-134.726052565669
57.2509765625,-131.680791459444
57.2998046875,-133.306066506086
57.3486328125,-135.590774919032
57.3974609375,-132.833306443986
57.4462890625,-132.608056594847
57.4951171875,-133.842280950388
57.5439453125,-134.692421639488
57.5927734375,-134.707536872728
57.6416015625,-132.393285934328
57.6904296875,-130.746663144382
57.7392578125,-132.146365270843
57.7880859375,-133.289664334898
57.8369140625,-136.705494992633
57.8857421875,-131.626350340721
57.9345703125,-133.177463072739
57.9833984375,-135.560347727241
58.0322265625,-135.151459603715
58.0810546875,-134.632618114037
58.1298828125,-132.226971824639
58.1787109375,-134.621785151744
58.2275390625,-134.957516276179
58.2763671875,-133.51379709319
58.3251953125,-133.900134438839
58.3740234375,-135.963644578295
58.4228515625,-133.953918773533
58.4716796875,-134.087217422816
58.5205078125,-135.62656056446
58.5693359375,-132.68735557036
58.6181640625,-133.83052792843
58.6669921875,-134.329641653636
58.7158203125,-131.882551199088
58.7646484375,-132.209073038645
58.8134765625,-133.142691987944
58.8623046875,-132.451498925934
58.9111328125,-134.08623894373
58.9599609375,-131.372446436383
59.0087890625,-134.952390283448
59.0576171875,-131.519760980743
59.1064453125,-135.935070919589
59.1552734375,-132.931118056049
59.2041015625,-131.87045890843
59.2529296875,-132.198931068553
59.3017578125,-134.742535278573
59.3505859375,-133.049424404321
59.3994140625,-131.397240091963
59.4482421875,-133.770014022338
59.4970703125,-131.961730475731
59.5458984375,-132.911763048939
59.5947265625,-132.198138923787
59.6435546875,-131.164474595365
59.6923828125,-130.167521694031
59.7412109375,-134.372743982196
59.7900390625,-133.113246277858
59.8388671875,-132.998260408257
59.8876953125,-134.787869609851
59.9365234375,-132.535072348306
59.9853515625,-131.301025569534
60.0341796875,-132.660725969084
60.0830078125,-135.430347525064
60.1318359375,-131.140943499811
60.1806640625,-135.418528217429
60.2294921875,-133.581104543043
60.2783203125,-131.864403109171
60.3271484375,-129.541703963392
60.3759765625,-131.782242306875
60.4248046875,-129.505572799706
60.4736328125,-134.011828691573
60.5224609375,-130.299553008248
60.5712890625,-131.86747142243
60.6201171875,-128.650767263187
60.6689453125,-128.340701018102
60.7177734375,-131.296872645154
60.7666015625,-132.546273689993
60.8154296875,-129.113439472313
60.8642578125,-130.755785878665
60.9130859375,-130.934193819434
60.9619140625,-129.799618456036
61.0107421875,-134.76151442972
61.0595703125,-133.976546791477
61.1083984375,-130.609936682809
61.1572265625,-132.959914680424
61.2060546875,-128.439192719226
61.2548828125,-128.644802431157
61.3037109375,-129.973077338783
