Time_ps,Pulse
50.0244140625,NaN
50.0732421875,NaN
50.1220703125,NaN
50.1708984375,NaN
50.2197265625,NaN
50.2685546875,NaN
50.3173828125,NaN
50.3662109375,NaN
50.4150390625,NaN
50.4638671875,NaN
50.5126953125,NaN
50.5615234375,NaN
50.6103515625,NaN
50.6591796875,NaN
50.7080078125,NaN
50.7568359375,NaN
50.8056640625,NaN
50.8544921875,NaN
50.9033203125,NaN
50.9521484375,NaN
51.0009765625,NaN
51.0498046875,NaN
51.0986328125,NaN
51.1474609375,-147.930821629808
51.1962890625,-141.226831128782
51.2451171875,-141.560171648419
51.2939453125,-140.899099236872
51.3427734375,-139.966167438786
51.3916015625,-140.315417422657
51.4404296875,-139.877852681755
51.4892578125,-140.640681414397
51.5380859375,-139.701944141032
51.5869140625,-138.641321638219
51.6357421875,-139.59470986266
51.6845703125,-140.377378438353
51.7333984375,-140.112165021836
51.7822265625,-138.155215253198
51.8310546875,-140.31408544938
51.8798828125,-140.934522211494
51.9287109375,-139.435128300482
51.9775390625,-139.46251510041
52.0263671875,-141.052177704758
52.0751953125,-139.208817907969
52.1240234375,-138.392418712238
52.1728515625,-139.591121536397
52.2216796875,-139.441819817678
52.2705078125,-137.69016326376
52.3193359375,-138.47190265139
52.3681640625,-139.720664864592
52.4169921875,-139.007232541226
52.4658203125,-138.327777959975
52.5146484375,-138.007021623439
52.5634765625,-137.969114381108
52.6123046875,-137.495027593025
52.6611328125,-139.7180479988
52.7099609375,-137.402202253475
52.7587890625,-137.72033919678
52.8076171875,-137.558216534064
52.8564453125,-136.196544716335
52.9052734375,-137.707926110021
52.9541015625,-137.383729453216
53.0029296875,-137.119418779001
53.0517578125,-138.07670669622
53.1005859375,-136.8877641838
53.1494140625,-136.704898358452
53.1982421875,-135.913212229536
53.2470703125,-135.111797685292
53.2958984375,-136.100919716228
53.3447265625,-136.410886295665
53.3935546875,-136.066097059727
53.4423828125,-137.809943172524
53.4912109375,-134.758898496551
53.5400390625,-137.460285889949
53.5888671875,-136.071838330264
53.6376953125,-132.589144943404
53.6865234375,-134.830575364423
53.7353515625,-136.221841864278
53.7841796875,-135.93519821248
53.8330078125,-134.596096676399
53.8818359375,-133.628395229505
53.9306640625,-134.484623865695
53.9794921875,-133.594065002891
54.0283203125,-133.186517848193
54.0771484375,-133.510449685136
54.1259765625,-133.991074168035
54.1748046875,-135.099752372884
54.2236328125,-133.213843796165
54.2724609375,-135.571603627637
54.3212890625,-134.997152168761
54.3701171875,-133.365188418005
54.4189453125,-132.361847315179
54.4677734375,-133.650355556226
54.5166015625,-134.744237225672
54.5654296875,-133.696408184629
54.6142578125,-133.857613051775
54.6630859375,-134.245865820463
54.7119140625,-131.041628867854
54.7607421875,-135.431320210984
54.8095703125,-133.949823884876
54.8583984375,-134.42436288313
54.9072265625,-134.110342356472
54.9560546875,-130.84927373079
55.0048828125,-133.599568659426
55.0537109375,-131.515373317614
55.1025390625,-131.737988897945
55.1513671875,-132.28034676937
55.2001953125,-131.541706510425
55.2490234375,-132.991014653836
55.2978515625,-131.927875683031
55.3466796875,-132.698148639915
55.3955078125,-131.899568259321
55.4443359375,-132.218585285856
55.4931640625,-131.805633731087
55.5419921875,-133.365552338997
55.5908203125,-134.703710876658
55.6396484375,-133.92412333953
55.6884765625,-134.609780101037
55.7373046875,-136.122836964113
55.7861328125,-132.495827634704
55.8349609375,-134.933718344297
55.8837890625,-133.580891080333
55.9326171875,-135.598595105932
55.9814453125,-135.087408814633
56.0302734375,-137.060746021312
56.0791015625,-136.633719249068
56.1279296875,-135.943436275198
56.1767578125,-134.922813348618
56.2255859375,-136.414085134682
56.2744140625,-138.193523457846
56.3232421875,-138.615408865619
56.3720703125,-137.805971900083
56.4208984375,-136.728309948712
56.4697265625,-136.847549144643
56.5185546875,-134.680284742215
56.5673828125,-135.095613075818
56.6162109375,-138.930495961498
56.6650390625,-141.105129232072
56.7138671875,-139.437062165294
56.7626953125,-141.634669557959
56.8115234375,-138.214786404585
56.8603515625,-142.060566375787
56.9091796875,-141.692325681841
56.9580078125,-143.424180248692
57.0068359375,-144.904229580067
57.0556640625,-141.193118071691
57.1044921875,-142.372914449441
57.1533203125,-140.159408799647
57.2021484375,-141.25535378179
57.2509765625,-141.893135587718
57.2998046875,-141.393571031012
57.3486328125,-140.67554097972
57.3974609375,-136.936998837486
57.4462890625,-140.387166013414
57.4951171875,-134.684026573196
57.5439453125,-136.082465669789
57.5927734375,-133.413327608544
57.6416015625,-132.331374206072
57.6904296875,-132.179777157353
57.7392578125,-131.638444231692
57.7880859375,-131.80872742643
57.8369140625,-128.658537274582
57.8857421875,-131.86926697227
57.9345703125,-129.431144023636
57.9833984375,-130.737114128935
58.0322265625,-135.90783846921
58.0810546875,-136.008135897102
58.1298828125,-138.322280268086
58.1787109375,-140.69478486468
58.2275390625,-140.976097274143
58.2763671875,-143.809078979385
58.3251953125,-143.776866218084
58.3740234375,-145.307321147555
58.4228515625,-152.331370613115
58.4716796875,-151.5694768167
58.5205078125,-156.505663667305
58.5693359375,-153.671686618717
58.6181640625,-157.131382114039
58.6669921875,-156.213623882793
58.7158203125,-157.707451900713
58.7646484375,-159.554538739713
58.8134765625,-162.820814852986
58.8623046875,-159.026456973795
58.9111328125,-163.63479609075
58.9599609375,-160.490693079805
59.0087890625,-158.428793268552
59.0576171875,-153.556294499012
59.1064453125,-149.278450829749
59.1552734375,-143.219026467652
59.2041015625,-138.558847183246
59.2529296875,-129.066101559453
59.3017578125,-122.710137387808
59.3505859375,-109.581654921659
59.3994140625,-100.281995080963
59.4482421875,-89.4598757979701
59.4970703125,-75.3343036963743
59.5458984375,-67.0429774447054
59.5947265625,-57.6828599930672
59.6435546875,-46.9396311429032
59.6923828125,-44.5409347206371
59.7412109375,-39.9965853945348
59.7900390625,-41.5576493646859
59.8388671875,-40.5713802525212
59.8876953125,-41.0505642728946
59.9365234375,-45.649590226088
59.9853515625,-49.3394983329307
60.0341796875,-51.3721341754286
60.0830078125,-60.1298641137929
60.1318359375,-64.0130508198645
60.1806640625,-72.16026748273
60.2294921875,-73.7739108860965
60.2783203125,-82.4507922458377
60.3271484375,-89.0953107245592
60.3759765625,-91.2570852015773
60.4248046875,-96.5445237418382
60.4736328125,-101.486915564682
60.5224609375,-105.672997495205
60.5712890625,-107.186804339366
60.6201171875,-113.605652728994
60.6689453125,-117.831942710208
60.7177734375,-120.238741625858
60.7666015625,-123.082515120237
60.8154296875,-127.769581411965
60.8642578125,-127.362349068196
60.9130859375,-130.495968337145
60.9619140625,-138.328862787047
61.0107421875,-136.165012590364
61.0595703125,-140.309018988644
61.1083984375,-138.737790436268
61.1572265625,-140.829973080977
61.2060546875,-141.158974275936
61.2548828125,-141.559486125753
