Time_ps,Pulse
50.0244140625,NaN
50.0732421875,NaN
50.1220703125,NaN
50.1708984375,NaN
50.2197265625,NaN
50.2685546875,NaN
50.3173828125,NaN
50.3662109375,NaN
50.4150390625,NaN
50.4638671875,NaN
50.5126953125,NaN
50.5615234375,NaN
50.6103515625,NaN
50.6591796875,NaN
50.7080078125,NaN
50.7568359375,NaN
50.8056640625,NaN
50.8544921875,NaN
50.9033203125,NaN
50.9521484375,NaN
51.0009765625,NaN
51.0498046875,-140.315783340778
51.0986328125,-141.418533168903
51.1474609375,-145.224641207959
51.1962890625,-143.239488288019
51.2451171875,-141.53760511645
51.2939453125,-140.832416090172
51.3427734375,-139.190245034537
51.3916015625,-140.079227454195
51.4404296875,-139.666346106305
51.4892578125,-140.660219771625
51.5380859375,-140.57461098571
51.5869140625,-140.882134011922
51.6357421875,-140.670359180361
51.6845703125,-140.128184741256
51.7333984375,-139.71242088514
51.7822265625,-140.533313219319
51.8310546875,-139.938828675813
51.8798828125,-138.315728593012
51.9287109375,-140.104804236485
51.9775390625,-138.3337359701
52.0263671875,-140.533203358502
52.0751953125,-139.774153813525
52.1240234375,-139.272494828459
52.1728515625,-140.210686663824
52.2216796875,-140.650223008564
52.2705078125,-139.370489473479
52.3193359375,-139.21051609911
52.3681640625,-138.752367436535
52.4169921875,-137.841617254512
52.4658203125,-138.767048320076
52.5146484375,-140.730473547349
52.5634765625,-137.0808216738
52.6123046875,-136.532089664461
52.6611328125,-138.728916457026
52.7099609375,-139.738511271438
52.7587890625,-138.343226665344
52.8076171875,-139.803494007598
52.8564453125,-137.792945239813
52.9052734375,-137.207147141605
52.9541015625,-139.852491955713
53.0029296875,-139.395506586863
53.0517578125,-137.459784313441
53.1005859375,-135.928980616192
53.1494140625,-137.5219867724
53.1982421875,-139.095363694816
53.2470703125,-137.878439848491
53.2958984375,-137.987852283318
53.3447265625,-136.993154469129
53.3935546875,-137.051555350332
53.4423828125,-136.510829014976
53.4912109375,-134.776158900933
53.5400390625,-137.509166442988
53.5888671875,-137.535431029825
53.6376953125,-137.973720205068
53.6865234375,-134.837534565867
53.7353515625,-136.101801037759
53.7841796875,-134.493019959884
53.8330078125,-136.421267201108
53.8818359375,-135.473849896042
53.9306640625,-135.972230681194
53.9794921875,-133.547162170631
54.0283203125,-133.870300405073
54.0771484375,-134.375351087498
54.1259765625,-135.424596700254
54.1748046875,-134.801719520815
54.2236328125,-136.395998247463
54.2724609375,-137.703461260908
54.3212890625,-134.486298182316
54.3701171875,-132.612883116023
54.4189453125,-134.570560881997
54.4677734375,-136.663321184442
54.5166015625,-132.256740490785
54.5654296875,-134.265052455178
54.6142578125,-133.617176905313
54.6630859375,-135.671334431408
54.7119140625,-135.717563414745
54.7607421875,-135.608778838401
54.8095703125,-137.878575282218
54.8583984375,-132.942875645439
54.9072265625,-135.73028866476
54.9560546875,-134.233079483567
55.0048828125,-132.113206111562
55.0537109375,-134.270485462599
55.1025390625,-134.982903009497
55.1513671875,-133.429540522102
55.2001953125,-132.906975363859
55.2490234375,-135.801416483889
55.2978515625,-134.951465111041
55.3466796875,-135.293672274149
55.3955078125,-133.710825161727
55.4443359375,-136.515384365785
55.4931640625,-133.499700889837
55.5419921875,-136.847241117547
55.5908203125,-135.078291503783
55.6396484375,-133.955155867847
55.6884765625,-136.754825273896
55.7373046875,-134.227343787567
55.7861328125,-136.412850941609
55.8349609375,-136.166432461728
55.8837890625,-136.018351023431
55.9326171875,-136.10449391257
55.9814453125,-135.908143560115
56.0302734375,-136.311872281378
56.0791015625,-137.029520877397
56.1279296875,-138.045351139582
56.1767578125,-136.901399111407
56.2255859375,-136.964521266775
56.2744140625,-137.889459652468
56.3232421875,-137.275867699478
56.3720703125,-140.240682321994
56.4208984375,-139.039988751092
56.4697265625,-139.069656526871
56.5185546875,-139.96828753428
56.5673828125,-138.927260440884
56.6162109375,-139.375458654898
56.6650390625,-141.515113522312
56.7138671875,-140.072870619905
56.7626953125,-142.719049379847
56.8115234375,-144.285787408266
56.8603515625,-143.149369645252
56.9091796875,-141.33319186877
56.9580078125,-142.025721898641
57.0068359375,-139.394850149612
57.0556640625,-145.119198431609
57.1044921875,-144.582786724844
57.1533203125,-144.016409041808
57.2021484375,-146.836758068504
57.2509765625,-142.2482174394
57.2998046875,-140.721615835527
57.3486328125,-143.237695424567
57.3974609375,-142.461969127442
57.4462890625,-140.616602390402
57.4951171875,-139.598399847763
57.5439453125,-137.319857245681
57.5927734375,-136.766705994143
57.6416015625,-133.190809244059
57.6904296875,-133.727414633942
57.7392578125,-133.019599862164
57.7880859375,-133.079344595286
57.8369140625,-133.627759149982
57.8857421875,-133.238328038449
57.9345703125,-135.119306183652
57.9833984375,-134.409937047634
58.0322265625,-138.3236691293
58.0810546875,-139.656649905635
58.1298828125,-141.489937773456
58.1787109375,-142.997361510482
58.2275390625,-143.414438974602
58.2763671875,-146.177370402264
58.3251953125,-147.633749931526
58.3740234375,-149.717217189696
58.4228515625,-154.865798999562
58.4716796875,-155.404651403048
58.5205078125,-157.17376758031
58.5693359375,-158.95975379734
58.6181640625,-158.631043124366
58.6669921875,-159.088999619969
58.7158203125,-159.506920776186
58.7646484375,-161.867672503681
58.8134765625,-160.196874430248
58.8623046875,-163.81471083352
58.9111328125,-163.892116517109
58.9599609375,-159.022765943555
59.0087890625,-154.158773353331
59.0576171875,-153.837396219299
59.1064453125,-150.930541961843
59.1552734375,-144.235223838138
59.2041015625,-136.976770788012
59.2529296875,-128.493526597073
59.3017578125,-121.55637243761
59.3505859375,-109.17404421388
59.3994140625,-96.6896318450473
59.4482421875,-86.5049515932965
59.4970703125,-74.1340278461069
59.5458984375,-63.8283675234957
59.5947265625,-59.6255797219972
59.6435546875,-50.0365925324823
59.6923828125,-46.2076733874747
59.7412109375,-39.6477316660405
59.7900390625,-39.4204391930041
59.8388671875,-41.9640369288367
59.8876953125,-41.9040603085288
59.9365234375,-45.8732671774429
59.9853515625,-51.0217427008713
60.0341796875,-56.8304254269275
60.0830078125,-62.8672578299848
60.1318359375,-68.8905798170714
60.1806640625,-74.0184727517828
60.2294921875,-75.4899845315409
60.2783203125,-85.2323343500324
60.3271484375,-89.9663448010859
60.3759765625,-95.7415450201946
60.4248046875,-99.5505836064419
60.4736328125,-103.409332626515
60.5224609375,-108.66025219175
60.5712890625,-110.519065379999
60.6201171875,-114.472936832947
60.6689453125,-120.104022384637
60.7177734375,-119.013208074355
60.7666015625,-122.670242972273
60.8154296875,-130.092923351835
60.8642578125,-127.759430775164
60.9130859375,-132.904755443372
60.9619140625,-132.877306683748
61.0107421875,-133.290688568426
61.0595703125,-137.383311375543
61.1083984375,-135.551632459122
61.1572265625,-141.909539313539
61.2060546875,-142.629564596594
