Time_ps,Pulse
50.0244140625,NaN
50.0732421875,NaN
50.1220703125,NaN
50.1708984375,NaN
50.2197265625,NaN
50.2685546875,NaN
50.3173828125,NaN
50.3662109375,NaN
50.4150390625,NaN
50.4638671875,NaN
50.5126953125,NaN
50.5615234375,NaN
50.6103515625,NaN
50.6591796875,NaN
50.7080078125,NaN
50.7568359375,NaN
50.8056640625,NaN
50.8544921875,NaN
50.9033203125,NaN
50.9521484375,NaN
51.0009765625,NaN
51.0498046875,NaN
51.0986328125,-150.036653403633
51.1474609375,-140.915570286605
51.1962890625,-138.493764166606
51.2451171875,-141.859557638533
51.2939453125,-144.169269189073
51.3427734375,-147.56050985332
51.3916015625,-149.181541573697
51.4404296875,-152.015380216492
51.4892578125,-154.38749752204
51.5380859375,-156.314927637591
51.5869140625,-159.426008581386
51.6357421875,-161.90344830164
51.6845703125,-160.874678849082
51.7333984375,-163.602331296471
51.7822265625,-165.328076449077
51.8310546875,-165.809020630174
51.8798828125,-166.353446706019
51.9287109375,-167.458981573044
51.9775390625,-166.70297848178
52.0263671875,-164.639899184449
52.0751953125,-164.894317174967
52.1240234375,-161.87741409641
52.1728515625,-157.761513184205
52.2216796875,-151.206662069833
52.2705078125,-145.493109309293
52.3193359375,-138.54373851044
52.3681640625,-127.262587613127
52.4169921875,-115.41289508639
52.4658203125,-97.9764433775861
52.5146484375,-87.7790521826223
52.5634765625,-69.6768397124998
52.6123046875,-58.026509838084
52.6611328125,-44.6054738938956
52.7099609375,-37.8022349710995
52.7587890625,-27.0016975749236
52.8076171875,-23.7599569998235
52.8564453125,-20.0963389789924
52.9052734375,-24.0833400324279
52.9541015625,-26.7131797373738
53.0029296875,-30.7470619063672
53.0517578125,-37.0412667284994
53.1005859375,-40.1128343696155
53.1494140625,-49.6709606462814
53.1982421875,-56.5255073126833
53.2470703125,-63.448798851357
53.2958984375,-71.4958079778771
53.3447265625,-79.9663583956457
53.3935546875,-84.9625917862204
53.4423828125,-92.253069182926
53.4912109375,-99.6092745111183
53.5400390625,-105.412209966499
53.5888671875,-109.185729683953
53.6376953125,-113.173263104458
53.6865234375,-117.602531592566
53.7353515625,-122.766378667183
53.7841796875,-126.919076961052
53.8330078125,-130.629269545523
53.8818359375,-133.146300949843
53.9306640625,-137.406520842734
53.9794921875,-140.149355257572
54.0283203125,-142.144215609826
54.0771484375,-143.671827407068
54.1259765625,-144.680627474377
54.1748046875,-145.874772538688
54.2236328125,-147.947177752755
54.2724609375,-150.232758810678
54.3212890625,-153.110185633486
54.3701171875,-154.148918577009
54.4189453125,-151.981084779613
54.4677734375,-151.567633778322
54.5166015625,-148.672597323437
54.5654296875,-149.620697758815
54.6142578125,-147.799734426523
54.6630859375,-148.930176974038
54.7119140625,-146.256286052611
54.7607421875,-146.936454341743
54.8095703125,-147.233176841027
54.8583984375,-143.427502744468
54.9072265625,-144.359980904471
54.9560546875,-145.034123604939
55.0048828125,-141.101180626047
55.0537109375,-145.185140629602
55.1025390625,-140.752113138335
55.1513671875,-142.335627671328
55.2001953125,-141.282922551656
55.2490234375,-141.87850199788
55.2978515625,-146.206997310746
55.3466796875,-141.316084346057
55.3955078125,-144.780542329349
55.4443359375,-142.184036267616
55.4931640625,-144.913101390725
55.5419921875,-145.099987509453
55.5908203125,-143.891273584766
55.6396484375,-145.688711616606
55.6884765625,-144.673321407466
55.7373046875,-144.698248016637
55.7861328125,-145.315995157115
55.8349609375,-142.54743727169
55.8837890625,-144.485574768492
55.9326171875,-145.63632724163
55.9814453125,-149.02495237575
56.0302734375,-149.066817130809
56.0791015625,-153.378049374291
56.1279296875,-153.803086185708
56.1767578125,-154.525240038419
56.2255859375,-155.525484868394
56.2744140625,-155.575108545573
56.3232421875,-158.034011217873
56.3720703125,-161.072774190756
56.4208984375,-161.2879655598
56.4697265625,-161.589172806358
56.5185546875,-162.076856925179
56.5673828125,-164.569217276029
56.6162109375,-167.030088765123
56.6650390625,-170.950951727511
56.7138671875,-169.246201363135
56.7626953125,-172.935844838978
56.8115234375,-177.016887235204
56.8603515625,-177.42419033833
56.9091796875,-181.892539628851
56.9580078125,-185.51134303644
57.0068359375,-188.328507527412
57.0556640625,-192.756824795613
57.1044921875,-194.132276386534
57.1533203125,-196.249657714794
57.2021484375,-200.468400199359
57.2509765625,-203.575157260064
57.2998046875,-206.796806759022
57.3486328125,-209.921681722225
57.3974609375,-215.8209699744
57.4462890625,-222.977137035891
57.4951171875,-229.475612546136
57.5439453125,-231.935020938898
57.5927734375,-239.104649960813
57.6416015625,-243.762471773142
57.6904296875,-251.574865077866
57.7392578125,-259.956313553089
57.7880859375,-264.940373611936
57.8369140625,-273.284097625763
57.8857421875,-283.48022415294
57.9345703125,-290.087966149369
57.9833984375,-299.261715653484
58.0322265625,-307.913420431228
58.0810546875,-317.521578934631
58.1298828125,-329.286811407527
58.1787109375,-335.934169743385
58.2275390625,-346.393119655431
58.2763671875,-358.038000918214
58.3251953125,-371.088133039958
58.3740234375,-381.781494754524
58.4228515625,-395.978220713664
58.4716796875,-402.652785296619
58.5205078125,-419.789558561332
58.5693359375,-434.394481847924
58.6181640625,-443.322360924053
58.6669921875,-460.05341591308
58.7158203125,-476.121725755781
58.7646484375,-491.239679166874
58.8134765625,-508.458762380525
58.8623046875,-523.406467834821
58.9111328125,-538.704756390728
58.9599609375,-554.88005155677
59.0087890625,-572.641319850582
59.0576171875,-589.049768893877
59.1064453125,-606.063748176468
59.1552734375,-624.214564447418
59.2041015625,-642.682516131045
59.2529296875,-663.435192262529
59.3017578125,-676.131195472929
59.3505859375,-690.931373804534
59.3994140625,-709.361803730519
59.4482421875,-726.392727445248
59.4970703125,-741.984314095097
59.5458984375,-756.238040032798
59.5947265625,-770.466904415553
59.6435546875,-785.783218076598
59.6923828125,-797.350917395251
59.7412109375,-808.254221858917
59.7900390625,-820.256787948775
59.8388671875,-828.886527128007
59.8876953125,-831.797786301173
59.9365234375,-840.504779129606
59.9853515625,-841.449764692712
60.0341796875,-840.423136787261
60.0830078125,-836.947333190084
60.1318359375,-831.477905634013
60.1806640625,-814.546607223531
60.2294921875,-800.468516373778
60.2783203125,-779.308824271306
60.3271484375,-748.577412706534
60.3759765625,-711.47799552714
60.4248046875,-671.292186897881
60.4736328125,-618.653643649195
60.5224609375,-552.670440321655
60.5712890625,-475.079227741259
60.6201171875,-383.254943862192
60.6689453125,-276.102459572172
60.7177734375,-151.591053055719
60.7666015625,-4.99795222970439
60.8154296875,165.319589779331
60.8642578125,359.42481669567
60.9130859375,577.692923745792
60.9619140625,827.907217333617
61.0107421875,1098.36509988171
61.0595703125,1391.4116663261
61.1083984375,1690.3731737266
61.1572265625,1984.97694639615
61.2060546875,2263.61159699819
61.2548828125,2501.58675069655
