Time_ps,Signal
50.0244140625,
50.0732421875,
50.1220703125,
50.1708984375,
50.2197265625,
50.2685546875,
50.3173828125,
50.3662109375,
50.4150390625,
50.4638671875,
50.5126953125,
50.5615234375,
50.6103515625,
50.6591796875,
50.7080078125,
50.7568359375,
50.8056640625,
50.8544921875,
50.9033203125,
50.9521484375,
51.0009765625,
51.0498046875,
51.0986328125,
51.1474609375,-114.61701061537919
51.1962890625,-111.94289039125239
51.2451171875,-115.44348155003581
51.2939453125,-116.63884308692221
51.3427734375,-116.43712968182484
51.3916015625,-116.08363469626123
51.4404296875,-116.69896973658365
51.4892578125,-115.96866391691013
51.5380859375,-115.0734038168929
51.5869140625,-115.40124763640964
51.6357421875,-117.30707226159244
51.6845703125,-115.54598904444101
51.7333984375,-114.76442136973058
51.7822265625,-114.97168342701775
51.8310546875,-115.49856512556599
51.8798828125,-115.87527755625436
51.9287109375,-113.2543097832706
51.9775390625,-114.31201581242719
52.0263671875,-115.6632250654682
52.0751953125,-114.89567809927172
52.1240234375,-115.09377349665147
52.1728515625,-115.06880469927822
52.2216796875,-116.21907336346005
52.2705078125,-115.24010072495693
52.3193359375,-115.72880525727314
52.3681640625,-116.24188581370957
52.4169921875,-115.69158643273255
52.4658203125,-114.92948539557236
52.5146484375,-114.81883281153563
52.5634765625,-114.73782253064076
52.6123046875,-115.0803830666147
52.6611328125,-115.5543748218741
52.7099609375,-117.33167086765313
52.7587890625,-114.36510162633603
52.8076171875,-114.98199950949811
52.8564453125,-115.14932830334963
52.9052734375,-113.89846623784571
52.9541015625,-117.46535145652793
53.0029296875,-115.43864868216559
53.0517578125,-113.8001979525617
53.1005859375,-114.49907242149602
53.1494140625,-113.04193754128231
53.1982421875,-112.20723062458386
53.2470703125,-116.89152270495127
53.2958984375,-114.22405217914458
53.3447265625,-113.20129194119602
53.3935546875,-115.42334536790001
53.4423828125,-114.06778465542368
53.4912109375,-115.78014397873703
53.5400390625,-113.58339359073818
53.5888671875,-114.53777385324948
53.6376953125,-113.03652143755053
53.6865234375,-115.66574463477237
53.7353515625,-114.51779681592006
53.7841796875,-111.28214568042617
53.8330078125,-115.09703652418648
53.8818359375,-112.77401102228222
53.9306640625,-115.44650562002889
53.9794921875,-114.33880288692292
54.0283203125,-114.5061264356222
54.0771484375,-114.10046004156752
54.1259765625,-114.44775638164396
54.1748046875,-111.09355193864609
54.2236328125,-112.62235183048263
54.2724609375,-114.25321402218223
54.3212890625,-114.89297103508876
54.3701171875,-114.14759116595152
54.4189453125,-112.79615070699343
54.4677734375,-113.04047184102512
54.5166015625,-112.63983938794712
54.5654296875,-111.60045061796657
54.6142578125,-111.6811185187343
54.6630859375,-112.08018175281401
54.7119140625,-110.90920406816431
54.7607421875,-110.2537510882164
54.8095703125,-111.54507588043545
54.8583984375,-110.21477619208696
54.9072265625,-110.43467317983081
54.9560546875,-110.76222510896157
55.0048828125,-110.3436799971879
55.0537109375,-112.31457427227116
55.1025390625,-111.54900380081476
55.1513671875,-109.98163788096963
55.2001953125,-110.12923915560694
55.2490234375,-110.62707279950294
55.2978515625,-108.55512185992592
55.3466796875,-111.59310005360297
55.3955078125,-110.92865040283776
55.4443359375,-111.36731685779725
55.4931640625,-107.97566435736253
55.5419921875,-109.74565043989637
55.5908203125,-109.86089635154043
55.6396484375,-111.80133348422554
55.6884765625,-111.80260258314603
55.7373046875,-109.60259709043072
55.7861328125,-108.8685194926141
55.8349609375,-107.45846287397265
55.8837890625,-111.46166382165141
55.9326171875,-109.74626700170832
55.9814453125,-109.91737090203796
56.0302734375,-109.7522029873737
56.0791015625,-108.8471553935082
56.1279296875,-108.15884944092551
56.1767578125,-108.96529453417732
56.2255859375,-110.30739688376805
56.2744140625,-110.5089798579122
56.3232421875,-108.95994775022378
56.3720703125,-107.51877390883068
56.4208984375,-108.26345957882064
56.4697265625,-108.59225688049003
56.5185546875,-111.36950915842337
56.5673828125,-109.67861184042869
56.6162109375,-110.26154608677788
56.6650390625,-109.31480713944103
56.7138671875,-108.16698687361614
56.7626953125,-107.70284310751335
56.8115234375,-109.51641077383103
56.8603515625,-109.021694525802
56.9091796875,-107.6530574296108
56.9580078125,-109.00381761308874
57.0068359375,-110.71703730744534
57.0556640625,-112.31820040445344
57.1044921875,-108.1399212809508
57.1533203125,-109.57851574124585
57.2021484375,-109.31682895683284
57.2509765625,-109.32142873677651
57.2998046875,-111.03542956573408
57.3486328125,-106.83135389559048
57.3974609375,-108.24268554711308
57.4462890625,-109.4219655221415
57.4951171875,-106.86333030310102
57.5439453125,-104.81790378563213
57.5927734375,-108.67059038284333
57.6416015625,-108.32988755422801
57.6904296875,-106.10773118839953
57.7392578125,-110.30594729069996
57.7880859375,-110.01216209596892
57.8369140625,-110.55408850773752
57.8857421875,-106.69977478598265
57.9345703125,-111.03543073540136
57.9833984375,-107.35662494202647
58.0322265625,-109.69566539355087
58.0810546875,-114.38117417252658
58.1298828125,-110.68516529553774
58.1787109375,-109.71250585848794
58.2275390625,-108.45070292027775
58.2763671875,-106.35431017491437
58.3251953125,-108.74340201996395
58.3740234375,-109.69907711437699
58.4228515625,-107.89264754779387
58.4716796875,-109.91100660489309
58.5205078125,-111.34661658388193
58.5693359375,-107.28988474004174
58.6181640625,-108.63731684999455
58.6669921875,-108.66970587841695
58.7158203125,-107.19674555407573
58.7646484375,-110.22890254459618
58.8134765625,-109.22139720024396
58.8623046875,-107.05975606637831
58.9111328125,-108.99292859846757
58.9599609375,-111.57386447391586
59.0087890625,-110.68607662710649
59.0576171875,-106.70517584675429
59.1064453125,-111.65208146521648
59.1552734375,-111.2820460996473
59.2041015625,-109.60773512759152
59.2529296875,-111.92992184446202
59.3017578125,-112.10701571113931
59.3505859375,-110.46952936849608
59.3994140625,-109.734520824182
59.4482421875,-108.01213485129213
59.4970703125,-111.5304332235383
59.5458984375,-109.31258651655776
59.5947265625,-108.46105655391106
59.6435546875,-109.15181273516762
59.6923828125,-110.61215047804686
59.7412109375,-109.5114442984434
59.7900390625,-108.58577374348084
59.8388671875,-108.28925368682063
59.8876953125,-111.40669347354257
59.9365234375,-107.49156228468235
59.9853515625,-109.52797499827066
60.0341796875,-113.02838538122462
60.0830078125,-110.0334530713145
60.1318359375,-111.07780730353366
60.1806640625,-112.23399008467295
60.2294921875,-107.46078937717617
60.2783203125,-111.56758699218967
60.3271484375,-109.88975419652614
60.3759765625,-111.27831796557412
60.4248046875,-110.38838762928104
60.4736328125,-109.40040235884192
60.5224609375,-109.83072506102451
60.5712890625,-110.42225909418065
60.6201171875,-110.82200453745386
60.6689453125,-111.53775973513564
60.7177734375,-116.2064882641203
60.7666015625,-113.5620994962785
60.8154296875,-114.36153699632581
60.8642578125,-116.06444713045086
60.9130859375,-114.86709686958355
60.9619140625,-113.55011884702441
61.0107421875,-114.10875589747484
61.0595703125,-113.58707186764828
61.1083984375,-113.99737025425222
61.1572265625,-116.09729211650674
61.2060546875,-112.72976579681661
61.2548828125,-115.29219502929186
61.3037109375,-114.79427044953516
61.3525390625,-113.20765712931038
61.4013671875,-110.53799658444716
61.4501953125,-110.26609889547754
61.4990234375,-109.63946720267708
61.5478515625,-109.06331580894343
61.5966796875,-106.99047527552267
61.6455078125,-104.63322370001325
61.6943359375,-105.50124528439277
61.7431640625,-105.59175213670092
61.7919921875,-108.41685422959485
61.8408203125,-105.99856069953721
61.8896484375,-110.05414158532682
61.9384765625,-105.31346816063798
61.9873046875,-109.2951828579823
62.0361328125,-106.94087515440773
62.0849609375,-107.26838263336239
62.1337890625,-110.40934293332307
62.1826171875,-113.03306431617374
62.2314453125,-114.52972642844246
62.2802734375,-114.72385944985695
62.3291015625,-115.44988917716016
62.3779296875,-116.09560754134276
62.4267578125,-118.72521560615107
62.4755859375,-120.81315382787274
62.5244140625,-120.17831223080356
62.5732421875,-124.81295224630696
62.6220703125,-123.67645501578457
62.6708984375,-125.17579366011972
62.7197265625,-123.38458542314136
62.7685546875,-126.58376804768223
62.8173828125,-124.11182794159728
62.8662109375,-123.96743301305521
62.9150390625,-124.41196578790586
62.9638671875,-118.05558760252067
63.0126953125,-114.79983072672695
63.0615234375,-114.56236811045767
63.1103515625,-106.87841041358182
63.1591796875,-96.51093901360517
63.2080078125,-95.51041275235708
63.2568359375,-84.64456912972149
63.3056640625,-72.06207815104798
63.3544921875,-64.35887591860134
63.4033203125,-54.11173074084735
63.4521484375,-44.08380829574577
63.5009765625,-38.128723786443786
63.5498046875,-28.23352368430674
63.5986328125,-21.49430211701882
63.6474609375,-14.341166074286582
63.6962890625,-11.14195611738171
63.7451171875,-6.46168731893657
63.7939453125,-6.356976145438708
63.8427734375,-7.60982240302298
63.8916015625,-8.910709756359605
63.9404296875,-11.536658488192757
63.9892578125,-14.364810591400209
64.0380859375,-16.85920302433557
64.0869140625,-20.887481017908236
64.1357421875,-22.40737356212931
64.1845703125,-27.26135839865631
64.2333984375,-27.856167858175617
64.2822265625,-32.57509916793586
64.3310546875,-38.21803820652067
64.3798828125,-38.84289813176489
64.4287109375,-46.86878238424502
64.4775390625,-47.01439879294707
64.5263671875,-49.59539935355212
64.5751953125,-56.61401203760098
64.6240234375,-59.582418840297734
64.6728515625,-63.35494142200424
64.7216796875,-65.77965242031374
64.7705078125,-64.60993579045747
64.8193359375,-68.1189365943013
64.8681640625,-71.52681507927957
64.9169921875,-74.14289087646725
64.9658203125,-75.89753267518515
65.0146484375,-77.84566637485592
65.0634765625,-81.0386158824393
65.1123046875,-85.39759817059962
65.1611328125,-82.98071737676668
65.2099609375,-81.64476393747579
65.2587890625,-83.03010186559803
65.3076171875,-84.1818745305563
65.3564453125,-84.07831121366206
65.4052734375,-89.3732246084694
65.4541015625,-89.84651987030503
65.5029296875,-88.80061127444156
65.5517578125,-87.79217705322377
65.6005859375,-87.29006083043119
65.6494140625,-88.01822380822524
65.6982421875,-89.45677772709182
65.7470703125,-89.63587895954642
65.7958984375,-87.15321299265348
65.8447265625,-87.5909945933317
65.8935546875,-88.81906736032704
65.9423828125,-92.73329627376734
65.9912109375,-92.9211814249211
66.0400390625,-93.77723975110816
66.0888671875,-95.44517485702357
66.1376953125,-94.01800489571511
66.1865234375,-93.39077355929213
66.2353515625,-93.53940301228693
66.2841796875,-95.71154168328923
66.3330078125,-93.93026061839505
66.3818359375,-91.87850135530451
66.4306640625,-93.11101656147663
66.4794921875,-92.85252202413383
66.5283203125,-95.27479297333674
66.5771484375,-93.26555574453481
66.6259765625,-94.89582526906172
66.6748046875,-93.54431603074858
66.7236328125,-91.83162968114597
66.7724609375,-93.27782924813727
66.8212890625,-90.94143120435498
66.8701171875,-91.27767334171787
66.9189453125,-99.03131683597587
66.9677734375,-97.14619762569767
67.0166015625,-94.26013927608633
67.0654296875,-96.67542254956552
