Time_ps,Signal
50.0244140625,
50.0732421875,
50.1220703125,
50.1708984375,
50.2197265625,
50.2685546875,
50.3173828125,
50.3662109375,
50.4150390625,
50.4638671875,
50.5126953125,
50.5615234375,
50.6103515625,
50.6591796875,
50.7080078125,
50.7568359375,
50.8056640625,
50.8544921875,
50.9033203125,
50.9521484375,
51.0009765625,
51.0498046875,
51.0986328125,-135.86260005343547
51.1474609375,-129.21964589231237
51.1962890625,-129.33194903006213
51.2451171875,-129.31897668737176
51.2939453125,-129.9368383684851
51.3427734375,-132.35807040270572
51.3916015625,-131.44043589808103
51.4404296875,-132.41177541997502
51.4892578125,-132.74506746456527
51.5380859375,-131.15159363056216
51.5869140625,-130.07455611132417
51.6357421875,-130.94520679277187
51.6845703125,-130.05034049645437
51.7333984375,-129.22798003341174
51.7822265625,-131.02192324113523
51.8310546875,-129.10688567890435
51.8798828125,-130.1017538375838
51.9287109375,-131.01236621843046
51.9775390625,-130.3185546817027
52.0263671875,-129.91333209296732
52.0751953125,-129.78432521577213
52.1240234375,-131.41489927280617
52.1728515625,-130.6379981079126
52.2216796875,-131.3439509565977
52.2705078125,-129.76492765763928
52.3193359375,-131.71244281467034
52.3681640625,-130.23313589474634
52.4169921875,-130.05208963508008
52.4658203125,-131.15382735586422
52.5146484375,-130.5493536890157
52.5634765625,-129.16942672841986
52.6123046875,-129.4933365622989
52.6611328125,-131.312017045296
52.7099609375,-130.07483819001402
52.7587890625,-129.31074535964098
52.8076171875,-130.04282837483885
52.8564453125,-127.64830225048944
52.9052734375,-129.30472960855235
52.9541015625,-128.19850922419855
53.0029296875,-128.5938591747826
53.0517578125,-128.31727990606348
53.1005859375,-128.74778742987908
53.1494140625,-129.68130773506815
53.1982421875,-126.56801142271726
53.2470703125,-125.13513120037643
53.2958984375,-126.89444757354816
53.3447265625,-128.71022777250192
53.3935546875,-127.17540916938394
53.4423828125,-129.49041320041374
53.4912109375,-126.09555913123229
53.5400390625,-125.8106340108833
53.5888671875,-127.10470926934845
53.6376953125,-126.52238487271691
53.6865234375,-129.03320903445922
53.7353515625,-125.68679816377005
53.7841796875,-125.75333117481482
53.8330078125,-125.47223494917682
53.8818359375,-127.21326011743747
53.9306640625,-127.20779886086127
53.9794921875,-127.13310420844175
54.0283203125,-127.81719312872842
54.0771484375,-124.68167875348144
54.1259765625,-125.97104719959663
54.1748046875,-129.085758593435
54.2236328125,-127.2385679712319
54.2724609375,-125.4601193627999
54.3212890625,-126.27101906887182
54.3701171875,-130.75099549813325
54.4189453125,-128.14125769931306
54.4677734375,-125.55250770882954
54.5166015625,-123.99043490610315
54.5654296875,-124.83062592794481
54.6142578125,-126.24172513727652
54.6630859375,-126.80160937579981
54.7119140625,-125.2582815030117
54.7607421875,-126.81269035358649
54.8095703125,-127.07568853020364
54.8583984375,-126.45058583617175
54.9072265625,-124.30782956903138
54.9560546875,-127.78044885804925
55.0048828125,-123.63295127925453
55.0537109375,-128.43733164730153
55.1025390625,-125.38422966001207
55.1513671875,-128.45076831301003
55.2001953125,-126.7676298255698
55.2490234375,-126.85059391644045
55.2978515625,-126.4212129579647
55.3466796875,-129.2253464656318
55.3955078125,-126.79149044576305
55.4443359375,-126.97245183000861
55.4931640625,-124.27475592988394
55.5419921875,-126.02274955924527
55.5908203125,-126.97508005718815
55.6396484375,-122.82218044749166
55.6884765625,-126.59421752524207
55.7373046875,-126.43461734564362
55.7861328125,-125.42531588053046
55.8349609375,-128.46098703524322
55.8837890625,-126.03800816494171
55.9326171875,-127.04249118670037
55.9814453125,-124.92565058119561
56.0302734375,-126.03881579240556
56.0791015625,-125.60954425755729
56.1279296875,-125.57351947260743
56.1767578125,-121.28706219019504
56.2255859375,-126.2257888820087
56.2744140625,-125.75385728240416
56.3232421875,-124.06467009451735
56.3720703125,-125.00954645325369
56.4208984375,-126.39392603400371
56.4697265625,-124.34172431459398
56.5185546875,-126.1651016581668
56.5673828125,-127.73792881899313
56.6162109375,-125.97107595366454
56.6650390625,-124.39089164458245
56.7138671875,-127.34746051463726
56.7626953125,-125.44146030815216
56.8115234375,-125.0773508866528
56.8603515625,-125.281938844643
56.9091796875,-129.20140662692785
56.9580078125,-124.69414993771659
57.0068359375,-126.2062746175543
57.0556640625,-127.1790060777642
57.1044921875,-126.34201121891721
57.1533203125,-128.09822376216147
57.2021484375,-123.91651258111008
57.2509765625,-126.20844257847523
57.2998046875,-124.53508875678642
57.3486328125,-124.31461438298315
57.3974609375,-123.23033877343617
57.4462890625,-124.12124978885159
57.4951171875,-125.11092617840741
57.5439453125,-124.69238851408977
57.5927734375,-125.55581693752387
57.6416015625,-124.46239298395048
57.6904296875,-126.49150287831806
57.7392578125,-124.35872507652785
57.7880859375,-126.67590596140245
57.8369140625,-124.83091995117427
57.8857421875,-125.95400818585497
57.9345703125,-124.15026946925994
57.9833984375,-125.53228338299532
58.0322265625,-126.16610489611996
58.0810546875,-123.99744898609418
58.1298828125,-119.90397739772457
58.1787109375,-124.70596131397356
58.2275390625,-123.78806482371675
58.2763671875,-123.23349948506015
58.3251953125,-122.33938730608335
58.3740234375,-121.84980135244577
58.4228515625,-122.038828618201
58.4716796875,-124.2212808396609
58.5205078125,-121.90422315103694
58.5693359375,-123.17174173386242
58.6181640625,-124.01349052764981
58.6669921875,-123.85557701339663
58.7158203125,-122.6574528636191
58.7646484375,-121.91228864100866
58.8134765625,-124.29312768050133
58.8623046875,-126.8637376348938
58.9111328125,-123.4521469161089
58.9599609375,-124.90267641461082
59.0087890625,-126.01429390310182
59.0576171875,-125.3511185808124
59.1064453125,-123.75101686375636
59.1552734375,-122.9538629434754
59.2041015625,-122.83371854762787
59.2529296875,-122.86478273363593
59.3017578125,-123.6366869782307
59.3505859375,-123.40606795892585
59.3994140625,-124.02545098747505
59.4482421875,-121.69685697156032
59.4970703125,-120.38481517730061
59.5458984375,-125.56444620590703
59.5947265625,-122.81467989561136
59.6435546875,-123.38743465914449
59.6923828125,-122.53221067987523
59.7412109375,-123.53277083802239
59.7900390625,-121.19493457054544
59.8388671875,-117.95864113842319
59.8876953125,-120.13927761836936
59.9365234375,-123.43556866191382
59.9853515625,-121.51353091788631
60.0341796875,-120.53828576804077
60.0830078125,-118.81843005127571
60.1318359375,-121.42244370457794
60.1806640625,-119.65996891875659
60.2294921875,-116.95645921057283
60.2783203125,-119.81505403055739
60.3271484375,-118.28072709207353
60.3759765625,-118.04551847326957
60.4248046875,-119.23381517170853
60.4736328125,-115.20408235149917
60.5224609375,-118.15722870336849
60.5712890625,-117.44000562579897
60.6201171875,-115.63281068820146
60.6689453125,-117.6610216242163
60.7177734375,-115.99452334656802
60.7666015625,-113.65034585913835
60.8154296875,-116.37702724457277
60.8642578125,-117.14288700306471
60.9130859375,-117.9918322450717
60.9619140625,-118.84548502278429
61.0107421875,-112.89745089213469
61.0595703125,-116.98296691464894
61.1083984375,-116.21046009232201
61.1572265625,-114.95955420840671
61.2060546875,-116.3762936753862
61.2548828125,-116.96346664170204
61.3037109375,-115.01703443475233
61.3525390625,-113.5528674429032
61.4013671875,-114.16878674733682
61.4501953125,-115.88178919169819
61.4990234375,-113.0437975107103
61.5478515625,-118.14101656163253
61.5966796875,-115.18869481583168
61.6455078125,-117.59575609803117
61.6943359375,-116.77399821751632
61.7431640625,-112.71283430681017
61.7919921875,-113.67456972592332
61.8408203125,-115.4074988555782
61.8896484375,-116.89186677344229
61.9384765625,-116.92772159588309
61.9873046875,-118.41735927574486
62.0361328125,-117.2128185551076
62.0849609375,-115.806214447857
62.1337890625,-116.83225973260316
62.1826171875,-116.60447535654872
62.2314453125,-118.1002698827004
62.2802734375,-118.80778534442975
62.3291015625,-116.8130919319233
62.3779296875,-117.30285227994455
62.4267578125,-116.67038758366019
62.4755859375,-113.81929357523894
62.5244140625,-111.99353875808075
62.5732421875,-114.73912359218394
62.6220703125,-112.41325513909099
62.6708984375,-111.94063681449148
62.7197265625,-110.16061445657445
62.7685546875,-106.42519470798676
62.8173828125,-109.0729433579956
62.8662109375,-108.71446498144367
62.9150390625,-106.40504690955159
62.9638671875,-106.29337880200684
63.0126953125,-110.84572705853641
63.0615234375,-106.42502280294168
63.1103515625,-111.25375833948152
63.1591796875,-118.46458612051123
63.2080078125,-114.71808615308905
63.2568359375,-114.9793522535017
63.3056640625,-114.99612902272611
63.3544921875,-117.61463148869424
63.4033203125,-123.5398161181795
63.4521484375,-123.85987064364234
63.5009765625,-124.81567232047327
63.5498046875,-127.34736456074941
63.5986328125,-125.1116369595033
63.6474609375,-127.90524972040657
63.6962890625,-131.73175679829404
63.7451171875,-131.42393729559024
63.7939453125,-133.81868289763585
63.8427734375,-130.5992901020994
63.8916015625,-133.5556391706642
63.9404296875,-138.86522513106232
63.9892578125,-133.56388325603422
64.0380859375,-132.9014524083206
64.0869140625,-132.54374587994428
64.1357421875,-129.48082884398158
64.1845703125,-127.1473898998876
64.2333984375,-124.48819817836264
64.2822265625,-119.78659606814534
64.3310546875,-112.61623141014432
64.3798828125,-102.9722629097905
64.4287109375,-100.01800463247977
64.4775390625,-91.44642803217454
64.5263671875,-83.81215223913654
64.5751953125,-75.93216648091831
64.6240234375,-70.7840194796421
64.6728515625,-67.1601919103161
64.7216796875,-61.49441722377821
64.7705078125,-56.38901895447445
64.8193359375,-55.11729641653179
64.8681640625,-53.31448404649518
64.9169921875,-53.12647395326508
64.9658203125,-55.73244191710051
65.0146484375,-61.815562293604636
65.0634765625,-64.24868613067221
65.1123046875,-65.75220971470915
65.1611328125,-70.81587209090996
65.2099609375,-73.74609078740909
65.2587890625,-74.49365217227653
65.3076171875,-80.23421300143876
65.3564453125,-80.3683416496559
65.4052734375,-85.79892268642337
65.4541015625,-85.98581356495298
65.5029296875,-89.70374651646269
65.5517578125,-97.00353301192645
65.6005859375,-97.88159306338905
65.6494140625,-102.49898012123914
65.6982421875,-105.45180271958085
65.7470703125,-105.22529208266008
65.7958984375,-109.03242572777816
65.8447265625,-110.45526467726519
65.8935546875,-116.19753019396745
65.9423828125,-113.05305111848813
65.9912109375,-116.04465986111151
66.0400390625,-117.70014679642715
66.0888671875,-120.24029490199935
66.1376953125,-119.6615598353776
66.1865234375,-121.02056316304652
66.2353515625,-123.6591964462086
66.2841796875,-126.48818214461227
66.3330078125,-124.74433174229823
66.3818359375,-123.72069440832976
66.4306640625,-126.6558011834245
66.4794921875,-127.28053022554035
66.5283203125,-127.40819543283939
66.5771484375,-125.73877290060175
66.6259765625,-125.52176202360221
66.6748046875,-125.62071665876317
66.7236328125,-121.60002945362524
66.7724609375,-121.87679654051009
66.8212890625,-122.80505257346162
66.8701171875,-122.12530950918686
66.9189453125,-122.98272103102097
66.9677734375,-119.3998822901346
67.0166015625,-122.00779687662819
