Time_ps,Signal
50.0244140625,
50.0732421875,
50.1220703125,
50.1708984375,
50.2197265625,
50.2685546875,
50.3173828125,
50.3662109375,
50.4150390625,
50.4638671875,
50.5126953125,
50.5615234375,
50.6103515625,
50.6591796875,
50.7080078125,
50.7568359375,
50.8056640625,
50.8544921875,
50.9033203125,
50.9521484375,
51.0009765625,
51.0498046875,
51.0986328125,-119.9611445405801
51.1474609375,-118.65442988306265
51.1962890625,-121.89492546537366
51.2451171875,-121.05639403689618
51.2939453125,-120.75282918265385
51.3427734375,-119.31677115461355
51.3916015625,-118.87590165767874
51.4404296875,-118.29126570165755
51.4892578125,-119.28204427970176
51.5380859375,-120.42761707609078
51.5869140625,-120.06562052295143
51.6357421875,-118.08916791593708
51.6845703125,-119.11955924475338
51.7333984375,-118.78373004348462
51.7822265625,-117.83006465773289
51.8310546875,-118.99961792453112
51.8798828125,-118.39161232985117
51.9287109375,-119.44144774998308
51.9775390625,-119.31190222166214
52.0263671875,-119.10514512044689
52.0751953125,-120.27009326458119
52.1240234375,-118.61906761520159
52.1728515625,-119.7238507100641
52.2216796875,-120.38051980270039
52.2705078125,-120.47831749019838
52.3193359375,-120.40516744670319
52.3681640625,-116.87308061816606
52.4169921875,-118.91717806353232
52.4658203125,-120.01918004859016
52.5146484375,-118.04161988921345
52.5634765625,-118.02948189945081
52.6123046875,-117.16909271574849
52.6611328125,-117.15068599323203
52.7099609375,-117.81944668950034
52.7587890625,-118.08015037440805
52.8076171875,-118.0540586345999
52.8564453125,-118.56101072582422
52.9052734375,-120.10155163257598
52.9541015625,-115.83101823708147
53.0029296875,-119.41138148566634
53.0517578125,-118.45242417484074
53.1005859375,-117.11965723479148
53.1494140625,-120.20990855723089
53.1982421875,-117.99050079664849
53.2470703125,-119.05611563376763
53.2958984375,-118.26295527735648
53.3447265625,-116.25253551917484
53.3935546875,-118.9281183740809
53.4423828125,-119.05666400006713
53.4912109375,-117.3716773206024
53.5400390625,-116.94735747515617
53.5888671875,-118.06624228567456
53.6376953125,-119.58172620801328
53.6865234375,-118.10048579483559
53.7353515625,-117.8315200157902
53.7841796875,-117.63193806267877
53.8330078125,-119.14992569889945
53.8818359375,-116.4335336368498
53.9306640625,-118.21939273158742
53.9794921875,-121.2257024015765
54.0283203125,-119.96781062463553
54.0771484375,-117.73888532785736
54.1259765625,-118.38852851762522
54.1748046875,-119.93652778113066
54.2236328125,-119.59240512765213
54.2724609375,-118.69027324880248
54.3212890625,-118.786565925944
54.3701171875,-119.32099807745685
54.4189453125,-119.01453349140112
54.4677734375,-117.93473041306135
54.5166015625,-119.32791690870474
54.5654296875,-117.60948674108661
54.6142578125,-118.14564083685332
54.6630859375,-115.88987134032375
54.7119140625,-119.0989470879299
54.7607421875,-117.15240405752435
54.8095703125,-115.95319849322082
54.8583984375,-118.97702629438783
54.9072265625,-119.2299247798668
54.9560546875,-116.81224916531774
55.0048828125,-117.9992871895891
55.0537109375,-116.56201595980306
55.1025390625,-118.6833788199415
55.1513671875,-117.85548009770741
55.2001953125,-118.0276409996359
55.2490234375,-118.50226014467005
55.2978515625,-118.56657477140219
55.3466796875,-114.49122326717993
55.3955078125,-116.96267395274016
55.4443359375,-117.67626125114974
55.4931640625,-117.70281905268969
55.5419921875,-117.63324178322745
55.5908203125,-115.44793473223363
55.6396484375,-115.86184621934996
55.6884765625,-116.68205225902086
55.7373046875,-117.78860806071204
55.7861328125,-116.43057889603682
55.8349609375,-118.07710309360156
55.8837890625,-117.72101151758109
55.9326171875,-117.81380529975223
55.9814453125,-118.48716971373278
56.0302734375,-116.64974755762273
56.0791015625,-117.10363190810064
56.1279296875,-117.5534348336745
56.1767578125,-114.25007491390953
56.2255859375,-117.68274474156101
56.2744140625,-118.48933803618552
56.3232421875,-117.86654993837615
56.3720703125,-116.98449570322956
56.4208984375,-115.4365514490528
56.4697265625,-113.09338928140446
56.5185546875,-115.6119077465017
56.5673828125,-115.7132169852441
56.6162109375,-116.45698161367083
56.6650390625,-116.77483606789603
56.7138671875,-110.81615202877897
56.7626953125,-113.79171650865308
56.8115234375,-115.18738067653959
56.8603515625,-115.06065129772536
56.9091796875,-116.48187793421326
56.9580078125,-114.1786672408087
57.0068359375,-114.95836425289491
57.0556640625,-115.08113455054136
57.1044921875,-113.51623507460643
57.1533203125,-114.06584037438111
57.2021484375,-115.09008937019262
57.2509765625,-116.22108740261814
57.2998046875,-116.55809468526793
57.3486328125,-115.4883795962417
57.3974609375,-113.6799452069715
57.4462890625,-113.49019525335373
57.4951171875,-112.55628648319362
57.5439453125,-113.37688958743719
57.5927734375,-113.83758289896788
57.6416015625,-113.43414419221212
57.6904296875,-116.07229445988695
57.7392578125,-113.10908972876291
57.7880859375,-111.61370448127619
57.8369140625,-114.77232237371095
57.8857421875,-114.37133173923579
57.9345703125,-116.45517919421208
57.9833984375,-114.07946872605025
58.0322265625,-112.1758213328866
58.0810546875,-111.73060933695439
58.1298828125,-115.01953824271979
58.1787109375,-114.8676966661732
58.2275390625,-113.63386104360197
58.2763671875,-115.39994404523799
58.3251953125,-117.63641666646649
58.3740234375,-112.17667735177876
58.4228515625,-117.64193578865437
58.4716796875,-114.44064555196248
58.5205078125,-113.94951320107286
58.5693359375,-112.74083414208127
58.6181640625,-110.56917792793273
58.6669921875,-115.88965444816934
58.7158203125,-114.46831721674035
58.7646484375,-115.51951155881896
58.8134765625,-115.53282517538332
58.8623046875,-114.75950639035399
58.9111328125,-115.0153498859381
58.9599609375,-115.78309195023088
59.0087890625,-113.22909257457837
59.0576171875,-112.33845834178956
59.1064453125,-112.9246917123225
59.1552734375,-114.33505187919666
59.2041015625,-112.37694418918723
59.2529296875,-114.29353059758594
59.3017578125,-113.34249860629443
59.3505859375,-115.90686137065403
59.3994140625,-115.34295712805877
59.4482421875,-115.80565792182442
59.4970703125,-114.92486261253659
59.5458984375,-115.76938666822467
59.5947265625,-119.1730288613266
59.6435546875,-115.12562726436465
59.6923828125,-114.24018251245117
59.7412109375,-114.73410584823677
59.7900390625,-115.99886603208753
59.8388671875,-110.75214660897531
59.8876953125,-117.51310692122338
59.9365234375,-114.43637825872007
59.9853515625,-114.69149036575875
60.0341796875,-112.76148889929868
60.0830078125,-113.19243114553565
60.1318359375,-116.95029900681449
60.1806640625,-115.34807399413357
60.2294921875,-116.48734303347942
60.2783203125,-113.82918474421047
60.3271484375,-116.35693323929573
60.3759765625,-113.80963613459357
60.4248046875,-113.97108939605572
60.4736328125,-117.4570027004141
60.5224609375,-117.42601084714455
60.5712890625,-116.32128174898142
60.6201171875,-113.22053797631324
60.6689453125,-116.9368841641629
60.7177734375,-116.99319420859848
60.7666015625,-116.10332517495854
60.8154296875,-114.31342869518295
60.8642578125,-114.04879822555965
60.9130859375,-115.57175319156238
60.9619140625,-112.30643803048955
61.0107421875,-116.78974885354593
61.0595703125,-116.7568098190736
61.1083984375,-119.27538461648774
61.1572265625,-118.59994381910869
61.2060546875,-117.05968117927038
61.2548828125,-117.93194844942846
61.3037109375,-118.12517503367116
61.3525390625,-120.33998282095914
61.4013671875,-121.42355504310397
61.4501953125,-119.20567666026501
61.4990234375,-118.89878593108858
61.5478515625,-119.4907757219825
61.5966796875,-119.5819911251789
61.6455078125,-120.82090849026551
61.6943359375,-120.49296409434953
61.7431640625,-114.23694668725528
61.7919921875,-115.66835231121165
61.8408203125,-117.86396527261734
61.8896484375,-115.80085327607685
61.9384765625,-115.83121178682863
61.9873046875,-115.94895483147906
62.0361328125,-112.87656552853488
62.0849609375,-112.18689575699489
62.1337890625,-110.36370922203614
62.1826171875,-109.54533072456574
62.2314453125,-110.71144699821836
62.2802734375,-113.78059826600706
62.3291015625,-109.28718566207112
62.3779296875,-110.06137463609217
62.4267578125,-109.4152878797309
62.4755859375,-110.17705612590393
62.5244140625,-110.55619294422038
62.5732421875,-109.91887672917821
62.6220703125,-113.648005873204
62.6708984375,-115.73228148280573
62.7197265625,-117.51691852151467
62.7685546875,-116.38757765066467
62.8173828125,-118.79203233717114
62.8662109375,-121.45492816421785
62.9150390625,-126.83919867220187
62.9638671875,-123.83612407784075
63.0126953125,-124.18571351416041
63.0615234375,-126.91145727936532
63.1103515625,-129.89188500043747
63.1591796875,-129.9595260992935
63.2080078125,-127.82181539950633
63.2568359375,-129.3871564722045
63.3056640625,-131.55936299335505
63.3544921875,-133.63717780707609
63.4033203125,-134.02002456187577
63.4521484375,-133.14959523571795
63.5009765625,-134.96324958421434
63.5498046875,-126.69468786702068
63.5986328125,-125.270343284565
63.6474609375,-119.87539731950594
63.6962890625,-119.24326093595693
63.7451171875,-112.90378830446933
63.7939453125,-100.9209244989073
63.8427734375,-93.11090011337873
63.8916015625,-89.39971903505727
63.9404296875,-80.84394329843906
63.9892578125,-73.626066328293
64.0380859375,-65.05589345401172
64.0869140625,-66.45434384186731
64.1357421875,-60.95464970135181
64.1845703125,-57.97717257712893
64.2333984375,-56.33156798936636
64.2822265625,-54.096651497082334
64.3310546875,-51.91326230746527
64.3798828125,-57.33241436956207
64.4287109375,-61.804404309106665
64.4775390625,-60.28373957218593
64.5263671875,-62.266465666245075
64.5751953125,-68.65710775423648
64.6240234375,-73.29336960436031
64.6728515625,-71.33367048437563
64.7216796875,-79.29896565229924
64.7705078125,-79.63503465854787
64.8193359375,-86.40360023372307
64.8681640625,-88.4558900087025
64.9169921875,-89.83065005905632
64.9658203125,-96.37738113441598
65.0146484375,-99.45344168904576
65.0634765625,-103.53041200895893
65.1123046875,-102.10814917000125
65.1611328125,-104.46108481120623
65.2099609375,-103.7963328929066
65.2587890625,-108.96790209295399
65.3076171875,-110.44900301742987
65.3564453125,-111.3417865296868
65.4052734375,-113.71997963113397
65.4541015625,-117.23405214277453
65.5029296875,-115.40872231221272
65.5517578125,-118.84620366864303
65.6005859375,-120.02016062672588
65.6494140625,-119.52956504851504
65.6982421875,-118.38369506467494
65.7470703125,-120.7112841901637
65.7958984375,-120.13164527044411
65.8447265625,-122.29749010132579
65.8935546875,-115.8701546998642
65.9423828125,-122.48858880589843
65.9912109375,-120.20965651368174
66.0400390625,-118.89280111389776
66.0888671875,-119.09118123983714
66.1376953125,-119.69986550648387
66.1865234375,-117.29474008118038
66.2353515625,-115.35136530962608
66.2841796875,-116.77172663553793
66.3330078125,-116.96855776258971
66.3818359375,-116.3777271465198
66.4306640625,-115.90769555663633
66.4794921875,-117.1521637592639
66.5283203125,-110.96015417614386
66.5771484375,-112.2544905177738
66.6259765625,-109.72672358896016
66.6748046875,-108.92137134068972
66.7236328125,-110.90669264264503
66.7724609375,-111.22820355112107
66.8212890625,-110.93222675197057
66.8701171875,-114.46329232449632
66.9189453125,-111.85902094172707
66.9677734375,-114.71608080448823
67.0166015625,-114.01733465792144
