Time_ps,Signal
50.0244140625,
50.0732421875,
50.1220703125,
50.1708984375,
50.2197265625,
50.2685546875,
50.3173828125,
50.3662109375,
50.4150390625,
50.4638671875,
50.5126953125,
50.5615234375,
50.6103515625,
50.6591796875,
50.7080078125,
50.7568359375,
50.8056640625,
50.8544921875,
50.9033203125,
50.9521484375,
51.0009765625,
51.0498046875,
51.0986328125,
51.1474609375,-134.41394461307104
51.1962890625,-131.6203559216053
51.2451171875,-133.90188886140433
51.2939453125,-136.1952588682942
51.3427734375,-137.52860209788528
51.3916015625,-138.40379341596113
51.4404296875,-141.32020217471705
51.4892578125,-142.58161509810273
51.5380859375,-145.0243224369155
51.5869140625,-146.64807350569546
51.6357421875,-148.71694264823674
51.6845703125,-149.90719671608585
51.7333984375,-151.63666802266587
51.7822265625,-151.92562532804521
51.8310546875,-153.2213183247279
51.8798828125,-153.38182915095143
51.9287109375,-154.3305809350059
51.9775390625,-154.38435546887894
52.0263671875,-156.72162270838479
52.0751953125,-153.32379852369922
52.1240234375,-152.89851871982623
52.1728515625,-150.43256985823908
52.2216796875,-145.79655313652808
52.2705078125,-141.85569561444285
52.3193359375,-135.23226753376784
52.3681640625,-129.13971632185718
52.4169921875,-120.12716313438388
52.4658203125,-109.67496889519755
52.5146484375,-98.43967157517594
52.5634765625,-88.38609950286444
52.6123046875,-79.28403028557796
52.6611328125,-69.21223822013467
52.7099609375,-63.98137626973048
52.7587890625,-57.72937601795208
52.8076171875,-55.369801004297535
52.8564453125,-55.32520446457857
52.9052734375,-53.551794575930195
52.9541015625,-57.29398801224992
53.0029296875,-57.70253456391635
53.0517578125,-63.4512203485482
53.1005859375,-66.9230665096131
53.1494140625,-72.98477693061241
53.1982421875,-78.98225910598167
53.2470703125,-82.55853020275653
53.2958984375,-88.38083511935659
53.3447265625,-92.40478036160913
53.3935546875,-97.20277552111784
53.4423828125,-104.99836879817401
53.4912109375,-106.55827875084249
53.5400390625,-110.4148555352725
53.5888671875,-116.08821328602207
53.6376953125,-118.70808873225263
53.6865234375,-120.04209615089111
53.7353515625,-124.09013545371914
53.7841796875,-128.98976614693206
53.8330078125,-130.78790363485862
53.8818359375,-132.86687304014927
53.9306640625,-136.06798967781702
53.9794921875,-134.25568659792498
54.0283203125,-138.46939275613119
54.0771484375,-137.87831645731293
54.1259765625,-139.96789971074907
54.1748046875,-143.71501902433948
54.2236328125,-143.3133646936766
54.2724609375,-145.593088965145
54.3212890625,-141.8389839685345
54.3701171875,-146.0984734529641
54.4189453125,-145.6372409357749
54.4677734375,-142.73713934977414
54.5166015625,-142.9554616449962
54.5654296875,-142.4950678860424
54.6142578125,-145.809188788194
54.6630859375,-141.6129714891028
54.7119140625,-137.99937002689845
54.7607421875,-137.79998074761914
54.8095703125,-141.52277515447565
54.8583984375,-138.6916216399873
54.9072265625,-138.49735578914218
54.9560546875,-138.53768432680292
55.0048828125,-139.77329413919858
55.0537109375,-138.86771975172817
55.1025390625,-138.17102782643585
55.1513671875,-137.42562427450062
55.2001953125,-140.77717851008998
55.2490234375,-137.22399499703312
55.2978515625,-138.6395351819071
55.3466796875,-141.57671934400804
55.3955078125,-142.4559900995294
55.4443359375,-142.98016416119341
55.4931640625,-141.1246049239331
55.5419921875,-142.79631230267447
55.5908203125,-143.6779075436654
55.6396484375,-143.5742271213615
55.6884765625,-144.33579182058796
55.7373046875,-143.27370166521223
55.7861328125,-144.75808653367798
55.8349609375,-144.56165460645187
55.8837890625,-145.87493691735642
55.9326171875,-148.0186042627931
55.9814453125,-147.96091522089068
56.0302734375,-149.84122902135599
56.0791015625,-153.91257449210207
56.1279296875,-151.7890302922529
56.1767578125,-154.27672951018945
56.2255859375,-153.03663639210296
56.2744140625,-159.4042338148662
56.3232421875,-158.29734957341896
56.3720703125,-157.81985652894784
56.4208984375,-159.91532658850866
56.4697265625,-162.56066919568738
56.5185546875,-162.19747448612785
56.5673828125,-169.44975438845432
56.6162109375,-170.71050526369248
56.6650390625,-169.57505555786958
56.7138671875,-172.2503042724349
56.7626953125,-176.8686743523471
56.8115234375,-177.5279954562682
56.8603515625,-179.25350166544993
56.9091796875,-183.43170468559836
56.9580078125,-186.9027763476007
57.0068359375,-190.92270652094885
57.0556640625,-192.87816464071167
57.1044921875,-197.29488268761665
57.1533203125,-197.76807601499792
57.2021484375,-204.65882820561555
57.2509765625,-207.64613872047352
57.2998046875,-210.81631790333714
57.3486328125,-214.52397987662806
57.3974609375,-220.16113693415033
57.4462890625,-225.33534289874154
57.4951171875,-230.82081563233152
57.5439453125,-236.2821681152974
57.5927734375,-239.1320187565807
57.6416015625,-246.75638445487226
57.6904296875,-252.0584282957902
57.7392578125,-262.53479592932746
57.7880859375,-268.41448814361144
57.8369140625,-280.8408311603446
57.8857421875,-284.41859373249724
57.9345703125,-296.3988751042169
57.9833984375,-301.9455236688959
58.0322265625,-310.8130047473865
58.0810546875,-320.57911768189683
58.1298828125,-329.1089540648519
58.1787109375,-340.36021292199354
58.2275390625,-352.0440935628014
58.2763671875,-363.9238236072168
58.3251953125,-375.1074322306462
58.3740234375,-385.06059725274565
58.4228515625,-400.7273706252478
58.4716796875,-411.9594318274092
58.5205078125,-428.4775626663293
58.5693359375,-441.14555590723523
58.6181640625,-452.50653968412917
58.6669921875,-467.4662912476551
58.7158203125,-483.6368704577677
58.7646484375,-497.2815683252036
58.8134765625,-517.8356700235151
58.8623046875,-536.1069744591127
58.9111328125,-548.0847416212833
58.9599609375,-567.3123907474939
59.0087890625,-587.6943053544106
59.0576171875,-606.4908856890198
59.1064453125,-622.9531612995387
59.1552734375,-638.45890371086
59.2041015625,-658.9495366651893
59.2529296875,-674.988833504925
59.3017578125,-691.6996632399499
59.3505859375,-708.5282111497537
59.3994140625,-724.8085801973658
59.4482421875,-744.5403384970837
59.4970703125,-757.0206287392879
59.5458984375,-769.7104631973212
59.5947265625,-784.1004014165513
59.6435546875,-795.0508647436924
59.6923828125,-808.0340506358924
59.7412109375,-816.7817718022098
59.7900390625,-822.8067429889661
59.8388671875,-830.1170024669614
59.8876953125,-835.0449546959733
59.9365234375,-840.2252815481071
59.9853515625,-835.7579697816384
60.0341796875,-831.2203245656788
60.0830078125,-824.7750440270638
60.1318359375,-810.9579161017055
60.1806640625,-798.5227444889176
60.2294921875,-773.817980073469
60.2783203125,-747.2784516052855
60.3271484375,-711.6980523414267
60.3759765625,-671.9984083072974
60.4248046875,-624.5677812318913
60.4736328125,-569.078624399987
60.5224609375,-495.48217181153774
60.5712890625,-417.3572909956568
60.6201171875,-323.56192099815246
60.6689453125,-213.48845179029152
60.7177734375,-83.46760693624412
60.7666015625,66.36140221716907
60.8154296875,239.38690904951574
60.8642578125,438.5639907974078
60.9130859375,662.7750330793871
60.9619140625,913.71695432663
61.0107421875,1186.079065768989
61.0595703125,1477.9890004605777
61.1083984375,1776.9977767546945
61.1572265625,2073.253475393631
61.2060546875,2350.0682414364974
61.2548828125,2587.9502180026147
61.3037109375,2768.98221717209
61.3525390625,2887.4329507783705
61.4013671875,2935.204339375666
61.4501953125,2911.9531995786606
61.4990234375,2829.917116255423
61.5478515625,2690.706135288055
61.5966796875,2513.9334447322562
61.6455078125,2315.0011413155216
61.6943359375,2100.6471759708793
61.7431640625,1879.1110074140706
61.7919921875,1653.304972313239
61.8408203125,1440.4933559838657
61.8896484375,1232.1451513003844
61.9384765625,1031.0377570730043
61.9873046875,845.2507464156628
62.0361328125,669.1226602219263
62.0849609375,508.6424446600258
62.1337890625,357.89403437146717
62.1826171875,213.9695705032303
62.2314453125,85.19838299254452
62.2802734375,-34.11171204563749
62.3291015625,-141.03654471290926
62.3779296875,-244.2771781665723
62.4267578125,-333.57243054385884
62.4755859375,-409.4663609227585
62.5244140625,-470.8739232846069
62.5732421875,-526.4582116519101
62.6220703125,-564.5486980040921
62.6708984375,-594.9970280001395
62.7197265625,-617.4735542300122
62.7685546875,-632.1571523439053
62.8173828125,-640.2398709095653
62.8662109375,-645.8222636700668
62.9150390625,-644.1701205152937
62.9638671875,-639.8318849009336
63.0126953125,-625.5739549677254
63.0615234375,-611.1327812766066
63.1103515625,-584.0032013571379
63.1591796875,-550.7458531473369
63.2080078125,-513.1158992176067
63.2568359375,-473.1722302178657
63.3056640625,-430.66760993457797
63.3544921875,-397.3354362985104
63.4033203125,-364.6604444211078
63.4521484375,-339.94996244466375
63.5009765625,-319.4509619363987
63.5498046875,-302.8537528839575
63.5986328125,-292.826263340621
63.6474609375,-284.400276298567
63.6962890625,-275.6458980693296
63.7451171875,-267.953837744757
63.7939453125,-260.02718257143835
63.8427734375,-254.66167273114254
63.8916015625,-247.48315890838805
63.9404296875,-239.87931567026578
63.9892578125,-234.14304350475504
64.0380859375,-225.21504583199348
64.0869140625,-214.1804876146261
64.1357421875,-205.48962237725613
64.1845703125,-195.85625618062588
64.2333984375,-184.7872278696338
64.2822265625,-173.99505208165522
64.3310546875,-162.00763542764824
64.3798828125,-154.95938979898318
64.4287109375,-145.37577578058477
64.4775390625,-142.5587725264938
64.5263671875,-141.80588973623466
64.5751953125,-143.96446941931768
64.6240234375,-148.78813173920554
64.6728515625,-157.55766154663328
64.7216796875,-168.74463326075107
64.7705078125,-177.3009493144185
64.8193359375,-181.09572689610005
64.8681640625,-186.65705354584316
64.9169921875,-181.34524017458955
64.9658203125,-177.35560236141012
65.0146484375,-170.82118183566175
65.0634765625,-161.49597264118248
65.1123046875,-153.10186407556873
65.1611328125,-146.95561489209126
65.2099609375,-139.29359152401716
65.2587890625,-141.47560310158417
65.3076171875,-144.18758559267675
65.3564453125,-150.05133626499003
65.4052734375,-157.61498431143482
65.4541015625,-157.34571724085163
65.5029296875,-159.19226436418958
65.5517578125,-155.25391751645327
65.6005859375,-152.48264433800549
65.6494140625,-147.03651528129157
65.6982421875,-140.29678971669557
65.7470703125,-138.1300961042843
65.7958984375,-136.9515797218725
65.8447265625,-131.28996285755608
65.8935546875,-128.10548885897927
65.9423828125,-128.64306322663754
65.9912109375,-125.81506361459384
66.0400390625,-132.7918526916469
66.0888671875,-138.20381786036052
66.1376953125,-145.45806143575635
66.1865234375,-148.86107039330267
66.2353515625,-154.28256369993878
66.2841796875,-161.93147279214685
66.3330078125,-170.8820357880378
66.3818359375,-177.61924367782316
66.4306640625,-184.12210537174224
66.4794921875,-194.3265440336081
66.5283203125,-199.58692325952106
66.5771484375,-203.6477573687029
66.6259765625,-209.89669153700652
66.6748046875,-207.88487260852594
66.7236328125,-210.30776212294373
66.7724609375,-206.0232149027099
66.8212890625,-201.2419178495539
66.8701171875,-193.7612569748875
66.9189453125,-185.0109669087132
66.9677734375,-181.68715753138326
67.0166015625,-174.70731819485545
67.0654296875,-164.86068688942336
67.1142578125,-157.9396857080168
