Time_ps,Signal
50.0244140625,
50.0732421875,
50.1220703125,
50.1708984375,
50.2197265625,
50.2685546875,
50.3173828125,
50.3662109375,
50.4150390625,
50.4638671875,
50.5126953125,
50.5615234375,
50.6103515625,
50.6591796875,
50.7080078125,
50.7568359375,
50.8056640625,
50.8544921875,
50.9033203125,
50.9521484375,
51.0009765625,
51.0498046875,
51.0986328125,-115.17033317221406
51.1474609375,-119.73115867235232
51.1962890625,-121.98527953135842
51.2451171875,-127.74007555289575
51.2939453125,-127.99972325600558
51.3427734375,-129.9762491642901
51.3916015625,-133.6195849554977
51.4404296875,-135.44111177110122
51.4892578125,-139.25619956339068
51.5380859375,-141.8958994676539
51.5869140625,-143.755364374354
51.6357421875,-145.3311892834124
51.6845703125,-148.09358700663836
51.7333984375,-148.7177862142174
51.7822265625,-149.869894267712
51.8310546875,-152.61032875163593
51.8798828125,-153.4833261978283
51.9287109375,-156.1021928155795
51.9775390625,-155.80493611720576
52.0263671875,-155.1002964323034
52.0751953125,-152.1114058177528
52.1240234375,-149.69009107832076
52.1728515625,-145.7560722238127
52.2216796875,-137.22685835022293
52.2705078125,-131.03839856357914
52.3193359375,-118.85087193006188
52.3681640625,-106.64084428199465
52.4169921875,-91.6658992452695
52.4658203125,-74.72919625071059
52.5146484375,-57.07895024727172
52.5634765625,-38.89160198343414
52.6123046875,-19.662400198715503
52.6611328125,-4.501294645358786
52.7099609375,9.96927398867307
52.7587890625,18.471656327657715
52.8076171875,24.946553918802554
52.8564453125,25.893059085131995
52.9052734375,24.458914903300162
52.9541015625,21.783547427993895
53.0029296875,15.901197584430587
53.0517578125,9.408875353226147
53.1005859375,2.497894873183601
53.1494140625,-6.3019952743475605
53.1982421875,-16.092805797938325
53.2470703125,-25.302082776048323
53.2958984375,-34.607548856943424
53.3447265625,-44.69881145593282
53.3935546875,-51.236570950364474
53.4423828125,-58.761892977056135
53.4912109375,-67.69384799575312
53.5400390625,-74.14656061209055
53.5888671875,-81.17264352293138
53.6376953125,-88.66424416900924
53.6865234375,-95.42831910999192
53.7353515625,-98.45722385781039
53.7841796875,-101.88875480496232
53.8330078125,-109.72719183694319
53.8818359375,-111.65094427034238
53.9306640625,-117.71619973635754
53.9794921875,-118.91461217921173
54.0283203125,-122.63335404474856
54.0771484375,-124.4784322844523
54.1259765625,-127.57648187470558
54.1748046875,-128.84040160188496
54.2236328125,-131.44250410782536
54.2724609375,-132.1841079410955
54.3212890625,-131.29154197548803
54.3701171875,-131.45194603136346
54.4189453125,-130.79650026985865
54.4677734375,-132.1451137582052
54.5166015625,-130.60396000265234
54.5654296875,-129.7138337556012
54.6142578125,-127.81820306832006
54.6630859375,-125.98608784506958
54.7119140625,-123.4140449486525
54.7607421875,-124.39235606415875
54.8095703125,-118.97108926480036
54.8583984375,-121.4655097822816
54.9072265625,-119.08445637655566
54.9560546875,-119.7062631352734
55.0048828125,-120.01185862082443
55.0537109375,-120.93804563514296
55.1025390625,-119.9613169319771
55.1513671875,-121.38123405462332
55.2001953125,-121.75643330659925
55.2490234375,-120.1271501290772
55.2978515625,-121.11601354323781
55.3466796875,-124.08109104329587
55.3955078125,-121.61897288861036
55.4443359375,-120.03783228176724
55.4931640625,-120.16910821348101
55.5419921875,-122.15235153807915
55.5908203125,-120.21587245001115
55.6396484375,-121.429426303253
55.6884765625,-120.45358580524766
55.7373046875,-121.11515227400109
55.7861328125,-121.07612649430561
55.8349609375,-121.32024949960467
55.8837890625,-121.07255344294782
55.9326171875,-124.75192645686361
55.9814453125,-124.8992716008167
56.0302734375,-127.23480871873122
56.0791015625,-126.26706502902175
56.1279296875,-130.0041043448128
56.1767578125,-130.1651865988214
56.2255859375,-132.21079137220897
56.2744140625,-137.02306396197608
56.3232421875,-135.3185526623114
56.3720703125,-134.43213827956816
56.4208984375,-136.06682902804516
56.4697265625,-140.69376287521027
56.5185546875,-140.48304293639978
56.5673828125,-141.06335474039744
56.6162109375,-145.38826088458742
56.6650390625,-144.36503519841773
56.7138671875,-147.4375432686773
56.7626953125,-148.1286866993843
56.8115234375,-150.89223525988174
56.8603515625,-152.38848027995598
56.9091796875,-154.9010372826405
56.9580078125,-155.22790040167143
57.0068359375,-161.66245970700433
57.0556640625,-162.60195406427482
57.1044921875,-167.86667868467973
57.1533203125,-171.83671484987602
57.2021484375,-171.02776260103462
57.2509765625,-177.42783823477774
57.2998046875,-182.3431999709415
57.3486328125,-184.39091029935818
57.3974609375,-187.72465552320415
57.4462890625,-194.95545138146056
57.4951171875,-197.31480806719995
57.5439453125,-203.85505383034607
57.5927734375,-208.80593334611206
57.6416015625,-214.8551999284295
57.6904296875,-221.68880390263575
57.7392578125,-229.48456928011692
57.7880859375,-233.67118555012036
57.8369140625,-243.90328011483433
57.8857421875,-247.59104352534442
57.9345703125,-258.2863774317459
57.9833984375,-266.3600798692905
58.0322265625,-272.1095409056121
58.0810546875,-280.62237396361417
58.1298828125,-287.84222367353294
58.1787109375,-298.7902897833946
58.2275390625,-312.54603838763114
58.2763671875,-318.1845386921901
58.3251953125,-326.7014109252814
58.3740234375,-339.96817737620887
58.4228515625,-351.0505136688695
58.4716796875,-365.64969757606406
58.5205078125,-375.7727841776048
58.5693359375,-385.6814131061094
58.6181640625,-397.0773383704967
58.6669921875,-408.7422197067555
58.7158203125,-424.45980650845314
58.7646484375,-438.1635228972206
58.8134765625,-451.13821417710665
58.8623046875,-470.1030092007126
58.9111328125,-484.2280489516865
58.9599609375,-503.04709929168337
59.0087890625,-513.3802185668907
59.0576171875,-533.2786270189109
59.1064453125,-547.859133675053
59.1552734375,-564.3386587807059
59.2041015625,-576.7011936681422
59.2529296875,-592.6861985687768
59.3017578125,-607.7688898824108
59.3505859375,-623.973654274298
59.3994140625,-642.4824545849799
59.4482421875,-651.8851255092118
59.4970703125,-664.2938234001042
59.5458984375,-682.6653085035006
59.5947265625,-696.8954320088708
59.6435546875,-705.0595013241493
59.6923828125,-716.2481977571839
59.7412109375,-726.2302527057772
59.7900390625,-733.5912243404238
59.8388671875,-738.824493652528
59.8876953125,-743.2071971151527
59.9365234375,-745.1185770194207
59.9853515625,-745.74278639412
60.0341796875,-742.4914104696843
60.0830078125,-732.896916229513
60.1318359375,-723.3178502177166
60.1806640625,-710.084687884905
60.2294921875,-686.410796005066
60.2783203125,-664.6036637744695
60.3271484375,-637.6952929935514
60.3759765625,-603.1895969611127
60.4248046875,-560.8473335412643
60.4736328125,-510.27294814436084
60.5224609375,-450.0594727626874
60.5712890625,-380.55799174248807
60.6201171875,-297.85335930299726
60.6689453125,-202.36213434388182
60.7177734375,-87.17437650139723
60.7666015625,38.68430976948463
60.8154296875,189.9558855452837
60.8642578125,362.8478202429714
60.9130859375,555.6906712668214
60.9619140625,774.4141125007808
61.0107421875,1013.3541862257182
61.0595703125,1264.9331616344186
61.1083984375,1528.2523528466784
61.1572265625,1785.7820771538456
61.2060546875,2022.6510108100576
61.2548828125,2235.155915958348
61.3037109375,2404.94814634255
61.3525390625,2517.0432063643243
61.4013671875,2565.1498933662697
61.4501953125,2557.1709189067974
61.4990234375,2491.3002517154023
61.5478515625,2385.8065025211863
61.5966796875,2243.2061599770077
61.6455078125,2074.463687846339
61.6943359375,1895.2127619892108
61.7431640625,1701.8601292577289
61.7919921875,1511.676751191944
61.8408203125,1323.2868235871945
61.8896484375,1139.088123711411
61.9384765625,961.8899954156913
61.9873046875,797.7750673827325
62.0361328125,640.9264413317285
62.0849609375,498.58315869856716
62.1337890625,358.8118247479749
62.1826171875,234.0659709399791
62.2314453125,117.16500015841277
62.2802734375,7.087335172902212
62.3291015625,-93.5148199289021
62.3779296875,-185.6559200367666
62.4267578125,-262.91593226796675
62.4755859375,-333.51949256032697
62.5244140625,-394.2640644734217
62.5732421875,-440.90347352738064
62.6220703125,-476.63252922225035
62.6708984375,-507.6358616499039
62.7197265625,-528.7391831587269
62.7685546875,-542.9449350276457
62.8173828125,-556.6392518094258
62.8662109375,-564.2459666987927
62.9150390625,-561.9646795387284
62.9638671875,-560.0173414885061
63.0126953125,-552.273140557039
63.0615234375,-537.0855503152075
63.1103515625,-517.1086944151946
63.1591796875,-491.54893612810736
63.2080078125,-458.59806523403216
63.2568359375,-424.4877236697304
63.3056640625,-391.88538142882925
63.3544921875,-360.15593612528676
63.4033203125,-331.634931287556
63.4521484375,-311.1474201505033
63.5009765625,-293.8947248406994
63.5498046875,-283.8769695970399
63.5986328125,-269.7970032259424
63.6474609375,-260.47644069438445
63.6962890625,-254.64817840122888
63.7451171875,-244.38757632199466
63.7939453125,-236.7267526117238
63.8427734375,-226.34495856514047
63.8916015625,-224.89397505544034
63.9404296875,-221.55765421499098
63.9892578125,-211.8007773816605
64.0380859375,-201.02322998124754
64.0869140625,-193.46355786130584
64.1357421875,-188.29959878438197
64.1845703125,-179.6857115781442
64.2333984375,-170.46658492833424
64.2822265625,-159.1534797727332
64.3310546875,-149.79028550848184
64.3798828125,-142.2106371801349
64.4287109375,-134.30314347569836
64.4775390625,-133.64509025619728
64.5263671875,-131.4259099261199
64.5751953125,-137.52862874905793
64.6240234375,-142.0476391486742
64.6728515625,-148.93710163468353
64.7216796875,-154.4244777375673
64.7705078125,-164.55853773680056
64.8193359375,-169.66567492227796
64.8681640625,-169.10990255099065
64.9169921875,-167.81810695154877
64.9658203125,-166.59560869989613
65.0146484375,-157.50705980150937
65.0634765625,-150.36256301429265
65.1123046875,-147.5307766508348
65.1611328125,-140.26332027312927
65.2099609375,-138.8988308519065
65.2587890625,-135.17708819630678
65.3076171875,-139.5565547338838
65.3564453125,-141.70154455818025
65.4052734375,-145.67129821379518
65.4541015625,-151.87128021033834
65.5029296875,-153.37547444410018
65.5517578125,-147.89134499327372
65.6005859375,-144.64975203044727
65.6494140625,-140.67946420550246
65.6982421875,-139.2195723422295
65.7470703125,-136.29361356916732
65.7958984375,-131.14243774145504
65.8447265625,-129.44787736785642
65.8935546875,-128.570751512553
65.9423828125,-128.03009967324016
65.9912109375,-126.5179598978186
66.0400390625,-128.80257034928434
66.0888671875,-135.63766884897802
66.1376953125,-141.58171226222638
66.1865234375,-147.68925543866118
66.2353515625,-151.80280453152335
66.2841796875,-158.7127790756968
66.3330078125,-161.80414846998136
66.3818359375,-167.71928887255808
66.4306640625,-178.51342102840832
66.4794921875,-188.3887291702177
66.5283203125,-191.3718094367417
66.5771484375,-195.6477620505969
66.6259765625,-203.43109280459078
66.6748046875,-200.10735965666262
66.7236328125,-200.44032334911273
66.7724609375,-195.6828828016797
66.8212890625,-191.9640835007183
66.8701171875,-181.40393571295067
66.9189453125,-176.5245631850876
66.9677734375,-170.23596906898436
67.0166015625,-158.5233349728172
67.0654296875,-151.90781092588423
67.1142578125,-140.2913523851005
67.1630859375,-133.53528096539853
