Time_ps,Pulse
50.0244140625,NaN
50.0732421875,NaN
50.1220703125,NaN
50.1708984375,NaN
50.2197265625,NaN
50.2685546875,NaN
50.3173828125,NaN
50.3662109375,NaN
50.4150390625,NaN
50.4638671875,NaN
50.5126953125,NaN
50.5615234375,NaN
50.6103515625,NaN
50.6591796875,NaN
50.7080078125,NaN
50.7568359375,NaN
50.8056640625,NaN
50.8544921875,NaN
50.9033203125,NaN
50.9521484375,NaN
51.0009765625,NaN
51.0498046875,NaN
51.0986328125,-170.979949339274
51.1474609375,-150.399850420673
51.1962890625,-153.303800935249
51.2451171875,-156.007866307055
51.2939453125,-157.85596985704
51.3427734375,-158.90257907013
51.3916015625,-163.735609706329
51.4404296875,-167.14989867706
51.4892578125,-169.268146883566
51.5380859375,-170.099052213442
51.5869140625,-173.146049254638
51.6357421875,-177.371772780046
51.6845703125,-177.295261237107
51.7333984375,-183.755151761655
51.7822265625,-184.761635049434
51.8310546875,-181.392908928368
51.8798828125,-185.15968308234
51.9287109375,-185.266559780112
51.9775390625,-183.44447900532
52.0263671875,-184.258474954907
52.0751953125,-184.869221435639
52.1240234375,-182.753644489974
52.1728515625,-176.414077202121
52.2216796875,-167.858462552549
52.2705078125,-159.996826292534
52.3193359375,-152.016731848985
52.3681640625,-135.246472661513
52.4169921875,-124.206187160579
52.4658203125,-105.790639625838
52.5146484375,-91.1816985841602
52.5634765625,-70.6180007396724
52.6123046875,-60.2164092900711
52.6611328125,-42.0610523724078
52.7099609375,-31.6154501239113
52.7587890625,-23.4025161233569
52.8076171875,-23.6896537938975
52.8564453125,-15.9292157849632
52.9052734375,-22.9770831687623
52.9541015625,-24.1634209555509
53.0029296875,-28.1718740183006
53.0517578125,-38.7315702173989
53.1005859375,-46.6027289109369
53.1494140625,-54.5283540204938
53.1982421875,-60.7680307321423
53.2470703125,-69.5854592517743
53.2958984375,-76.7933676302979
53.3447265625,-84.4652309936765
53.3935546875,-91.5859594361663
53.4423828125,-97.9472424126725
53.4912109375,-109.61935635884
53.5400390625,-115.065550977853
53.5888671875,-123.723248842594
53.6376953125,-130.22953740354
53.6865234375,-133.494887856713
53.7353515625,-138.127932072907
53.7841796875,-142.96625243749
53.8330078125,-147.328991967867
53.8818359375,-146.879022910698
53.9306640625,-157.317025926975
53.9794921875,-157.179930332561
54.0283203125,-158.545215104175
54.0771484375,-160.395723735176
54.1259765625,-158.710715865702
54.1748046875,-165.895793801391
54.2236328125,-162.944466860766
54.2724609375,-166.024859392762
54.3212890625,-165.733581943751
54.3701171875,-168.620502879291
54.4189453125,-166.85822097052
54.4677734375,-167.72166546016
54.5166015625,-163.506680404463
54.5654296875,-160.718886210442
54.6142578125,-163.621605445997
54.6630859375,-162.467117111277
54.7119140625,-160.411972931652
54.7607421875,-160.130130891576
54.8095703125,-158.841086745419
54.8583984375,-156.340024257522
54.9072265625,-159.777844443458
54.9560546875,-160.132374710041
55.0048828125,-160.475319365063
55.0537109375,-155.206327339611
55.1025390625,-157.835051358425
55.1513671875,-157.298224297096
55.2001953125,-161.336786596075
55.2490234375,-159.81197432179
55.2978515625,-160.385526886223
55.3466796875,-161.670266297647
55.3955078125,-159.581054646884
55.4443359375,-160.253445916945
55.4931640625,-161.09746317827
55.5419921875,-158.789950033957
55.5908203125,-161.525890768635
55.6396484375,-161.212147757351
55.6884765625,-157.329865092519
55.7373046875,-157.93791194954
55.7861328125,-161.833144949968
55.8349609375,-165.136050629283
55.8837890625,-160.475584451769
55.9326171875,-162.36444606451
55.9814453125,-167.843902727571
56.0302734375,-167.900018290945
56.0791015625,-174.090363800947
56.1279296875,-172.148004373485
56.1767578125,-172.524583060878
56.2255859375,-168.761050922799
56.2744140625,-176.451128151537
56.3232421875,-178.145773415436
56.3720703125,-177.883256910064
56.4208984375,-178.605621156298
56.4697265625,-181.456852064876
56.5185546875,-184.661693673489
56.5673828125,-185.926478730419
56.6162109375,-190.619803817877
56.6650390625,-189.17439490775
56.7138671875,-192.984581440985
56.7626953125,-193.258153713829
56.8115234375,-200.017623335711
56.8603515625,-205.90442380341
56.9091796875,-208.969228877948
56.9580078125,-208.59429914556
57.0068359375,-210.97023381187
57.0556640625,-215.31686855013
57.1044921875,-219.812775313354
57.1533203125,-230.019241872688
57.2021484375,-227.697411259812
57.2509765625,-235.042896438985
57.2998046875,-239.576757483196
57.3486328125,-241.980498939121
57.3974609375,-248.950156551888
57.4462890625,-258.952149198714
57.4951171875,-262.306616117234
57.5439453125,-268.107647589176
57.5927734375,-277.241864119441
57.6416015625,-285.778512459129
57.6904296875,-291.562791811283
57.7392578125,-297.844808035264
57.7880859375,-308.125374435992
57.8369140625,-313.843210937549
57.8857421875,-328.380080020812
57.9345703125,-338.076387729012
57.9833984375,-344.094322897484
58.0322265625,-361.15563669708
58.0810546875,-367.842155352236
58.1298828125,-375.553113999274
58.1787109375,-390.80446330558
58.2275390625,-406.726423894273
58.2763671875,-414.069650805197
58.3251953125,-429.975707038706
58.3740234375,-439.120319765698
58.4228515625,-456.678619998223
58.4716796875,-474.640878749206
58.5205078125,-482.430970146171
58.5693359375,-503.556714290076
58.6181640625,-521.007450942662
58.6669921875,-534.736501098232
58.7158203125,-548.570149254255
58.7646484375,-568.502176331392
58.8134765625,-587.986761029388
58.8623046875,-603.097983468018
58.9111328125,-621.802402004823
58.9599609375,-642.258286768538
59.0087890625,-660.18323857551
59.0576171875,-687.737345567358
59.1064453125,-699.505085937043
59.1552734375,-720.291174148626
59.2041015625,-735.968291256623
59.2529296875,-758.475312120979
59.3017578125,-771.521857712817
59.3505859375,-795.405006762097
59.3994140625,-808.459168099951
59.4482421875,-829.869553860368
59.4970703125,-847.81643016318
59.5458984375,-860.293977763776
59.5947265625,-878.499076322854
59.6435546875,-886.286570181404
59.6923828125,-895.672935684414
59.7412109375,-907.117626712188
59.7900390625,-915.286389189521
59.8388671875,-921.054889028754
59.8876953125,-919.043674952828
59.9365234375,-924.583744624875
59.9853515625,-919.930797818874
60.0341796875,-907.818923795232
60.0830078125,-895.542612247132
60.1318359375,-882.856696914234
60.1806640625,-862.014587645167
60.2294921875,-839.678054175309
60.2783203125,-802.79543155489
60.3271484375,-760.571621863807
60.3759765625,-720.206369238574
60.4248046875,-658.118606590298
60.4736328125,-590.375754918208
60.5224609375,-499.708402176148
60.5712890625,-414.7092707479
60.6201171875,-304.482092985828
60.6689453125,-173.059572321636
60.7177734375,-21.1754502297316
60.7666015625,158.658716953634
60.8154296875,356.191251213793
60.8642578125,583.721843059265
60.9130859375,836.787950252414
60.9619140625,1126.1901769702
61.0107421875,1433.64019202377
61.0595703125,1763.24312737744
61.1083984375,2100.83479301406
61.1572265625,2425.77835831831
61.2060546875,2720.57567518392
61.2548828125,2963.9422705526
