Time_ps,Pulse
50.0244140625,NaN
50.0732421875,NaN
50.1220703125,NaN
50.1708984375,NaN
50.2197265625,NaN
50.2685546875,NaN
50.3173828125,NaN
50.3662109375,NaN
50.4150390625,NaN
50.4638671875,NaN
50.5126953125,NaN
50.5615234375,NaN
50.6103515625,NaN
50.6591796875,NaN
50.7080078125,NaN
50.7568359375,NaN
50.8056640625,NaN
50.8544921875,NaN
50.9033203125,NaN
50.9521484375,NaN
51.0009765625,NaN
51.0498046875,-149.07247447702
51.0986328125,-146.192136968247
51.1474609375,-146.048905342615
51.1962890625,-146.99072066987
51.2451171875,-145.287692621857
51.2939453125,-145.281675703304
51.3427734375,-145.966375927971
51.3916015625,-146.375057430968
51.4404296875,-145.240945548311
51.4892578125,-143.652453016556
51.5380859375,-143.309038301672
51.5869140625,-144.786096467968
51.6357421875,-145.199947915039
51.6845703125,-146.670266791936
51.7333984375,-147.757546261711
51.7822265625,-146.561527037881
51.8310546875,-145.607178105765
51.8798828125,-146.12960110709
51.9287109375,-145.383177537419
51.9775390625,-146.475076487075
52.0263671875,-146.768155139658
52.0751953125,-143.929590292045
52.1240234375,-146.995400427094
52.1728515625,-146.784992364928
52.2216796875,-147.109016845588
52.2705078125,-144.898121221607
52.3193359375,-146.114114283308
52.3681640625,-147.27540624858
52.4169921875,-148.1258494468
52.4658203125,-144.993117115636
52.5146484375,-149.206539031703
52.5634765625,-145.82673057197
52.6123046875,-149.901541771663
52.6611328125,-146.739861434359
52.7099609375,-149.129188347809
52.7587890625,-149.525068903128
52.8076171875,-145.850402559361
52.8564453125,-151.628935351888
52.9052734375,-151.272294491924
52.9541015625,-149.449761412026
53.0029296875,-149.158125117169
53.0517578125,-151.119116382961
53.1005859375,-151.636163690564
53.1494140625,-152.321799753958
53.1982421875,-152.151349803839
53.2470703125,-152.308927555217
53.2958984375,-153.555997954798
53.3447265625,-155.187315757431
53.3935546875,-151.458053546402
53.4423828125,-156.723382011346
53.4912109375,-154.596664994298
53.5400390625,-153.796419679408
53.5888671875,-153.406907919117
53.6376953125,-150.552918396574
53.6865234375,-153.928587236458
53.7353515625,-156.793254389677
53.7841796875,-151.27941815443
53.8330078125,-152.53806280149
53.8818359375,-153.680363016604
53.9306640625,-149.799201265822
53.9794921875,-146.931022315971
54.0283203125,-148.39794120101
54.0771484375,-144.42742477166
54.1259765625,-142.586483334059
54.1748046875,-141.272208853819
54.2236328125,-139.022172354959
54.2724609375,-135.590384853314
54.3212890625,-138.810575749655
54.3701171875,-135.693197345784
54.4189453125,-139.117522485694
54.4677734375,-135.633442338045
54.5166015625,-136.349250313748
54.5654296875,-139.753992944318
54.6142578125,-137.852893446982
54.6630859375,-141.837495107627
54.7119140625,-148.549640165208
54.7607421875,-150.993234711617
54.8095703125,-151.576520489027
54.8583984375,-152.396566970937
54.9072265625,-153.174951470856
54.9560546875,-157.481911084157
55.0048828125,-159.899282230211
55.0537109375,-158.159274768832
55.1025390625,-160.70246851821
55.1513671875,-166.664562997555
55.2001953125,-162.724412379057
55.2490234375,-168.279091957787
55.2978515625,-169.426124564008
55.3466796875,-169.067684430301
55.3955078125,-170.323667532428
55.4443359375,-171.593530575286
55.4931640625,-170.508492000428
55.5419921875,-166.913912361401
55.5908203125,-162.610842121611
55.6396484375,-163.191710558329
55.6884765625,-153.407474689375
55.7373046875,-145.245540073637
55.7861328125,-132.289797922415
55.8349609375,-127.238378576453
55.8837890625,-108.95428534761
55.9326171875,-94.2904218426292
55.9814453125,-77.8753373836075
56.0302734375,-64.50470843379
56.0791015625,-48.5765260030018
56.1279296875,-42.3069331934434
56.1767578125,-31.7429484784149
56.2255859375,-29.8671754972555
56.2744140625,-23.7657033089194
56.3232421875,-25.8870226371327
56.3720703125,-22.3273315592705
56.4208984375,-29.0428471308026
56.4697265625,-29.3203598210952
56.5185546875,-35.4215878556515
56.5673828125,-49.2476158130661
56.6162109375,-54.2347873379143
56.6650390625,-65.3040344865908
56.7138671875,-69.0795693748808
56.7626953125,-75.0617709677935
56.8115234375,-82.0379235421117
56.8603515625,-89.6198461019243
56.9091796875,-97.1115640645748
56.9580078125,-103.035448818638
57.0068359375,-107.301104621415
57.0556640625,-115.814317647578
57.1044921875,-115.997124243388
57.1533203125,-121.159143193507
57.2021484375,-123.216758630017
57.2509765625,-129.85435140645
57.2998046875,-134.576402068685
57.3486328125,-136.97709007792
57.3974609375,-142.619613513445
57.4462890625,-145.114007329786
57.4951171875,-145.240827210255
57.5439453125,-148.044107298024
57.5927734375,-149.837437888901
57.6416015625,-152.67732405699
57.6904296875,-148.8740977662
57.7392578125,-151.900060889375
57.7880859375,-154.460237780843
57.8369140625,-157.031205027149
57.8857421875,-155.324088916228
57.9345703125,-156.785271952152
57.9833984375,-156.12906158783
58.0322265625,-150.248011821276
58.0810546875,-151.480101213242
58.1298828125,-147.73068003983
58.1787109375,-149.072167242476
58.2275390625,-145.23702356654
58.2763671875,-144.720820578578
58.3251953125,-153.382660592659
58.3740234375,-148.238185217877
58.4228515625,-151.491711449218
58.4716796875,-148.066897206739
58.5205078125,-149.966789623905
58.5693359375,-147.676257050206
58.6181640625,-147.562622090528
58.6669921875,-149.112886043018
58.7158203125,-149.514423976402
58.7646484375,-150.742750802911
58.8134765625,-145.271675730042
58.8623046875,-148.296166503033
58.9111328125,-152.743755667623
58.9599609375,-152.04571986377
59.0087890625,-149.942148769028
59.0576171875,-152.472442472429
59.1064453125,-155.296952693929
59.1552734375,-149.053228562009
59.2041015625,-155.589869063437
59.2529296875,-156.162379216623
59.3017578125,-153.507016166697
59.3505859375,-156.345355981993
59.3994140625,-159.753658886798
59.4482421875,-160.647068437394
59.4970703125,-161.430968270684
59.5458984375,-153.642725108598
59.5947265625,-160.063427260607
59.6435546875,-161.975849833957
59.6923828125,-162.916748663236
59.7412109375,-157.966358044402
59.7900390625,-165.799135175093
59.8388671875,-164.467191007687
59.8876953125,-167.806832068256
59.9365234375,-169.505341815537
59.9853515625,-168.780704594163
60.0341796875,-175.104913203514
60.0830078125,-175.466889418432
60.1318359375,-178.545585251508
60.1806640625,-176.034252839934
60.2294921875,-181.667196899689
60.2783203125,-183.398118788958
60.3271484375,-182.42626298854
60.3759765625,-188.202827546288
60.4248046875,-189.489617882267
60.4736328125,-195.191148744346
60.5224609375,-197.492302234326
60.5712890625,-200.176943976831
60.6201171875,-205.496315708999
60.6689453125,-204.842286942148
60.7177734375,-208.608173381323
60.7666015625,-216.51619051442
60.8154296875,-220.116152220584
60.8642578125,-222.100650411628
60.9130859375,-227.528901786492
60.9619140625,-231.71130828946
61.0107421875,-239.590614279421
61.0595703125,-246.624527765218
61.1083984375,-250.371436132416
61.1572265625,-255.823294286912
61.2060546875,-263.305703671717
61.2548828125,-268.472916879218
