Time_ps,Pulse
50.0244140625,NaN
50.0732421875,NaN
50.1220703125,NaN
50.1708984375,NaN
50.2197265625,NaN
50.2685546875,NaN
50.3173828125,NaN
50.3662109375,NaN
50.4150390625,NaN
50.4638671875,NaN
50.5126953125,NaN
50.5615234375,NaN
50.6103515625,NaN
50.6591796875,NaN
50.7080078125,NaN
50.7568359375,NaN
50.8056640625,NaN
50.8544921875,NaN
50.9033203125,NaN
50.9521484375,NaN
51.0009765625,-133.456535448155
51.0498046875,-138.197078280483
51.0986328125,-139.535649016193
51.1474609375,-140.526338853661
51.1962890625,-141.888083728397
51.2451171875,-145.474556720996
51.2939453125,-147.611637378399
51.3427734375,-149.262215581444
51.3916015625,-154.327797665618
51.4404296875,-156.276041659764
51.4892578125,-159.306175967667
51.5380859375,-159.201173578932
51.5869140625,-160.823355345048
51.6357421875,-168.331482613734
51.6845703125,-168.631137115912
51.7333984375,-171.534613480207
51.7822265625,-173.049215926603
51.8310546875,-174.365575163296
51.8798828125,-177.26890330448
51.9287109375,-178.264681248896
51.9775390625,-176.497730033266
52.0263671875,-175.299902004134
52.0751953125,-175.224262377772
52.1240234375,-171.142961808002
52.1728515625,-166.357677690927
52.2216796875,-160.104107896673
52.2705078125,-152.7874154543
52.3193359375,-144.106877704625
52.3681640625,-130.431087130673
52.4169921875,-115.174357748858
52.4658203125,-99.8835011592382
52.5146484375,-86.0243476617689
52.5634765625,-66.1470958670362
52.6123046875,-47.2071875424962
52.6611328125,-34.5923380644426
52.7099609375,-26.8586187243023
52.7587890625,-16.7740165800773
52.8076171875,-9.67761897205902
52.8564453125,-11.2873007166841
52.9052734375,-9.71052601962577
52.9541015625,-12.8921038548024
53.0029296875,-18.5000255363516
53.0517578125,-25.3095308613201
53.1005859375,-32.2842275654398
53.1494140625,-41.0967883834672
53.1982421875,-52.3407835191664
53.2470703125,-56.1316308356555
53.2958984375,-73.3150273851127
53.3447265625,-76.1945560007331
53.3935546875,-89.0104678226884
53.4423828125,-92.2549591297346
53.4912109375,-99.5665787647934
53.5400390625,-106.237477819754
53.5888671875,-111.2395731423
53.6376953125,-115.088327368555
53.6865234375,-122.804052536442
53.7353515625,-128.596049921604
53.7841796875,-137.057031594199
53.8330078125,-138.391724843289
53.8818359375,-144.114606137627
53.9306640625,-147.056932965339
53.9794921875,-143.95819898021
54.0283203125,-149.457753625754
54.0771484375,-153.84647631087
54.1259765625,-154.032275251727
54.1748046875,-151.951779441754
54.2236328125,-157.204803663962
54.2724609375,-160.776719794715
54.3212890625,-157.158850239617
54.3701171875,-160.755662221512
54.4189453125,-161.360870841443
54.4677734375,-158.77232863003
54.5166015625,-158.00931300197
54.5654296875,-155.818137336898
54.6142578125,-153.640503611115
54.6630859375,-153.693052234554
54.7119140625,-152.714078558219
54.7607421875,-152.284543789172
54.8095703125,-147.269793156404
54.8583984375,-149.145596319966
54.9072265625,-148.07384040933
54.9560546875,-154.873710988702
55.0048828125,-149.757037827995
55.0537109375,-149.307169410629
55.1025390625,-149.751093454621
55.1513671875,-148.784596438551
55.2001953125,-149.767738759077
55.2490234375,-148.173773100222
55.2978515625,-152.410968037057
55.3466796875,-151.562230757055
55.3955078125,-150.266785791428
55.4443359375,-153.672736068998
55.4931640625,-151.87681945814
55.5419921875,-149.733067867924
55.5908203125,-152.66745562799
55.6396484375,-157.022384589539
55.6884765625,-151.685186537723
55.7373046875,-149.366129071515
55.7861328125,-155.336402072924
55.8349609375,-156.41777733747
55.8837890625,-157.693225510318
55.9326171875,-154.513318181589
55.9814453125,-160.775882806019
56.0302734375,-161.126214958506
56.0791015625,-163.796640757707
56.1279296875,-167.535117998192
56.1767578125,-165.129864701677
56.2255859375,-165.760220182098
56.2744140625,-169.188551264479
56.3232421875,-170.877829711412
56.3720703125,-168.886271958528
56.4208984375,-175.771322844558
56.4697265625,-171.806800001155
56.5185546875,-178.103013709851
56.5673828125,-175.572758952379
56.6162109375,-178.62373766277
56.6650390625,-185.277101183317
56.7138671875,-181.231915478886
56.7626953125,-186.880330443442
56.8115234375,-193.264941570041
56.8603515625,-198.70429555376
56.9091796875,-197.990689207835
56.9580078125,-203.384373380732
57.0068359375,-203.394350221983
57.0556640625,-211.024937474092
57.1044921875,-218.683375494245
57.1533203125,-217.831215741341
57.2021484375,-225.4379947464
57.2509765625,-227.95764565201
57.2998046875,-230.200502869208
57.3486328125,-238.792733066042
57.3974609375,-244.552626601864
57.4462890625,-248.363471832125
57.4951171875,-252.807634333995
57.5439453125,-258.961486599022
57.5927734375,-267.247884978308
57.6416015625,-274.626859310136
57.6904296875,-284.763396986521
57.7392578125,-293.465357304013
57.7880859375,-299.141436102899
57.8369140625,-306.778713325831
57.8857421875,-318.978005908005
57.9345703125,-331.668511360704
57.9833984375,-342.194138437694
58.0322265625,-349.255717512465
58.0810546875,-359.108307224541
58.1298828125,-374.229425412123
58.1787109375,-389.185075080813
58.2275390625,-398.548954033241
58.2763671875,-406.039131455116
58.3251953125,-422.172431682094
58.3740234375,-437.857853842589
58.4228515625,-454.17710003401
58.4716796875,-465.937674069604
58.5205078125,-483.822099569696
58.5693359375,-496.919644822514
58.6181640625,-512.079600550513
58.6669921875,-528.090465711405
58.7158203125,-547.685301098316
58.7646484375,-562.187269103767
58.8134765625,-583.472503552984
58.8623046875,-604.771157835562
58.9111328125,-618.992147168629
58.9599609375,-638.814472349645
59.0087890625,-654.039878064596
59.0576171875,-677.601923688545
59.1064453125,-695.406485483295
59.1552734375,-716.292828199745
59.2041015625,-734.124655504813
59.2529296875,-757.377332402947
59.3017578125,-772.719321232082
59.3505859375,-794.395356887901
59.3994140625,-813.590742445564
59.4482421875,-830.644613561762
59.4970703125,-842.633450762184
59.5458984375,-859.165573292669
59.5947265625,-875.994496753649
59.6435546875,-888.020250948866
59.6923828125,-899.27692488049
59.7412109375,-907.864688430878
59.7900390625,-918.856248237029
59.8388671875,-924.023191692414
59.8876953125,-924.233266225967
59.9365234375,-925.00193626892
59.9853515625,-918.979350477917
60.0341796875,-912.129214524708
60.0830078125,-900.139665756085
60.1318359375,-887.161926779133
60.1806640625,-864.092062916849
60.2294921875,-841.734819916513
60.2783203125,-807.578104944178
60.3271484375,-771.006421930166
60.3759765625,-723.173206978754
60.4248046875,-659.707251709906
60.4736328125,-596.177474344767
60.5224609375,-512.409639226178
60.5712890625,-422.398226431535
60.6201171875,-307.335677873953
60.6689453125,-176.919354236583
60.7177734375,-30.795755090251
60.7666015625,144.727711369822
60.8154296875,338.029504256034
60.8642578125,570.989106201084
60.9130859375,833.128940755075
60.9619140625,1113.81293378095
61.0107421875,1427.84992332636
61.0595703125,1758.49178517674
61.1083984375,2098.55545040843
61.1572265625,2436.2594075422
61.2060546875,2740.92300672531
